七堵	Qīdǔ
濁水	Zhuóshuǐ
烏日	Wūrì
營盤口	Yíngpánkǒu
玉里	Yùlǐ
王田	Wángtián
瑞穗	Ruìsuì
田中	Tiánzhōng
甲南	Jiǎnán
番子田	Fānzǐtián
番子寮	Fānzǐliáo
白沙屯	Báishātún
石底	Shídǐ
礁溪	Jiāoxī
社邊	Shèbiān
社頭	Shètóu
稻葉	Dàoyè
竹南	Zhúnán
竹田	Zhútián
紅毛	Hóngmáo
羅東	Luódōng
臺東	Táidōng
舊城	Jiùchéng
花壇	Huātán
花蓮港	Huāliángǎng
苑裡	Yuànlǐ
苗栗	Miáolì
草屯	Cǎotún
荳蘭	Dòulán
菁桐坑	Jīngtóngkēng
萬斗六	Wàndǒuliù
萬華	Wànhuá
萬里橋	Wànlǐqiáo
蘇澳	Sū'ào
螢橋	Yíngqiáo
西勢	Xīshì
豐原	Fēngyuán
豐田	Fēngtián
賀田	Hètián
路竹	Lùzhú
車籠埔	Chēlóngpǔ
車路墘	Chēlùqián
追分	Zhuīfēn
通霄	Tōngxiāo
造橋	Zàoqiáo
里壠	Lǐlǒng
銅鑼	Tóngluó
隘寮	Àiliáo
集集	Jíjí
雙連	Shuānglián
霧峰	Wùfēng
頭人埔	Tóurénpǔ
頭圍	Tóuwéi
香山	Xiāngshān
馬太鞍	Mǎtài'ān
馬蘭	Mǎlán
高雄	Gāoxióng
鳳山	Fèngshān
鳳林	Fènglín
鶯歌	Yīnggē
鹿野	Lùyě
鼻仔頭	Bízǎitóu
龍井	Lóngjǐng
龜山	Guīshān
# Added 30 August 2026. The first eight are the stations the source
# geojson carried with a romanisation and no characters (fid 126-133);
# the rest are stops the February 1936 timetable calls at that this map
# has no square for, which still appear as a train's destination.
石城	Shíchéng
澳底	Àodǐ
貢寮庄	Gòngliáozhuāng
頂雙溪	Dǐngshuāngxī
武丹坑	Wǔdānkēng
三貂嶺	Sāndiāolǐng
瑞芳	Ruìfāng
四腳亭	Sìjiǎotíng
山下町	Shānxiàtīng
三塊厝	Sānkuàicuò
新起町	Xīnqǐtīng
江子翠	Jiāngzicuì
浮洲	Fúzhōu
伯公岡	Bógōnggāng
山崎	Shānqí
崎頂	Qídǐng
大村	Dàcūn
永靖	Yǒngjìng
東門町	Dōngméntīng
試驗所前	Shìyànsuǒqián
北五堵	Běiwǔdǔ
五堵	Wǔdǔ
北臺北	Běitáiběi
遊園地前	Yóuyuándìqián
學田	Xuétián
老松町	Lǎosōngtīng
十六份	Shíliùfèn
竹圍	Zhúwéi
猴硐	Hóudòng
四結	Sìjié
