key,en,short,ja,wiki
Sangihe,Sangihe Islands,A volcanic chain between Celebes and the Philippines,サンギヘ諸島 (Sangihe-shotō),https://en.wikipedia.org/wiki/Sangir_Islands
Ambon,Ambon,The seat of government for the Moluccas and the centre of the old spice trade,アンボン島 (Anbon-tō),https://en.wikipedia.org/wiki/Ambon_Island
Babar,Babar Islands,A small group east of Timor,,https://en.wikipedia.org/wiki/Babar_Islands
Bacan,Batjan (Bacan),"Batjan, south of Halmahera",,https://en.wikipedia.org/wiki/Bacan
Morotai,Morotai,"North of Halmahera, and the one island in the group the Allies wanted",モロタイ島 (Morotai-tō),https://en.wikipedia.org/wiki/Morotai_Island
Natuna,Natuna Islands,In the South China Sea between Borneo and the Malay peninsula,,https://en.wikipedia.org/wiki/Natuna_Islands
Siberut,Siberut,"The largest of the Mentawai islands off west Sumatra, kept deliberately apart",,https://en.wikipedia.org/wiki/Siberut
Simeulue,Simalur (Simeulue),"Simalur, off the Acehnese coast",,https://en.wikipedia.org/wiki/Simeulue
Bawean,Bawean,Its men migrated to Singapore and Malaya in such numbers that most lived abroad,,https://en.wikipedia.org/wiki/Bawean
Komodo,Komodo,"Dry, rugged and almost uninhabited between Sumbawa and Flores",,https://en.wikipedia.org/wiki/Komodo_(island)
