id,hangul,hanja,mr,romaji,line,lon,lat,e1930,e1942,prov,note
db_015,거진,巨津,Kŏjin,Kyoshin,동해북부선,128.45130,38.44080,,1,,
db_016,간성,杆城,Kansŏng,Kanjō,동해북부선,128.47390,38.37900,,1,,
db_017,문암,文岩,Munam,Bungan,동해북부선,128.53600,38.30400,,1,,
db_018,속초,束草,Sokch'o,Sokusō,동해북부선,128.59100,38.20820,,1,,
db_019,낙산사,洛山寺,Naksansa,Rakuzanji,동해북부선,128.60910,38.14670,,1,,
db_020,양양,襄陽,Yangyang,Jōyō,동해북부선,128.62810,38.08710,,1,Kōgen-dō,
dhj_001,대구,大邱,Taegu,Taikyū,동해중부선 / 경부선,128.59470,35.87610,1,1,Keishōhoku-dō,
dhj_002,동촌,東村,Tongch'on,Tōson,동해중부선,128.65350,35.88890,1,1,Keishōhoku-dō,
dhj_003,반야월,半夜月,Panyawŏl,Han'yagetsu,동해중부선,128.71490,35.87290,1,1,Keishōhoku-dō,
dhj_004,청천,淸泉,Ch'ŏngch'ŏn,Seisen,동해중부선,128.76770,35.88010,1,1,Keishōhoku-dō,
dhj_005,하양,河陽,Hayang,Kayō,동해중부선,128.81940,35.90990,1,1,Keishōhoku-dō,
dhj_006,금호,琴湖,Kŭmho,Kinko,동해중부선,128.86850,35.93180,1,1,Keishōhoku-dō,
dhj_014,금장,金丈,Kŭmjang,Kinjō,동해중부선,129.21190,35.88110,1,1,Keishōhoku-dō,
dhj_015,사방,士方,Sabang,Shihō,동해중부선,129.23330,35.93870,1,1,Keishōhoku-dō,
dhj_016,안강,安康,An'gang,Ankō,동해중부선,129.23050,35.98810,1,1,Keishōhoku-dō,
dhj_017,부조,扶助,Pujo,Fujo,동해중부선,129.27490,35.99150,1,1,Keishōhoku-dō,
dhj_018,효자,孝子,Hyoja,Kōshi,동해중부선,129.33540,36.00890,1,1,Keishōhoku-dō,
dhj_019,포항,浦項,P'ohang,Hokō,동해중부선,129.36020,36.03680,1,1,Keishōhoku-dō,
dhj_020,학산,鶴山,Haksan,Kakuzan,동해중부선,129.37540,36.05220,1,1,Keishōhoku-dō,
dhn_001,부산,釜山,Pusan,Fuzan,동해남부선 / 경부선,129.04000,35.11400,1,1,Keishōnan-dō,
dhn_002,초량,草梁,Ch'oryang,Sōryō,동해남부선 / 경부선,129.04330,35.12110,1,1,Keishōnan-dō,
dhn_003,부산진,釜山鎮,Pusanjin,Fuzanchin,동해남부선 / 경부선,129.04860,35.12740,1,1,Keishōnan-dō,
dhn_004,서면,西面,Sŏmyŏn,Saimen,동해남부선,129.07490,35.18990,,1,Keishōnan-dō,
dhn_005,동래,東萊,Tongnae,Tōrai,동해남부선,129.09100,35.19730,,1,Keishōnan-dō,
dhn_006,수영,水営,Suyŏng,Suiei,동해남부선,129.13380,35.17260,,1,Keishōnan-dō,
dhn_007,해운대,海雲台,Haeundae,Kaiundai,동해남부선,129.15910,35.16420,,1,Keishōnan-dō,
dhn_008,송정,松亭,Songjŏng,Shōtei,동해남부선,129.20210,35.18320,,1,Keishōnan-dō,
dhn_009,기장,機張,Kijang,Kichō,동해남부선,129.21900,35.24380,,1,Keishōnan-dō,
dhn_010,삼성,三聖,Samsŏng,Sansei,동해남부선,129.23260,35.26580,,1,Keishōnan-dō,
dhn_011,좌천,佐川,Chwach'ŏn,Sasen,동해남부선,129.24310,35.31110,,1,Keishōnan-dō,
dhn_012,월내,月内,Wŏllae,Getsunai,동해남부선,129.27470,35.32660,,1,Keishōnan-dō,
dhn_013,남창,南倉,Namch'ang,Nansō,동해남부선,129.28500,35.41480,,1,Keishōnan-dō,
dhn_014,덕하,徳下,Tŏkha,Tokuka,동해남부선,129.30500,35.49200,,1,Keishōnan-dō,
dhn_015,울산,蔚山,Ulsan,Urusan,동해남부선,129.32960,35.55560,1,1,Keishōhoku-dō,
dhn_016,병영,兵營,Pyŏngyŏng,Heiei,동해남부선,129.34320,35.56540,1,1,Keishōhoku-dō,
dhn_017,호계,虎溪,Hogye,Kokei,동해남부선,129.35610,35.61950,1,1,Keishōhoku-dō,
dhn_018,모화,毛火,Mohwa,Mōka,동해남부선,129.33810,35.67480,1,1,Keishōhoku-dō,
dhn_019,입실,入室,Ipsil,Nyūshitsu,동해남부선,129.32250,35.71550,1,1,Keishōhoku-dō,
dhn_020,불국사,佛國寺,Pulguksa,Bukkokuji,동해남부선,129.30120,35.77300,1,1,Keishōhoku-dō,
dhn_021,동방,東方,Tongbang,Tōhō,동해남부선,129.26730,35.79950,1,1,Keishōhoku-dō,
dhn_022,경주,慶州,Kyŏngju,Keishū,동해남부선 / 경경남부선,129.21860,35.84580,1,1,Keishōhoku-dō,
dp_001,단천,端川,Tanch'ŏn,Tansen,단풍선 / 함경선,128.88820,40.45320,1,1,Kankyōnan-dō,
dp_002,동대,東坮,Tongdae,Tōdai,단풍선,128.85160,40.48980,,1,Kankyōnan-dō,
dp_003,상농,上農,Sangnong,Jōnō,단풍선,128.73610,40.59790,,1,Kankyōnan-dō,
dp_004,농촌,農村,Nongch'on,Nōson,단풍선,128.69050,40.68140,,1,Kankyōnan-dō,
dp_005,고성,古城,Kosŏng,Kojō,단풍선,128.62370,40.67530,,1,Kankyōnan-dō,
dp_006,수의,守義,Suŭi,Shugi,단풍선,128.55110,40.69370,,1,Kankyōnan-dō,
dp_007,포치리,浦淄里,P'och'iri,Hoshiri,단풍선,128.50460,40.74050,,1,Kankyōnan-dō,
dp_008,하홍군,下洪君,Hahonggun,Shimokōkun,단풍선,128.47840,40.76850,,1,Kankyōnan-dō,
dp_009,홍군,洪君,Honggun,Kōkun,단풍선,128.45420,40.77760,,1,Kankyōnan-dō,
dsd_001,양시,楊市,Yangsi,Yōshi,다사도선,124.47100,39.95880,,1,Heianhoku-dō,
dsd_002,북중,北中,Pukchung,Hokuchū,다사도선,124.42130,39.94720,,1,Heianhoku-dō,
dsd_003,용암포,龍岩浦,Yongamp'o,Ryūganho,다사도선,124.38400,39.93010,,1,Heianhoku-dō,
dsd_004,경봉,緑峰,Kyŏngbong,Ryokuhō,다사도선,124.40120,39.89760,,1,Heianhoku-dō,
dsd_005,불인,不二,Purin,Funi,다사도선,124.41840,39.86310,,1,Heianhoku-dō,
dsd_006,다사도,多獅島,Tasado,Tashitō,다사도선,124.42860,39.84220,,1,Heianhoku-dō,
dsd_007,서다사도,西多獅島,Sŏdasado,Seitashitō,다사도선,124.41870,39.82510,,1,Heianhoku-dō,
gc_001,신안주,新安州,Sinanju,Shin'anshū,개천선 / 경의선,125.60340,39.60170,1,1,Heianhoku-dō,
gc_002,안주,安州,Anju,Anshū,개천선,125.67930,39.63180,1,1,Heianhoku-dō,
gc_003,북송리,北松里,Puksongni,Hokushō-ri,개천선,125.75520,39.65580,1,1,Heianhoku-dō,
gc_004,용흥리,雲興里,Yonghŭngni,Unkōri,개천선,125.82880,39.68020,1,1,Heiannan-dō,
gc_005,운흥리,雲興里,Unhŭngni,Unkō-ri,개천선,125.85780,39.68680,1,1,Heiannan-dō,
gc_006,개천,价川,Kaech'ŏn,Kaisen,개천선,125.89290,39.70090,1,1,Heiannan-dō,
gg_001,천안,天安,Ch'ŏnan,Ten'an,경기선 / 경부선 / 장항선,127.14690,36.80910,1,1,Chūseinan-dō,
gg_002,석교,石橋,Sŏkkyo,Sekikyō,경기선,127.18560,36.85620,1,1,Keiki-dō,
gg_003,입장,笠場,Ipchang,Ryūjō,경기선,127.21050,36.91210,1,1,Keiki-dō,
gg_004,고지,古池,Koji,Kochi,경기선,127.21370,36.95930,1,1,Keiki-dō,
gg_005,미양,薇陽,Miyang,Miyō,경기선,127.21760,36.97960,1,1,Keiki-dō,
gg_006,안성,安城,Ansŏng,Ansei,경기선,127.26420,37.00830,1,1,Keiki-dō,
gg_007,안성읍내,安城邑內,Ansŏngŭmnae,Anseiōnai,경기선,127.27420,37.00280,1,1,Keiki-dō,
gg_008,마전,麻田,Majŏn,Maden,경기선,127.33650,37.03310,1,1,Keiki-dō,
gg_009,삼죽,三竹,Samjuk,Sanchiku,경기선,127.36740,37.06430,1,1,Keiki-dō,
gg_010,용월,龍月,Yongwŏl,Ryōgetsu,경기선,127.39080,37.08150,1,1,Keiki-dō,
gg_011,죽산,竹山,Chuksan,Chikuzan,경기선,127.41200,37.07400,1,1,Keiki-dō,
gg_012,죽산읍내,竹山邑内,Chuksanŭmnae,Chikuzanōnai,경기선,127.42410,37.07530,1,1,Keiki-dō,
gg_013,매산,梅山,Maesan,Maisan,경기선,127.44110,37.09760,1,1,Keiki-dō,
gg_014,주천,注川,Chuch'ŏn,Shusen,경기선,127.48890,37.10440,1,1,Keiki-dō,
gg_015,장호원,長湖院,Changhowŏn,Chōkoen,경기선,127.63160,37.11710,1,1,Kōgen-dō,
gs_001,이리,裡里,Iri,Riri,군산선 / 호남선 / 전라선,126.94550,35.94030,1,1,Zenrahoku-dō,
gs_002,오산,五山里,Osan,Gosanri,군산선,126.91300,35.94110,1,1,Zenrahoku-dō,
gs_003,임피,臨陂,Imp'i,Rinpi,군산선,126.86580,35.95340,1,1,Zenrahoku-dō,
gs_004,지경,地境,Chigyŏng,Jikyō,군산선,126.81110,35.94300,1,1,Zenrahoku-dō,
gs_005,개정,開井,Kaejŏng,Kaishō,군산선,126.77180,35.96060,1,1,,
gs_006,군산,群山,Kunsan,Gunsan,군산선,126.72140,35.98040,1,1,Chūseinan-dō,
gs_007,군산항,群山港,Kunsanhang,Gunsankō,군산선,126.71260,35.99050,1,1,Chūseinan-dō,
gyp_001,황해황주,黃海黃州,Hwanghaehwangju,Hōkai-Kōshū,겸이포선 / 경의선,125.76050,38.69570,1,1,Kōkai-dō,
gyp_002,장천리,長川里,Changch'ŏlli,Chōsenri,겸이포선,125.68840,38.71380,1,1,Kōkai-dō,
gyp_003,겸이포,兼二浦,Kyŏmip'o,Kenjiho,겸이포선,125.62680,38.73810,1,1,Kōkai-dō,
hh_001,해주,海州,Haeju,Kaishū,황해청년선 / 옹진선 / 토해선,125.70230,38.02540,1,1,Kōkai-dō,
hh_002,동해주,東海州,Tonghaeju,Higashi-Kaishū,황해청년선 / 옹진선 / 토해선,125.72590,38.02770,1,1,Kōkai-dō,
hh_003,학현,鶴峴,Hakhyŏn,Kakken,황해청년선,125.78240,38.01010,1,1,Kōkai-dō,
hk_001,함흥,咸興,Hamhŭng,Kankō,함경선 / 장진선 / 경원선 / 송흥선,127.54600,39.91160,1,1,Kankyōnan-dō,
hk_002,본궁,本宮,Pon'gung,Hongū,함경선,127.61850,39.86770,1,1,Kankyōnan-dō,
hk_003,흥남,興南,Hŭngnam,Kōnan,함경선,127.65000,39.82750,1,1,Kankyōnan-dō,
hk_004,서호진,西湖津,Sŏhojin,Seikoshin,함경선,127.66550,39.82330,1,1,Kankyōnan-dō,
hk_005,여호,呂湖,Yŏho,Ryoko,함경선,127.72960,39.86050,1,1,Kankyōnan-dō,
hk_006,퇴조,退潮,T'oejo,Taichō,함경선,127.77230,39.90680,1,1,Kankyōnan-dō,
hk_007,삼호,三湖,Samho,Sanko,함경선,127.86190,39.95320,1,1,Kankyōnan-dō,
hk_008,용운,龍雲,Yongun,Ryōun,함경선,127.92330,39.99430,1,1,Kankyōnan-dō,
hk_009,전진,前津,Chŏnjin,Zenshin,함경선,127.97940,40.04180,1,1,Kankyōnan-dō,
hk_010,경포,景浦,Kyŏngp'o,Keiho,함경선,127.99230,40.06270,1,1,Kankyōnan-dō,
hk_011,운포,雲浦,Unp'o,Unho,함경선,128.07410,40.05100,1,1,Kankyōnan-dō,
hk_012,영무,靈武,Yŏngmu,Reibu,함경선,128.13730,40.04060,1,1,Kankyōnan-dō,
hk_013,신포,新浦,Sinp'o,Shinho,함경선,128.19140,40.03360,1,1,Kankyōnan-dō,
hk_014,양화,陽化,Yanghwa,Yōka,함경선,128.24430,40.07830,1,1,Kankyōnan-dō,
hk_015,강상리,江上里,Kangsangni,Kōjōri,함경선,128.33900,40.08200,1,1,Kankyōnan-dō,
hk_016,속후,俗厚,Sokhu,Zokugu,함경선,128.36920,40.10820,1,1,Kankyōnan-dō,
hk_018,신창,新昌,Sinch'ang,Shinshō,함경선,128.44220,40.17400,1,1,Kankyōnan-dō,
hk_019,거산,居山,Kŏsan,Kyozan,함경선,128.50050,40.18850,1,1,Kankyōnan-dō,
hk_020,건자,乾自,Kŏnja,Kanji,함경선,128.55110,40.16920,1,1,Kankyōnan-dō,
hk_023,염분,鹽盆,Yŏmbun,Enbon,함경선,128.60990,40.26510,1,1,Kankyōnan-dō,
hk_024,이원,利原,Iwŏn,Rigen,함경선,128.64700,40.32290,1,1,Kankyōnan-dō,
hk_025,군선,群仙,Kunsŏn,Gunsen,함경선,128.68830,40.33310,1,1,Kankyōnan-dō,
hk_026,쌍암,雙巖,Ssangam,Sōgan,함경선,128.70960,40.33890,1,1,Kankyōnan-dō,
hk_027,곡구,谷口,Kokku,Kokkō,함경선,128.76140,40.35560,1,1,Kankyōnan-dō,
hk_028,기암,奇巖,Kiam,Kigan,함경선,128.83760,40.37300,1,1,Kankyōnan-dō,
hk_029,용강,龍崗,Yonggang,Ryōkō,함경선,128.85460,40.39140,1,1,Kankyōnan-dō,
hk_030,오몽리,五夢里,Omongni,Gomuri,함경선,128.87520,40.43450,1,1,Kankyōnan-dō,
hk_032,여해진,汝海津,Yŏhaejin,Nyokaishin,함경선,128.99080,40.47520,1,1,Kankyōnan-dō,
hk_033,용대,龍臺,Yongdae,Ryūtai,함경선,129.06100,40.49050,1,1,Kankyōhoku-dō,
hk_034,일신,日新,Ilsin,Nisshin,함경선,129.10940,40.52160,1,1,Kankyōhoku-dō,
hk_035,만춘,晩春,Manch'un,Banshun,함경선,129.14710,40.56120,1,1,Kankyōhoku-dō,
hk_036,쌍룡,雙龍,Ssangnyong,Sōryō,함경선,129.16590,40.60610,1,1,Kankyōhoku-dō,
hk_037,성진,城津,Sŏngjin,Seishin,함경선,129.19400,40.66600,1,1,Kankyōhoku-dō,
hk_038,농성,農城,Nongsŏng,Nōsei,함경선,129.21650,40.74810,1,1,Kankyōhoku-dō,
hk_039,업억,業億,Ŏbŏk,Gōoku,함경선,129.18480,40.83370,1,1,Kankyōhoku-dō,
hk_040,원평,院坪,Wŏnp'yŏng,Enhei,함경선,129.20990,40.87280,1,1,Kankyōhoku-dō,
hk_041,노동,蘆洞,Nodong,Rodō,함경선,129.29030,40.92000,1,1,Kankyōhoku-dō,
hk_042,길주,吉州,Kilju,Kisshū,함경선 / 혜산선,129.32220,40.96160,1,1,Kankyōhoku-dō,
hk_043,금송,金松,Kŭmsong,Kinshō,함경선,129.34500,41.02180,1,1,Kankyōhoku-dō,
hk_044,고참,古站,Koch'am,Kotan,함경선,129.37370,41.12530,1,1,Kankyōhoku-dō,
hk_045,내포,內浦,Naep'o,Naiho,함경선,129.37920,41.16560,1,1,Kankyōhoku-dō,
hk_046,명천,明川,Myŏngch'ŏn,Meisen,함경선,129.40550,41.18410,1,1,Kankyōhoku-dō,
hk_047,상용전,上龍田,Sangyongjŏn,Kamiryūden,함경선,129.41700,41.21420,1,1,Kankyōhoku-dō,
hk_048,용동,龍洞,Yongdong,Ryōdō,함경선,129.44320,41.23020,1,1,Kankyōhoku-dō,
hk_049,영안,永安,Yŏngan,Eian,함경선,129.49280,41.25250,1,1,Kankyōhoku-dō,
hk_050,극동,極洞,Kŭktong,Gokudō,함경선,129.53740,41.26410,1,1,Kankyōhoku-dō,
hk_051,조막산,造幕山,Chomaksan,Zōmakusen,함경선,129.60070,41.25630,1,1,Kankyōhoku-dō,
hk_052,봉강,鳳岡,Ponggang,Bukō,함경선,129.65740,41.34090,1,1,Kankyōhoku-dō,
hk_053,어대진,漁大津,Ŏdaejin,Gyodaishin,함경선,129.71730,41.40170,1,1,,
hk_054,회문,會文,Hoemun,Kaibun,함경선,129.65990,41.44600,1,1,Kankyōhoku-dō,
hk_055,용현,龍峴,Yonghyŏn,Ryūken,함경선,129.63500,41.54580,1,1,Kankyōhoku-dō,
hk_056,주을,朱乙,Chuŭl,Shuitsu,함경선,129.60770,41.58670,1,1,Kankyōhoku-dō,
hk_057,생기령,生氣嶺,Saenggiryŏng,Seikiryō,함경선,129.60980,41.61320,1,1,Kankyōhoku-dō,
hk_058,경성,鏡城,Kyŏngsŏng,Kyōjō,함경선,129.62960,41.66700,1,1,Kankyōhoku-dō,
hk_059,나남,羅南,Nanam,Ranan,함경선,129.69730,41.71830,1,1,Kankyōhoku-dō,
hk_060,강덕,康徳,Kangdŏk,Kōtoku,함경선,129.74410,41.76690,1,1,Kankyōhoku-dō,
hk_062,반송,盤松,Pansong,Banshō,함경선,128.53640,40.17320,1,1,Kankyōnan-dō,
hn_001,대전,大田,Taejŏn,Taiden,호남선 / 경부선,127.43410,36.33200,1,1,Chūseinan-dō,
hn_002,서대전,西大田,Sŏdaejŏn,Nishitaiden,호남선,127.40270,36.32230,1,1,Chūseinan-dō,
hn_003,가수원,佳水院,Kasuwŏn,Kasuiin,호남선,127.35740,36.29660,1,1,Chūseinan-dō,
hn_004,흑석리,黒石里,Hŭksŏngni,Kokusekiri,호남선,127.33940,36.25690,1,1,Chūseinan-dō,
hn_005,두계,豆溪,Tugye,Tōkei,호남선,127.26660,36.27230,1,1,Chūseinan-dō,
hn_006,연산,連山,Yŏnsan,Renzan,호남선,127.19650,36.21040,1,1,Chūseinan-dō,
hn_007,논산,論山,Nonsan,Ronzan,호남선,127.08980,36.20540,1,1,Chūseinan-dō,
hn_008,강경,江景,Kanggyŏng,Kōkei,호남선,127.01340,36.15210,1,1,Chūseinan-dō,
hn_009,함열,咸悅,Hamyŏl,Kanetsu,호남선,126.95700,36.07920,1,1,Chūseinan-dō,
hn_010,황등,黄登,Hwangdŭng,Kōgō,호남선,126.94270,35.99990,1,1,Zenrahoku-dō,
hn_012,부용,芙蓉,Puyong,Fuyō,호남선,126.94540,35.87190,1,1,Zenrahoku-dō,
hn_013,김제,金堤,Kimje,Kintei,호남선,126.90330,35.79230,1,1,Zenrahoku-dō,
hn_014,신태인,新泰仁,Sint'aein,Shintaijin,호남선,126.88420,35.68840,1,1,Zenrahoku-dō,
hn_015,정읍,井邑,Chŏngŭp,Seiyū,호남선,126.84230,35.57660,1,1,Zenrahoku-dō,
hn_016,사가리,四街里,Sagari,Shigairi,호남선,126.80810,35.43070,1,1,Zenrahoku-dō,
hn_017,신흥리,新興里,Sinhŭngni,Shinkyōri,호남선,126.80470,35.37390,1,1,Zenranan-dō,
hn_018,장성,長城,Changsŏng,Chōjō,호남선,126.77970,35.29970,1,1,Zenranan-dō,
