id,en,label,labelAt,ja,orig,zh,ko,when,rule,cat,lvl,c,atoms,lights,within,hatch,edge,edgeAtoms,edgeClip,adminOnly,unseen,wiki
sarawak,Sarawak,,,サラワク (Sarawaku),Sarawak,砂拉越,,"Ruled by the Brooke family, 1841–1946",,british,3,,sarawak,,,,,,,,,https://en.wikipedia.org/wiki/Raj_of_Sarawak
northborneo,North Borneo,,,北ボルネオ (Kita Boruneo),,北婆羅洲,,Chartered company from 1881,,british,3,,northborneo,,,,,,,,,https://en.wikipedia.org/wiki/North_Borneo
brunei,Brunei,,,ブルネイ (Burunei),Brunei,汶萊,,Protectorate from 1888,,british,3,#c79aa8,brunei,,,,,,,,,https://en.wikipedia.org/wiki/Brunei
hongkong,Hong Kong,,,香港 (Honkon),香港 (Hēunggóng),香港,,British from 1842,,british,2,,hongkong,,,,,,,,,https://en.wikipedia.org/wiki/British_Hong_Kong
solomons_br,British Solomon Islands,,,ソロモン諸島,Solomon Islands,所羅門群島,,Protectorate from 1893,British protectorate,british,3,,solomons_br solomons_gc solomons_us solomons_ml solomons_al,,,,,,,,,https://en.wikipedia.org/wiki/British_Solomon_Islands
mandate_jp,South Seas Mandate — the mandate boundary,,,南洋群島委任統治領の境界,,南洋群島委任統治地界,,Japanese from 1914; League Class C mandate from 1920,,jpcolony,2,#c2463d,mandate_jp,,,,,,,,yes,https://en.wikipedia.org/wiki/South_Seas_Mandate
mandate_ex_guam,"Guam — inside the line, outside the mandate",,,,,,,American since 1898; never part of the mandate,,american,3,#325d7b,mandate_ex_guam,,,,,,,,yes,https://en.wikipedia.org/wiki/Guam
mandate_au,Territory of New Guinea — the mandate boundary,,,,,,,"Australian Class C mandate from 1920, run from Rabaul",,british,3,#c9a6b0,mandate_au,,,,,,,,yes,https://en.wikipedia.org/wiki/Territory_of_New_Guinea
mandate_br,Nauru — the mandate boundary,,,,,,,"British Class C mandate from 1920, administered by Australia",,british,3,#b07f8e,mandate_br,,,,,,,,yes,https://en.wikipedia.org/wiki/Nauru
gilberts,Gilbert & Ellice Islands,,,ギルバート諸島,Tungaru,吉爾伯特群島,,British colony from 1916; a protectorate from 1892,,british,3,,gilberts ellice,,,,,,,,,https://en.wikipedia.org/wiki/Gilbert_and_Ellice_Islands
linephoenix,The Line & Phoenix Islands,,,,,,,Gilbert & Ellice Islands Colony,British colony,british,3,,linephoenix,,,,,,,,,https://en.wikipedia.org/wiki/Line_Islands
uspacific,"Palmyra, Kingman Reef, Howland, Baker, Jarvis & Swains",,,,,,,American; most claimed under the Guano Islands Act,American,american,3,,uspacific,,,,,,,,,https://en.wikipedia.org/wiki/United_States_Minor_Outlying_Islands
nzpacific,Tokelau & the northern Cook Islands,,,,,,,Administered by New Zealand,,british,3,,nzpacific,,,,,,,,,https://en.wikipedia.org/wiki/Tokelau
indochina,French Indochina,,,仏印 (Futsuin),Đông Dương thuộc Pháp,法屬印度支那,,French from the 1880s,,french,1,,indochina siamgain,,,,,,,,,https://en.wikipedia.org/wiki/French_Indochina
dei,Netherlands East Indies,,,,Nederlandsch-Indië,,,Dutch,,dutch,1,,dei,,,,,,,,,https://en.wikipedia.org/wiki/Dutch_East_Indies
philippines,Philippine Islands,,,比島 (Hitō),Pilipinas,菲律賓,,American from 1898,,american,1,,philippines,,,,,,,,,https://en.wikipedia.org/wiki/Insular_Government_of_the_Philippine_Islands
wake,Wake Island,,,,Wake,,,American from 1899,American territory,american,3,,wake,,,,,,,,,https://en.wikipedia.org/wiki/Wake_Island
guam,Guam,,,グアム (Guamu),Guåhan,關島,,American from 1898,American territory,american,3,,guam,,,,,,,,,https://en.wikipedia.org/wiki/Guam
hawaii,Hawaii,,,,Hawaiʻi,夏威夷,,Annexed 1898,American territory,american,2,,hawaii,,,,,,,,,https://en.wikipedia.org/wiki/Territory_of_Hawaii
aleutians,Aleutian Islands,,,,Unangam Tanangin,阿留申群島,,Part of the Alaska Territory,American territory,american,3,,aleutians aleutians_jp,,,,,,,,,https://en.wikipedia.org/wiki/Aleutian_Islands
turtle,Turtle & Mangsee Islands,,,,Kepulauan Penyu / Mangsee,,,"Allocated to the Philippines by treaty, 2 January 1930",Administered by British North Borneo,american,3,,turtle mangsee,,,brit,,,,,,"https://en.wikipedia.org/wiki/Turtle_Islands,_Tawi-Tawi"
miangas,Miangas (Palmas),,,ミアンガス島,Miangas,,,"Awarded to the Netherlands, 4 April 1928",,dutch,4,,miangas,,,,,,,,,https://en.wikipedia.org/wiki/Miangas
cocos,Cocos (Keeling) Islands,,,,Pulu Kokos,,,A Straits Settlement from 1903,"British colony, run from Singapore",british,3,,cocos,,,,,,,,,https://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands
spratly,Spratly Islands,,,新南群島 (Shinnan Guntō),Trường Sa / Kapuluan ng Kalayaan,南沙群島,,"Occupied by France, April 1930; annexed 1933",Claimed by France; Britain had claimed them earlier,french,3,,spratly,,,,,,,,,https://en.wikipedia.org/wiki/Spratly_Islands
paracel,Paracel Islands,,,西沙群島 (Seisa Guntō),Hoàng Sa,西沙群島,,Claimed by China and by France,,chinese,3,,paracel,,,,,,,,,https://en.wikipedia.org/wiki/Paracel_Islands
pratas,Dōngshā (Pratas Island),,,東沙島 (Tōsa-tō),東沙島 (Dōngshā),東沙島,프라타스섬,"Chinese, in Kwangtung province",,chinese,3,,pratas,,,,,,,,,https://en.wikipedia.org/wiki/Pratas_Island
timor_pt,Portuguese Timor,,,,Timor Português,,,Portuguese,,portuguese,3,,timor_pt,,,,,,,,,https://en.wikipedia.org/wiki/Portuguese_Timor
macau,Macao,,,マカオ (Makao),澳門 (Ou-mun),澳門,,Portuguese from the 1550s,,portuguese,3,,macau,,,,,,,,,https://en.wikipedia.org/wiki/Portuguese_Macau
siam,Siam,,,,สยาม (Sayam),,,Never colonised,,independent,2,,siam,,,,,,,,,https://en.wikipedia.org/wiki/Thailand
ussr,Soviet Union (USSR),,,,СССР (SSSR),蘇聯,,From 1922,,soviet,1,,ussr,,,,,,,,,https://en.wikipedia.org/wiki/Soviet_Union
mongolia,Mongolian People’s Republic (Outer Mongolia),,,,Бүгд Найрамдах Монгол Ард Улс,蒙古人民共和國,,From 1924,,soviet,2,#d3d1e6,mongolia,,,,,,,,,https://en.wikipedia.org/wiki/Mongolian_People's_Republic
australia,Australia,,,,Australia,澳大利亞,,Dominion,,british,2,#c9a6b0,australia,,,,,,,,,https://en.wikipedia.org/wiki/Australia
newguinea_au,Papua & the Territory of New Guinea,,,ニューギニア,Niugini,新幾內亞,,Australian territory & mandate,,british,3,#c9a6b0,newguinea_au,,,,,,,,,https://en.wikipedia.org/wiki/Territory_of_Papua
nauru_au,Nauru,,,ナウル,Naoero,諾魯,,Mandate from 1920,"Mandate — Australia, Britain and New Zealand",british,3,#c9a6b0,nauru_au,,,,,,,,,https://en.wikipedia.org/wiki/Nauru
weihaiwei,Wēihǎiwèi (Wēihǎi),Wēihǎiwèi,,威海衛 (Ikaiei),威海衛 (Wēihǎiwèi),威海衛,,"Leased 1898, returned 1 October 1930",,british,3,#c08a99,weihaiwei,,,,,,,,,https://en.wikipedia.org/wiki/British_Weihaiwei
guangzhouwan,Guǎngzhōuwān (Kwangchowan),,,広州湾 (Kōshūwan),Kouang-Tchéou-Wan,廣州灣,,Leased to France 1898–1945,,french,3,,guangzhouwan,,,,,,,,,https://en.wikipedia.org/wiki/Guangzhouwan
tuva,Tannu Tuva (Tuvan People’s Republic),,,,Тыва Арат Республик,唐努圖瓦,,Independent in name from 1921,,soviet,3,#d3d1e6,tuva,,,,#bebada,,,,,https://en.wikipedia.org/wiki/Tuvan_People's_Republic
nepal,Nepal,,,,नेपाल (Nepāl),尼泊爾,,"Independent, in treaty with Britain",,other,3,#e2d9c6,nepal,,,,,,,,,https://en.wikipedia.org/wiki/Kingdom_of_Nepal
sikkim,Sikkim,,,,འབྲས་ལྗོངས (Drenjong),錫金,,"British protectorate from 1861, recognised by China 1890",,british,3,#dcc2ce,sikkim,,,,,,,,,https://en.wikipedia.org/wiki/Kingdom_of_Sikkim
bhutan,Bhutan,,,,འབྲུག་ཡུལ (Druk Yul),不丹,,British protectorate from 1910,,other,3,#c9a6b0,bhutan,,,,,,,,,https://en.wikipedia.org/wiki/Bhutan
other,Afghanistan,,,,"Afghanistan, Nepal, Bhutan",阿富汗・尼泊爾・不丹,,,,other,3,,other,,,,,,,,,https://en.wikipedia.org/wiki/Kingdom_of_Afghanistan
contested,Border is contested or not fixed,-,,未確定国境,,未定國界,,,,contested,3,transparent,contested contested_burma,,,unclear,,,,,,
