line,station,table,n_trains,method,spread_m,exp_km,exp_lon,exp_lat,n_cands_3km,candidate,cand_osm_id,cand_dist_to_exp_m,cand_dist_to_line_m,cand_already_placed
滿鐵社線 連京線,唐三家子,p14a_manshu_renkeisen_hoten_shinkyo.tt,1,虎石臺~新城子,0,417.7,123.5009,41.94013,0,,,,,
滿鐵社線 連京線,山頭堡,p14a_manshu_renkeisen_hoten_shinkyo.tt,1,平頂堡~中固,0,476.8,123.884,42.33498,0,,,,,
滿鐵社線 連京線,金溝子,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,開原~馬仲河,1266,505.4,124.02495,42.54835,0,,,,,
滿鐵社線 連京線,滿井,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,昌圖~雙廟子,1928,532.9,124.0843,42.76351,0,,,,,
滿鐵社線 連京線,泉頭,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,昌圖~雙廟子,3172,539.1,124.13973,42.7943,0,,,,,
滿鐵社線 連京線,桿勾子,p14a_manshu_renkeisen_hoten_shinkyo.tt,7,雙廟子~四平,3666,555.1,124.19388,42.92593,0,,,,,
滿鐵社線 連京線,牤牛哨,p14a_manshu_renkeisen_hoten_shinkyo.tt,7,雙廟子~四平,8379,560.2,124.21394,42.969,1,毛家店,8434476648,245,89,
滿鐵社線 連京線,楊木林,p14a_manshu_renkeisen_hoten_shinkyo.tt,7,四平~十家堡,1094,582.5,124.34881,43.13006,0,,,,,
滿鐵社線 連京線,劉房子,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,公主嶺~陶家屯,11645,638.7,124.77517,43.49174,0,,,,,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,朝阳桥,6521283115,127,8,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,文化广场,6520538368,266,1406,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,解放大路,6520150651,382,2606,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,解放大路,6520150652,384,2633,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,南昌路,6521283113,509,17,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,建设广场,6520538367,681,616,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,平阳街,6520538369,724,3277,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,解放桥,6520538366,949,136,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,景阳广场,6520538365,959,1093,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,东北师大,6520150653,962,3345,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,西安桥,6521283111,1090,15,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,解放桥,6521283121,1137,19,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,万福街,6520538359,1165,1892,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,人民广场,6520150650,1387,2050,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,和平大街,6520538358,1590,2693,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,湖西桥,6521283125,1997,20,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,南湖公园,14124068895,2299,2711,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,芙蓉桥,11432008356,2376,3,
滿鐵社線 連京線,南新京,p14a_manshu_renkeisen_hoten_shinkyo.tt,6,孟家屯~新京,3359,684.0,125.15052,43.77086,19,宽平桥,6521283132,2963,5,
滿鐵社線 安奉線,新京,p20a_manshu_anpousen_hoten_anto.tt,1,extrap 奉天,0,-342.4,123.39612,41.80282,0,,,,,
滿鐵社線 安奉線,公主嶺,p20a_manshu_anpousen_hoten_anto.tt,1,extrap 奉天,0,-273.0,123.39612,41.80282,0,,,,,
滿鐵社線 安奉線,四平,p20a_manshu_anpousen_hoten_anto.tt,1,extrap 奉天,0,-212.7,123.39612,41.80282,0,,,,,
滿鐵社線 安奉線,開原,p20a_manshu_anpousen_hoten_anto.tt,1,extrap 奉天,0,-121.9,123.39612,41.80282,0,,,,,
滿鐵社線 安奉線,鐵嶺,p20a_manshu_anpousen_hoten_anto.tt,1,extrap 奉天,0,-83.0,123.39612,41.80282,0,,,,,
滿鐵社線 安奉線,吳家屯,p20a_manshu_anpousen_hoten_anto.tt,3,蘇家屯~陳相屯,3290,28.1,123.42097,41.59035,0,,,,,
滿鐵社線 安奉線,郝家堡,p20a_manshu_anpousen_hoten_anto.tt,5,連山關~草河口,6604,138.8,123.83875,40.91761,1,祁家堡,1662256010,1886,26,
滿鐵社線 安奉線,秋木莊,p20a_manshu_anpousen_hoten_anto.tt,3,劉家河~鷄冠山,1645,180.8,123.94405,40.63075,0,,,,,
滿鐵社線 安奉線,南干,p20a_manshu_anpousen_hoten_anto.tt,4,鷄冠山~鳳凰城,4553,203.8,123.96021,40.49136,0,,,,,
滿鐵社線 安奉線,四臺子,p20a_manshu_anpousen_hoten_anto.tt,4,鷄冠山~鳳凰城,2026,209.7,124.02287,40.48798,0,,,,,
滿鐵社線 安奉線,張家堡,p20a_manshu_anpousen_hoten_anto.tt,4,鳳凰城~高麗門,2113,224.6,124.03892,40.37729,0,,,,,
滿鐵社線 安奉線,老古溝,p20a_manshu_anpousen_hoten_anto.tt,4,五龍背~蛤蟆塘,2131,260.5,124.34741,40.21184,0,,,,,
滿鐵社線 金城線,牛角山,p23b_manshu_kinjosen_kinshu_jokotan.tt,2,金州東門~廐寧寺,1822,44.7,121.76474,39.18096,1,二十里台,8756066329,854,1602,yes
滿鐵社線 金城線,冨廠屯,p23b_manshu_kinjosen_kinshu_jokotan.tt,4,廐寧寺~亮甲店,1699,59.7,121.90869,39.19031,0,,,,,
滿鐵社線 金城線,泉水屯,p23b_manshu_kinjosen_kinshu_jokotan.tt,2,亮甲店~登沙河,942,68.3,121.96718,39.19711,0,,,,,
滿鐵社線 金城線,棋杆底,p23b_manshu_kinjosen_kinshu_jokotan.tt,2,登沙河~杏樹屯,227,82.1,122.09808,39.23779,0,,,,,
滿鐵社線 金城線,宮ノ宿,p23b_manshu_kinjosen_kinshu_jokotan.tt,2,杏樹屯~貔子窩,147,91.1,122.17431,39.28528,0,,,,,
滿鐵社線 金城線,大釣家,p23b_manshu_kinjosen_kinshu_jokotan.tt,2,杏樹屯~貔子窩,37,95.2,122.18656,39.3207,0,,,,,
滿鐵社線 金城線,淸水河,p23b_manshu_kinjosen_kinshu_jokotan.tt,4,杏樹屯~貔子窩,2288,100.8,122.22773,39.34757,0,,,,,
滿鐵社線 金城線,李家屯,p23b_manshu_kinjosen_kinshu_jokotan.tt,4,杏樹屯~貔子窩,1136,108.2,122.27211,39.3797,0,,,,,
滿鐵社線 撫順線,牛相屯,p24a_manshu_bujunsen_hoten_bujun.tt,3,孤家子~深井子,0,25.7,123.56566,41.75536,1,新园,8402523366,254,6,
滿鐵社線 撫順線,李石寨,p24a_manshu_bujunsen_hoten_bujun.tt,8,深井子~園兒屯,402,40.3,123.7221,41.81531,1,三宝屯,10973711947,2907,818,
滿鐵社線 旅順線,夏家河子,p25a_manshu_ryojunsen_dairen_ryojun.tt,8,革鎭堡~牧城子,7674,37.6,121.48162,39.02203,0,,,,,
滿鐵社線 旅順線,龍頭,p25a_manshu_ryojunsen_dairen_ryojun.tt,7,長嶺子~旅順,1268,11.1,121.30105,38.86678,0,,,,,
滿鐵社線 旅順線,水師營,p25a_manshu_ryojunsen_dairen_ryojun.tt,4,長嶺子~旅順,209,4.7,121.25282,38.84396,1,旅顺,9162046997,402,182,
滿鐵社線 煙臺炭礦線,煙臺炭礦,p25c_manshu_entaitankousen_entai_tankou.tt,0,no usable times,,,,,,,,,,
國線 溪城線,橋頭,p25e_kokusen_keijousen_kyuhara_denshifu.tt,4,extrap 宮原,9811,-1.3,123.72464,41.20792,3,桥头,2349438745,1343,1867,yes
國線 溪城線,橋頭,p25e_kokusen_keijousen_kyuhara_denshifu.tt,4,extrap 宮原,9811,-1.3,123.72464,41.20792,3,桥北,9763216770,1510,15,
國線 溪城線,橋頭,p25e_kokusen_keijousen_kyuhara_denshifu.tt,4,extrap 宮原,9811,-1.3,123.72464,41.20792,3,金家堡,9174541219,2580,1711,
國線 溪城線,明山,p25e_kokusen_keijousen_kyuhara_denshifu.tt,4,宮原~牛心臺,2225,14.9,123.7795,41.31264,1,本溪湖,2349438701,1137,1572,yes
國線 溪城線,泉水,p25e_kokusen_keijousen_kyuhara_denshifu.tt,3,小市~南甸,1528,65.7,124.17888,41.3274,0,,,,,
國線 溪城線,北甸,p25e_kokusen_keijousen_kyuhara_denshifu.tt,3,小市~南甸,3044,83.2,124.31837,41.34022,0,,,,,
國線 安南線,宮島,p25g_kokusen_annansen_anto_minamianto.tt,0,no usable times,,,,,,,,,,
國線 安南線,南安東,p25g_kokusen_annansen_anto_minamianto.tt,0,no usable times,,,,,,,,,,
國線 奉吉線,北山,p26a_kokusen_hokichisen_kirin_hoten.tt,5,吉林~黃旗屯,2673,6.5,126.52793,43.84223,3,玄天岭,14166914685,788,7,
國線 奉吉線,北山,p26a_kokusen_hokichisen_kirin_hoten.tt,5,吉林~黃旗屯,2673,6.5,126.52793,43.84223,3,北山雪松,14166914687,794,2,
國線 奉吉線,北山,p26a_kokusen_hokichisen_kirin_hoten.tt,5,吉林~黃旗屯,2673,6.5,126.52793,43.84223,3,珲春中街,14166914686,1767,13,
國線 奉吉線,白山,p26a_kokusen_hokichisen_kirin_hoten.tt,0,no usable times,,,,,,,,,,
國線 奉吉線,靠山屯,p26a_kokusen_hokichisen_kirin_hoten.tt,3,磐石~朝陽鎭,1411,162.7,126.13895,42.79137,0,,,,,
國線 奉吉線,連河,p26a_kokusen_hokichisen_kirin_hoten.tt,5,海龍~梅河口,7124,208.4,125.73087,42.59735,0,,,,,
國線 奉吉線,元帥林,p26a_kokusen_hokichisen_kirin_hoten.tt,3,南雜木~營盤,1071,364.1,124.23185,41.9322,1,铁背山,9176129496,1870,9,
國線 奉吉線,撫順城,p26a_kokusen_hokichisen_kirin_hoten.tt,4,前甸~東陵,1471,399.1,123.82909,41.86525,4,抚顺,9174531414,539,40,yes
國線 奉吉線,撫順城,p26a_kokusen_hokichisen_kirin_hoten.tt,4,前甸~東陵,1471,399.1,123.82909,41.86525,4,高尔山,9162845412,1316,949,
國線 奉吉線,撫順城,p26a_kokusen_hokichisen_kirin_hoten.tt,4,前甸~東陵,1471,399.1,123.82909,41.86525,4,南台,10917569598,1660,3079,
國線 奉吉線,撫順城,p26a_kokusen_hokichisen_kirin_hoten.tt,4,前甸~東陵,1471,399.1,123.82909,41.86525,4,矿务局,10973711955,2970,2660,
國線 奉吉線,□婆,p26a_kokusen_hokichisen_kirin_hoten.tt,4,前甸~東陵,2230,409.5,123.70212,41.85776,3,滴台,9176129502,470,3,
國線 奉吉線,□婆,p26a_kokusen_hokichisen_kirin_hoten.tt,4,前甸~東陵,2230,409.5,123.70212,41.85776,3,瓢儿屯,9174531416,481,2652,yes
國線 奉吉線,□婆,p26a_kokusen_hokichisen_kirin_hoten.tt,4,前甸~東陵,2230,409.5,123.70212,41.85776,3,大朴屯,10973711949,2190,2954,
國線 奉吉線,□姑,p26a_kokusen_hokichisen_kirin_hoten.tt,4,前甸~東陵,2334,417.2,123.61121,41.85717,3,旧站,9176129503,496,24,
國線 奉吉線,□姑,p26a_kokusen_hokichisen_kirin_hoten.tt,4,前甸~東陵,2334,417.2,123.61121,41.85717,3,伯官,11768457613,1598,2054,
國線 奉吉線,□姑,p26a_kokusen_hokichisen_kirin_hoten.tt,4,前甸~東陵,2334,417.2,123.61121,41.85717,3,三宝屯,10973711947,2881,3444,
國線 壺蘆島線,壺蘆島,p26b_kokusen_korotosen_kinsei_korotoo.tt,1,extrap 錦西,0,7.7,120.91678,40.72863,1,马仗房,8780112732,1692,38,
國線 壺蘆島線,壺蘆島埠頭,p26b_kokusen_korotosen_kinsei_korotoo.tt,1,extrap 錦西,0,3.1,120.96632,40.73024,2,龙港,8780112731,1982,41,
國線 壺蘆島線,壺蘆島埠頭,p26b_kokusen_korotosen_kinsei_korotoo.tt,1,extrap 錦西,0,3.1,120.96632,40.73024,2,马仗房,8780112732,2937,38,
滿洲國線 奉山線,巨流河,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,興隆店~新民,6812,53.7,122.93426,42.0241,0,,,,,
滿洲國線 奉山線,柳河溝,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,4,新民~白旗堡,8938,76.2,122.71715,41.93151,0,,,,,
滿洲國線 奉山線,勵家,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,4,饒陽河~唐家,5622,112.1,122.36581,41.74321,0,,,,,
滿洲國線 奉山線,頭家屯,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,4,青堆子~溝幫子,3776,171.0,121.83353,41.39521,0,,,,,
滿洲國線 奉山線,羊圈子,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,6,溝幫子~石山,7801,193.7,121.61527,41.27231,0,,,,,
滿洲國線 奉山線,圓家,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,4,石山~大凌河,6238,211.2,121.42917,41.20052,1,红旗,1582507174,699,11,
滿洲國線 奉山線,陳家屯,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,7,女兒河~高橋,2020,263.2,121.0011,40.96593,1,大兴,9123967456,2057,3764,
滿洲國線 奉山線,鵬家溝,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,錦西~興城,4136,306.8,120.74316,40.64754,0,,,,,
滿洲國線 奉山線,白廟子,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,4,興城~沙後所,3433,327.4,120.58013,40.5167,0,,,,,
滿洲國線 奉山線,荒地,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,3,綏中~前衛,2064,375.3,120.22372,40.2068,0,,,,,
滿洲國線 奉山線,前所,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,4,萬橋~茂家屯,9870,408.5,119.89782,40.06475,0,,,,,
滿洲國線 奉山線,塘沽埠頭,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,北戴河~天津,10413,670.0,117.48163,39.05223,8,泰达,9274358849,74,68,
滿洲國線 奉山線,塘沽埠頭,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,北戴河~天津,10413,670.0,117.48163,39.05223,8,泰达,11060854059,415,657,
滿洲國線 奉山線,塘沽埠頭,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,北戴河~天津,10413,670.0,117.48163,39.05223,8,市民广场,11060847639,635,2824,
滿洲國線 奉山線,塘沽埠頭,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,北戴河~天津,10413,670.0,117.48163,39.05223,8,滨海站,13461586765,885,2328,
滿洲國線 奉山線,塘沽埠頭,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,北戴河~天津,10413,670.0,117.48163,39.05223,8,滨海,3657675426,961,2464,
滿洲國線 奉山線,塘沽埠頭,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,北戴河~天津,10413,670.0,117.48163,39.05223,8,友谊道,13461586766,1146,3425,
滿洲國線 奉山線,塘沽埠頭,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,北戴河~天津,10413,670.0,117.48163,39.05223,8,塘沽,11060854060,1743,695,
滿洲國線 奉山線,塘沽埠頭,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,北戴河~天津,10413,670.0,117.48163,39.05223,8,第五大街,13461586762,2543,1751,
滿洲國線 奉山線,北京,p28a_kokusen_houzansen_kitahouten_sankaikan.tt,5,extrap 天津,41654,857.3,116.37513,39.86535,0,,,,,
滿洲國線 奉山線,塘沽碼頭,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,6,天津~北戴河,9290,669.6,117.48719,39.05144,8,泰达,9274358849,396,68,
滿洲國線 奉山線,塘沽碼頭,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,6,天津~北戴河,9290,669.6,117.48719,39.05144,8,泰达,11060854059,886,657,
滿洲國線 奉山線,塘沽碼頭,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,6,天津~北戴河,9290,669.6,117.48719,39.05144,8,市民广场,11060847639,1105,2824,
滿洲國線 奉山線,塘沽碼頭,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,6,天津~北戴河,9290,669.6,117.48719,39.05144,8,滨海站,13461586765,1355,2328,
滿洲國線 奉山線,塘沽碼頭,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,6,天津~北戴河,9290,669.6,117.48719,39.05144,8,滨海,3657675426,1432,2464,
滿洲國線 奉山線,塘沽碼頭,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,6,天津~北戴河,9290,669.6,117.48719,39.05144,8,友谊道,13461586766,1616,3425,
滿洲國線 奉山線,塘沽碼頭,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,6,天津~北戴河,9290,669.6,117.48719,39.05144,8,第五大街,13461586762,2073,1751,
滿洲國線 奉山線,塘沽碼頭,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,6,天津~北戴河,9290,669.6,117.48719,39.05144,8,塘沽,11060854060,2213,695,
滿洲國線 奉山線,蘭家溝,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,5,興城~錦西,3347,305.8,120.75091,40.65424,0,,,,,
滿洲國線 奉山線,團家,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,5,大凌河~石山,4679,210.0,121.443,41.20399,1,红旗,1582507174,1910,11,
滿洲國線 奉山線,趙家屯,p30a_kokusen_hozansen_sankaikan_kitahoten.tt,6,溝幇子~靑堆子,5937,169.8,121.84447,41.40141,0,,,,,
滿洲國線 新義線,蒼土,p31b_kokusen_shingisen_shinryutun_giken.tt,3,新立屯~新邱,271,64.4,122.12226,42.01203,0,,,,,
滿洲國線 新義線,大巴,p31b_kokusen_shingisen_shinryutun_giken.tt,3,新立屯~新邱,872,75.7,122.05085,42.08421,0,,,,,
滿洲國線 新義線,沙拉,p31b_kokusen_shingisen_shinryutun_giken.tt,3,新立屯~新邱,941,88.4,121.91689,42.10959,0,,,,,
滿洲國線 新義線,東阜新,p31b_kokusen_shingisen_shinryutun_giken.tt,5,新邱~阜新,342,111.2,121.70899,42.02393,0,,,,,
滿洲國線 新義線,西阜新,p31b_kokusen_shingisen_shinryutun_giken.tt,6,阜新~東梁,7660,123.9,121.58209,41.96049,0,,,,,
滿洲國線 新義線,伊瑪圖,p31b_kokusen_shingisen_shinryutun_giken.tt,5,東梁~淸河門,1614,138.1,121.47874,41.86569,1,伊吗图,6982315837,2606,3629,
滿洲國線 新義線,九道嶺,p31b_kokusen_shingisen_shinryutun_giken.tt,4,李金~義縣,1768,174.3,121.29808,41.58305,0,,,,,
滿鐵社線 高新線,小梁山,p31d_mantetsu_koshinsen_shinryutun_kodaisan.tt,1,姚堡~高台山,0,39.0,122.62257,42.05715,0,,,,,
滿鐵社線 高新線,羅家,p31d_mantetsu_koshinsen_shinryutun_kodaisan.tt,1,姚堡~高台山,0,54.0,122.79927,42.04121,2,新民北,4507873121,879,1912,
滿鐵社線 高新線,羅家,p31d_mantetsu_koshinsen_shinryutun_kodaisan.tt,1,姚堡~高台山,0,54.0,122.79927,42.04121,2,新民,1655741363,2754,3830,yes
國線 葉峰線,乃林,p32e_kokusen_yohosen_yohakuju_sekiho.tt,2,汐子~赤峰,460,286.5,119.29326,41.8758,1,乃林,1722042118,1533,2041,
國線 葉峰線,古山,p32e_kokusen_yohosen_yohakuju_sekiho.tt,2,汐子~赤峰,1011,302.0,119.27458,42.00896,1,平庄北,1720956500,871,3539,
國線 葉峰線,熱水,p32e_kokusen_yohosen_yohakuju_sekiho.tt,2,汐子~赤峰,1213,312.0,119.22578,42.08585,0,,,,,
國線 葉峰線,玉皇,p32e_kokusen_yohosen_yohakuju_sekiho.tt,2,汐子~赤峰,827,322.9,119.15504,42.15535,0,,,,,
國線 葉峰線,紅廟子,p32e_kokusen_yohosen_yohakuju_sekiho.tt,2,汐子~赤峰,349,336.3,119.01459,42.20967,0,,,,,
國線 錦古線,上齊營,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,薛家~七里河,0,262.4,121.23162,41.25705,0,,,,,
國線 錦古線,泥河子,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,七里河~義縣,0,285.1,121.21561,41.45373,0,,,,,
國線 錦古線,周家屯,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,義縣~上圓,0,308.7,121.07271,41.58184,0,,,,,
國線 錦古線,南嶺,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,上圓~金溝,0,331.7,120.87423,41.6914,0,,,,,
國線 錦古線,金嶺寺,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,上圓~金溝,0,343.8,120.74938,41.68024,0,,,,,
國線 錦古線,能家,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,上圓~金溝,0,355.9,120.65746,41.59742,0,,,,,
國線 錦古線,大營子,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,朝陽~大平房,0,394.7,120.31924,41.46099,0,,,,,
國線 錦古線,東大道,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,大平房~波羅赤,0,421.0,120.02397,41.40019,1,奈林皋,4507841540,1072,904,
國線 錦古線,宋杖子,p32g_kokusen_kinkosen_kinken_kohokuko.tt,2,凌源~水泉,2097,503.5,119.21791,41.17751,0,,,,,
國線 錦古線,老鴿,p32g_kokusen_kinkosen_kinken_kohokuko.tt,2,三十家~楊樹嶺,537,545.5,118.95985,40.95834,0,,,,,
國線 錦古線,藍旗,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,灤河~灤平,0,726.7,117.52123,40.99273,0,,,,,
國線 錦古線,窰溝門,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,灤河~灤平,0,739.8,117.38896,40.97158,1,张百湾,3956223671,2682,21,
國線 錦古線,拉海溝,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,灤平~古北口,0,777.2,117.03492,40.88245,0,,,,,
國線 錦古線,火斗山,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,灤平~古北口,0,788.0,117.02227,40.81656,1,虎什哈,3956117972,1634,5,
國線 錦古線,密雲,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,古北口~北京,0,878.3,116.62581,40.29991,3,雁栖湖,9638789772,1167,7,
國線 錦古線,密雲,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,古北口~北京,0,878.3,116.62581,40.29991,3,怀柔北,7805076368,2563,22,
國線 錦古線,密雲,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,古北口~北京,0,878.3,116.62581,40.29991,3,雁栖湖,7805085887,2858,18,
國線 錦古線,新通州,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,古北口~北京,0,940.6,116.44644,39.89926,11,中仓,4883415766,297,2993,
國線 錦古線,新通州,p32g_kokusen_kinkosen_kinken_kohokuko.tt,1,古北口~北京,0,940.6,116.44644,39.89926,11,通州北苑,5444674048,387,798,
