id,hanji,pinyin,romaji,kana,kind,lon,lat,confidence,source_type,source_url,valid_from,valid_to,alt_names,note,district,district_kanji,shu,short
tws011,彰化,Zhānghuà,Shōka,しょうか,station,120.53839,24.08165,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%BD%B0%E5%8C%96%E9%A7%85,,,,"Where the trunk line's two routes join again, the coast line of 1922 and the older mountain line through Taichū. The fan-shaped engine shed built here in 1922 to turn locomotives between them is still standing.",TwShoka,彰化郡,Taichū-shū,"A station in Shōka-gun (彰化郡), Taichū-shū."
tws012,大肚,Dàdù,Daito,だいと,station,120.54237,24.15417,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%A4%A7%E8%82%9A%E9%A7%85,,,,,TwTaikou,大甲郡,Taichū-shū,"A station in Taikō-gun (大甲郡), Taichū-shū."
tws013,追分,Zhuīfēn,Oiwake,おいわけ,station,120.56989,24.12016,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E8%BF%BD%E5%88%86%E9%A7%85,,,,,TwTaikou,大甲郡,Taichū-shū,"A station in Taikō-gun (大甲郡), Taichū-shū."
tws014,王田,Wángtián,,,station,120.58845,24.11498,unverified,,,,,,,TwDaiton,大屯郡,Taichū-shū,"A station in Daiton-gun (大屯郡), Taichū-shū."
tws015,烏日,Wūrì,Ujitsu,うじつ,station,120.62253,24.10882,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E7%83%8F%E6%97%A5%E9%A7%85,,,,,TwDaiton,大屯郡,Taichū-shū,"A station in Daiton-gun (大屯郡), Taichū-shū."
tws016,台中,Táizhōng,Taichū,たいちゅう,station,120.68494,24.13671,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%8F%B0%E4%B8%AD%E9%A7%85,,,,"The seat of Taichū-shū, and where the trunk line was declared finished: the ceremony for the through route from Kīrun to Takao was held in the park here in October 1908, and the pavilion built on the lake for it is still the city's emblem.",TwTaichu,臺中市,Taichū-shū,"A station in Taichū-shi (臺中市), Taichū-shū."
tws017,員林,Yuánlín,Inrin,いんりん,station,120.56939,23.95954,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%93%A1%E6%9E%97%E9%A7%85,,,,,TwInrin,員林郡,Taichū-shū,"A station in Inrin-gun (員林郡), Taichū-shū."
tws018,唭里岸,Qílǐàn,,,station,121.51764,25.11156,unverified,,,,,,,TwShichisei,七星郡,Taihoku-shū,"A station in Shichisei-gun (七星郡), Taihoku-shū."
tws019,士林,Shìlín,Shirin,しりん,station,121.52640,25.09210,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%A3%AB%E6%9E%97%E9%A7%85,,,,,TwShichisei,七星郡,Taihoku-shū,"A station in Shichisei-gun (七星郡), Taihoku-shū."
tws020,七堵,Qīdǔ,Shichito,しちと,station,121.71589,25.09717,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E4%B8%83%E5%A0%B5%E9%A7%85,,,,,TwKirun,基隆郡,Taihoku-shū,"A station in Kīrun-gun (基隆郡), Taihoku-shū."
tws021,八堵,Bādǔ,Hatto,はっと,station,121.72917,25.10887,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%85%AB%E5%A0%B5%E9%A7%85,,,,"The junction where the Giran line left the trunk line for the north-east coast. It stands a few minutes short of Kīrun, and the whole eastern half of the northern network hung off it.",TwKirun,基隆郡,Taihoku-shū,"A station in Kīrun-gun (基隆郡), Taihoku-shū."
tws022,八堵,Bādǔ,Hatto,はっと,station,121.72921,25.10844,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%85%AB%E5%A0%B5%E9%A7%85,,,,"The junction where the Giran line left the trunk line for the north-east coast. It stands a few minutes short of Kīrun, and the whole eastern half of the northern network hung off it.",TwKirun,基隆郡,Taihoku-shū,"A station in Kīrun-gun (基隆郡), Taihoku-shū."
tws023,暖暖,Nuǎnnuǎn,Dandan,だんだん,station,121.74060,25.10208,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%9A%96%E6%9A%96%E9%A7%85,,,,,TwKirun,基隆郡,Taihoku-shū,"A station in Kīrun-gun (基隆郡), Taihoku-shū."
tws024,基隆,Jīlóng,Kiirun,きいるん,station,121.73936,25.13256,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%9F%BA%E9%9A%86%E9%A7%85,,,,"The northern end of the trunk line and the colony's door to Japan. A railway from here to Taihoku was the Qing government's, opened in 1891; the Japanese rebuilt it, carried it the length of the island, and rebuilt the harbour alongside it. By the 1930s most people and most freight entering Taiwan came through Kīrun.",TwKirunShi,基隆市,Taihoku-shū,"A station in Kīrun-shi (基隆市), Taihoku-shū."
tws025,宮下,Gōngxià,,,halt,121.52335,25.07828,unverified,,,,,,,TwTaihoku,臺北市,Taihoku-shū,"A halt in Taihoku-shi (臺北市), Taihoku-shū."
tws026,圓山,Yuánshān,Maruyama,まるやま,station,121.52033,25.07134,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%9C%93%E5%B1%B1%E9%A7%85,,,,,TwTaihoku,臺北市,Taihoku-shū,"A station in Taihoku-shi (臺北市), Taihoku-shū."
tws027,雙連,Shuānglián,Sōren,そうれん,station,121.52076,25.05876,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%8F%8C%E9%80%A3%E9%A7%85,,,,,TwTaihoku,臺北市,Taihoku-shū,"A station in Taihoku-shi (臺北市), Taihoku-shū."
tws028,大正街,Dàzhèngjiē,,,station,121.52032,25.05052,unverified,,,,,,,TwTaihoku,臺北市,Taihoku-shū,"A station in Taihoku-shi (臺北市), Taihoku-shū."
tws029,台北,Táiběi,Taihoku,たいほく,station,121.51572,25.04815,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%8F%B0%E5%8C%97%E9%A7%85,,,,"The capital's station, and the middle of the network rather than one end of it: the trunk line south towards Takao, the short line north to Kīrun and the sea, and the branch out to Tansui all met here. The Governor-General's offices stood a few streets away.",TwTaihoku,臺北市,Taihoku-shū,"A station in Taihoku-shi (臺北市), Taihoku-shū."
tws030,螢橋,Yíngqiáo,,,station,121.51701,25.02557,unverified,,,,,,,TwTaihoku,臺北市,Taihoku-shū,"A station in Taihoku-shi (臺北市), Taihoku-shū."
tws031,十五份,Shíwǔfèn,,,halt,121.53948,25.00012,unverified,,,,,,,TwBunzan,文山郡,Taihoku-shū,"A halt in Bunzan-gun (文山郡), Taihoku-shū."
tws032,公館,Gōngguǎn,Kōkan,こうかん,station,121.53596,25.01133,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%85%AC%E9%A4%A8%E9%A7%85,,,,,TwTaihoku,臺北市,Taihoku-shū,"A station in Taihoku-shi (臺北市), Taihoku-shū."
tws033,水源地,Shuǐyuándì,Suigenchi,すいげんち,halt,121.53190,25.01529,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%B0%B4%E6%BA%90%E5%9C%B0%E9%A7%85,,,,,TwTaihoku,臺北市,Taihoku-shū,"A halt in Taihoku-shi (臺北市), Taihoku-shū."
tws034,南港,Nángǎng,Nankō,なんこう,temporary halt,121.61182,25.05386,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%8D%97%E6%B8%AF%E9%A7%85,,,,,TwShichisei,七星郡,Taihoku-shū,"A temporary halt in Shichisei-gun (七星郡), Taihoku-shū."
tws035,松山,Sōngshān,Matsuyama,まつやま,station,121.57756,25.04915,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%B1%B1%E9%A7%85,,,,,TwShichisei,七星郡,Taihoku-shū,"A station in Shichisei-gun (七星郡), Taihoku-shū."
tws036,板橋,Bǎnqiáo,,,station,121.45933,25.00831,unverified,,,,,,,TwKaizan,海山郡,Taihoku-shū,"A station in Kaizan-gun (海山郡), Taihoku-shū."
tws037,萬華,Wànhuá,-,ー,station,121.50100,25.03321,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E4%B8%87%E8%8F%AF%E9%A7%85,,,,,TwTaihoku,臺北市,Taihoku-shū,"A station in Taihoku-shi (臺北市), Taihoku-shū."
tws038,紅毛,Hóngmáo,,,station,121.00936,24.83901,unverified,,,,,,,TwShinchiku,新竹郡,Shinchiku-shū,"A station in Shinchiku-gun (新竹郡), Shinchiku-shū."
tws039,湖口,Húkǒu,Kokō,ここう,station,121.05496,24.87634,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%B9%96%E5%8F%A3%E9%A7%85,,,,,TwShinchiku,新竹郡,Shinchiku-shū,"A station in Shinchiku-gun (新竹郡), Shinchiku-shū."
tws040,楊梅,Yángméi,Yōbai,ようばい,station,121.14614,24.90796,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%A5%8A%E6%A2%85%E9%A7%85,,,,,TwChureki,中壢郡,Shinchiku-shū,"A station in Chūreki-gun (中壢郡), Shinchiku-shū."
tws041,龜山,Guīshān,,,station,121.84585,24.88389,unverified,,,,,,,TwGiran,宜蘭郡,Taihoku-shū,"A station in Giran-gun (宜蘭郡), Taihoku-shū."
tws042,外澳,Wài'ào,Gaiō,がいおう,station,121.82267,24.85876,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%A4%96%E6%BE%B3%E9%A7%85,,,,,TwGiran,宜蘭郡,Taihoku-shū,"A station in Giran-gun (宜蘭郡), Taihoku-shū."
tws043,香山,Xiāngshān,Kōzan,こうざん,station,120.91439,24.76382,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E9%A6%99%E5%B1%B1%E9%A7%85,,,,,TwShinchiku,新竹郡,Shinchiku-shū,"A station in Shinchiku-gun (新竹郡), Shinchiku-shū."
tws044,新竹,Xīnzhú,Shinchiku,しんちく,station,120.97186,24.80121,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%96%B0%E7%AB%B9%E9%A7%85,,,,"The seat of Shinchiku-shū, on the trunk line where it comes down out of the northern hills onto the western plain.",TwShinchikuShi,新竹市,Shinchiku-shū,"A station in Shinchiku-shi (新竹市), Shinchiku-shū."
tws045,礁溪,Jiāoxī,Shōkei,しょうけい,station,121.76298,24.78696,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E7%A4%81%E6%B8%93%E9%A7%85,,,,,TwGiran,宜蘭郡,Taihoku-shū,"A station in Giran-gun (宜蘭郡), Taihoku-shū."
tws046,頭圍,Tóuwéi,,,station,121.77554,24.82673,unverified,,,,,,,TwGiran,宜蘭郡,Taihoku-shū,"A station in Giran-gun (宜蘭郡), Taihoku-shū."
tws047,竹南,Zhúnán,Chikunan,ちくなん,station,120.88067,24.68697,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E7%AB%B9%E5%8D%97%E9%A7%85,,,,"Where the trunk line divides. From 1922 a coast line ran west of the hills while the older mountain line kept to the inland towns, and the two did not meet again until Shōka — so a timetable from the 1930s gives two quite different routes between the same two places.",TwChikunan,竹南郡,Shinchiku-shū,"A station in Chikunan-gun (竹南郡), Shinchiku-shū."
tws048,羅東,Luódōng,Ratō,らとう,station,121.77438,24.67821,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E7%BE%85%E6%9D%B1%E9%A7%85,,,,,TwRato,羅東郡,Taihoku-shū,"A station in Ratō-gun (羅東郡), Taihoku-shū."
tws049,二結,Èrjié,Niketsu,にけつ,station,121.77417,24.70619,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E4%BA%8C%E7%B5%90%E9%A7%85,,,,,TwRato,羅東郡,Taihoku-shū,"A station in Ratō-gun (羅東郡), Taihoku-shū."
tws050,公司寮,Gōngsīliáo,,,station,120.75934,24.61168,unverified,,,,,,,TwChikunan,竹南郡,Shinchiku-shū,"A station in Chikunan-gun (竹南郡), Shinchiku-shū."
tws051,後龍,Hòulóng,Kōryō,こうりょう,station,120.78669,24.61604,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%BE%8C%E9%BE%8D%E9%A7%85,,,,,TwChikunan,竹南郡,Shinchiku-shū,"A station in Chikunan-gun (竹南郡), Shinchiku-shū."
tws052,大山腳,Dàshānjiǎo,,,station,120.80351,24.64599,unverified,,,,,,,TwChikunan,竹南郡,Shinchiku-shū,"A station in Chikunan-gun (竹南郡), Shinchiku-shū."
tws053,北勢,Běishì,Hokusei,ほくせい,station,120.82359,24.60091,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%8C%97%E5%8B%A2%E9%A7%85,,,,,TwChikunan,竹南郡,Shinchiku-shū,"A station in Chikunan-gun (竹南郡), Shinchiku-shū."
tws054,造橋,Zàoqiáo,Zōkyō,ぞうきょう,station,120.86715,24.64188,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E9%80%A0%E6%A9%8B%E9%A7%85,,,,,TwChikunan,竹南郡,Shinchiku-shū,"A station in Chikunan-gun (竹南郡), Shinchiku-shū."
tws055,淡文湖,Dànwénhú,,,station,120.85848,24.65713,unverified,,,,,,,TwChikunan,竹南郡,Shinchiku-shū,"A station in Chikunan-gun (竹南郡), Shinchiku-shū."
tws056,冬山,Dōngshān,Tōzan,とうざん,station,121.79220,24.63663,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%86%AC%E5%B1%B1%E9%A7%85,,,,,TwRato,羅東郡,Taihoku-shū,"A station in Ratō-gun (羅東郡), Taihoku-shū."
tws057,新城,Xīnchéng,,,station,121.82253,24.61580,unverified,,,,,,,TwSuo,蘇澳郡,Taihoku-shū,"A station in Suō-gun (蘇澳郡), Taihoku-shū."
tws058,蘇澳,Sū'ào,Soō,そおう,station,121.85172,24.59496,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E8%98%87%E6%BE%B3%E9%A7%85,,,,"The southern end of the Giran line down the north-east coast, completed in 1924. Beyond it the cliffs carried no railway at all, and the gap between here and Karenkō was crossed by road and by sea.",TwSuo,蘇澳郡,Taihoku-shū,"A station in Suō-gun (蘇澳郡), Taihoku-shū."
tws059,白沙屯,Báishātún,Hakusaton,はくさとん,station,120.70790,24.56476,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E7%99%BD%E6%B2%99%E5%B1%AF%E9%A7%85,,,,,TwByoritsu,苗栗郡,Shinchiku-shū,"A station in Byōritsu-gun (苗栗郡), Shinchiku-shū."
tws060,新埔,Xīnpǔ,Shimpo,しんぽ,station,120.69527,24.53995,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%96%B0%E5%9F%94%E9%A7%85,,,,,TwByoritsu,苗栗郡,Shinchiku-shū,"A station in Byōritsu-gun (苗栗郡), Shinchiku-shū."
tws061,苗栗,Miáolì,,,station,120.82229,24.56994,unverified,,,,,,,TwByoritsu,苗栗郡,Shinchiku-shū,"A station in Byōritsu-gun (苗栗郡), Shinchiku-shū."
tws062,南勢,Nánshì,,,station,120.79130,24.52213,unverified,,,,,,,TwByoritsu,苗栗郡,Shinchiku-shū,"A station in Byōritsu-gun (苗栗郡), Shinchiku-shū."
tws063,通霄,Tōngxiāo,Tsūshō,つうしょう,station,120.67813,24.49157,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E9%80%9A%E9%9C%84%E9%A7%85,,,,,TwByoritsu,苗栗郡,Shinchiku-shū,"A station in Byōritsu-gun (苗栗郡), Shinchiku-shū."
tws064,苑裡,Yuànlǐ,Enri,えんり,station,120.65105,24.44389,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E8%8B%91%E8%A3%A1%E9%A7%85,,,,,TwByoritsu,苗栗郡,Shinchiku-shū,"A station in Byōritsu-gun (苗栗郡), Shinchiku-shū."
tws065,銅鑼,Tóngluó,Dōra,どうら,station,120.78602,24.48624,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E9%8A%85%E9%91%BC%E9%A7%85,,,,,TwByoritsu,苗栗郡,Shinchiku-shū,"A station in Byōritsu-gun (苗栗郡), Shinchiku-shū."
tws066,三叉,Sānchā,,,station,120.77418,24.42094,unverified,,,,,,,TwByoritsu,苗栗郡,Shinchiku-shū,"A station in Byōritsu-gun (苗栗郡), Shinchiku-shū."
tws067,淡水,Dànshuǐ,Tansui,たんすい,station,121.44488,25.16879,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%B7%A1%E6%B0%B4%E9%A7%85,,,,"The end of the branch from Taihoku, opened in 1901. Tamsui had been the north's treaty port and the way foreign trade reached the island; the railway outlasted that trade, which moved to Kīrun as the harbour there was built out.",TwTansui,淡水郡,Taihoku-shū,"A station in Tansui-gun (淡水郡), Taihoku-shū."
tws068,新北投,Xīnběitóu,Shinhokutō,しんほくとう,station,121.50381,25.13700,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%96%B0%E5%8C%97%E6%8A%95%E9%A7%85,,,,,TwShichisei,七星郡,Taihoku-shū,"A station in Shichisei-gun (七星郡), Taihoku-shū."
tws069,北投,Běitóu,Hokutō,ほくとう,station,121.49853,25.13243,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%8C%97%E6%8A%95%E9%A7%85,,,,,TwShichisei,七星郡,Taihoku-shū,"A station in Shichisei-gun (七星郡), Taihoku-shū."
tws070,江頭,Jiāngtóu,,,station,121.47026,25.12876,unverified,,,,,,,TwShichisei,七星郡,Taihoku-shū,"A station in Shichisei-gun (七星郡), Taihoku-shū."
tws071,平鎮,Píngzhèn,Heichin,へいちん,station,121.18371,24.91968,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%B9%B3%E9%8E%AE%E9%A7%85,,,,,TwChureki,中壢郡,Shinchiku-shū,"A station in Chūreki-gun (中壢郡), Shinchiku-shū."
tws072,中壢,Zhōnglì,,,station,121.22602,24.95360,unverified,,,,,,,TwChureki,中壢郡,Shinchiku-shū,"A station in Chūreki-gun (中壢郡), Shinchiku-shū."
tws073,崁子腳,Kànzǐjiǎo,,,station,121.25865,24.97280,unverified,,,,,,,TwChureki,中壢郡,Shinchiku-shū,"A station in Chūreki-gun (中壢郡), Shinchiku-shū."
tws074,桃園,Táoyuán,,,station,121.31374,24.98904,unverified,,,,,,,TwToen,桃園郡,Shinchiku-shū,"A station in Tōen-gun (桃園郡), Shinchiku-shū."
tws075,鶯歌,Yīnggē,,,station,121.35552,24.95496,unverified,,,,,,,TwKaizan,海山郡,Taihoku-shū,"A station in Kaizan-gun (海山郡), Taihoku-shū."
tws076,山子腳,Shānzǐjiǎo,,,station,121.39345,24.97317,unverified,,,,,,,TwKaizan,海山郡,Taihoku-shū,"A station in Kaizan-gun (海山郡), Taihoku-shū."
tws077,樹林,Shùlín,Shurin,しゅりん,station,121.42475,24.99176,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%A8%B9%E6%9E%97%E9%A7%85,,,,,TwKaizan,海山郡,Taihoku-shū,"A station in Kaizan-gun (海山郡), Taihoku-shū."
tws078,新店,Xīndiàn,Shinten,しんてん,station,121.53832,24.96037,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%96%B0%E5%BA%97%E9%A7%85,,,,,TwBunzan,文山郡,Taihoku-shū,"A station in Bunzan-gun (文山郡), Taihoku-shū."
tws079,大坪林,Dàpínglín,Daiheirin,だいへいりん,halt,121.54242,24.97560,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%9D%AA%E6%9E%97%E9%A7%85,,,,,TwBunzan,文山郡,Taihoku-shū,"A halt in Bunzan-gun (文山郡), Taihoku-shū."
tws080,景尾,Jǐngwěi,,,station,121.54008,24.99141,unverified,,,,,,,TwBunzan,文山郡,Taihoku-shū,"A station in Bunzan-gun (文山郡), Taihoku-shū."
tws081,大里,Dàlǐ,,,station,121.92268,24.96684,unverified,,,,,,,TwGiran,宜蘭郡,Taihoku-shū,"A station in Giran-gun (宜蘭郡), Taihoku-shū."
tws082,大溪,Dàxī,Daikei,だいけい,station,121.89010,24.93891,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%B8%93%E9%A7%85,,,,,TwGiran,宜蘭郡,Taihoku-shū,"A station in Giran-gun (宜蘭郡), Taihoku-shū."
tws083,田中,Tiánzhōng,,,station,120.59121,23.85847,unverified,,,,,,,TwInrin,員林郡,Taichū-shū,"A station in Inrin-gun (員林郡), Taichū-shū."
tws084,社頭,Shètóu,Shatō,しゃとう,station,120.58043,23.89570,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E7%A4%BE%E9%A0%AD%E9%A7%85,,,,,TwInrin,員林郡,Taichū-shū,"A station in Inrin-gun (員林郡), Taichū-shū."
tws085,林內,Línnèi,Rinnai,りんない,station,120.61472,23.75952,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%9E%97%E5%86%85%E9%A7%85,,,,,TwToroku,斗六郡,Tainan-shū,"A station in Toroku-gun (斗六郡), Tainan-shū."
tws086,斗南,Dǒunán,Tonan,となん,station,120.48095,23.67287,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%96%97%E5%8D%97%E9%A7%85,,,,,TwToroku,斗六郡,Tainan-shū,"A station in Toroku-gun (斗六郡), Tainan-shū."
tws087,斗六,Dǒuliù,Toroku,とろく,station,120.54099,23.71192,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%96%97%E5%85%AD%E9%A7%85,,,,,TwToroku,斗六郡,Tainan-shū,"A station in Toroku-gun (斗六郡), Tainan-shū."
tws088,大林,Dàlín,Dairin,だいりん,station,120.45573,23.60060,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%9E%97%E9%A7%85,,,,,TwKagi,嘉義郡,Tainan-shū,"A station in Kagi-gun (嘉義郡), Tainan-shū."
tws089,民雄,Mínxióng,Tamio,たみお,station,120.43158,23.55479,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%B0%91%E9%9B%84%E9%A7%85,,,,,TwKagi,嘉義郡,Tainan-shū,"A station in Kagi-gun (嘉義郡), Tainan-shū."
tws090,嘉義,Jiāyì,Kagi,かぎ,station,120.44119,23.47935,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%98%89%E7%BE%A9%E9%A7%85,,,,"The trunk-line station at the foot of the Alishan forest railway. The narrow line into the mountains was begun in 1906 and worked from here, bringing down cypress and camphor; the timber yards beside the station are much of the reason the town grew as it did.",TwKagiShi,嘉義市,Tainan-shū,"A station in Kagi-shi (嘉義市), Tainan-shū."
tws091,後壁,Hòubì,Kōheki,こうへき,station,120.36033,23.36589,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%BE%8C%E5%A3%81%E9%A7%85,,,,,TwShinei,新營郡,Tainan-shū,"A station in Shin'ei-gun (新營郡), Tainan-shū."
tws092,水上,Shuǐshàng,,,station,120.38683,23.41370,unverified,,,,,,,TwKagi,嘉義郡,Tainan-shū,"A station in Kagi-gun (嘉義郡), Tainan-shū."
tws093,新營,Xīnyíng,Shinei,しんえい,station,120.32311,23.30586,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%96%B0%E5%96%B6%E9%A7%85,,,,,TwShinei,新營郡,Tainan-shū,"A station in Shin'ei-gun (新營郡), Tainan-shū."
tws094,林鳳營,Línfèngyíng,Rinhōei,りんほうえい,station,120.32107,23.24238,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%9E%97%E9%B3%B3%E5%96%B6%E9%A7%85,,,,,TwSobun,曾文郡,Tainan-shū,"A station in Sobun-gun (曾文郡), Tainan-shū."
tws095,番子田,Fānzǐtián,,,station,120.31919,23.19270,unverified,,,,,,,TwSobun,曾文郡,Tainan-shū,"A station in Sobun-gun (曾文郡), Tainan-shū."
tws096,善化,Shànhuà,Zenka,ぜんか,station,120.30656,23.13313,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%96%84%E5%8C%96%E9%A7%85,,,,,TwShinka,新化郡,Tainan-shū,"A station in Shinka-gun (新化郡), Tainan-shū."
tws097,永康,Yǒngkāng,Eikō,えいこう,station,120.25360,23.03844,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E6%B0%B8%E5%BA%B7%E9%A7%85,,,,,TwNiitoyo,新豐郡,Tainan-shū,"A station in Niitoyo-gun (新豐郡), Tainan-shū."
tws098,新市,Xīnshì,,,station,120.28975,23.06799,unverified,,,,,,,TwShinka,新化郡,Tainan-shū,"A station in Shinka-gun (新化郡), Tainan-shū."
tws099,車路墘,Chēlùqián,,,station,120.23170,22.93295,unverified,,,,,,,TwNiitoyo,新豐郡,Tainan-shū,"A station in Niitoyo-gun (新豐郡), Tainan-shū."
tws100,台南,Táinán,Tainan,たいなん,station,120.21277,22.99687,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%8F%B0%E5%8D%97%E9%A7%85,,,,"The old capital of Qing Taiwan and the seat of Tainan-shū. The railway reached it from the south in 1900 and from the north in 1908, and the administration that had run the island from here had moved to Taihoku a generation before.",TwTainan,臺南市,Tainan-shū,"A station in Tainan-shi (臺南市), Tainan-shū."
tws101,大湖,Dàhú,Daiko,だいこ,station,120.25358,22.87858,verified,wikipedia_ja,https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%B9%96%E9%A7%85,,,,,TwOkayama,岡山郡,Takao-shū,"A station in Okayama-gun (岡山郡), Takao-shū."
tws102,中洲,Zhōngzhōu,,,station,120.25261,22.90382,unverified,,,,,,,TwNiitoyo,新豐郡,Tainan-shū,"A station in Niitoyo-gun (新豐郡), Tainan-shū."
