route,seq,id,name,lon,lat,han
keijo-dairen,2,dairen,Dalian (Dairen),121.61,38.91,大連
keijo-shinkyo,1,seoul,Seoul (Keijō),126.98,37.57,京城（漢城）
keijo-shinkyo,2,mukden,Shenyang (Hōten),123.43,41.8,瀋陽（奉天）
keijo-shinkyo,3,changchun,Changchun (Shinkyō),125.32,43.88,長春（新京）
fukuoka-keijo,1,fukuoka,Fukuoka,130.4,33.59,福岡
fukuoka-keijo,2,taegu,Taegu (Taikyū),128.6,35.87,大邱
fukuoka-keijo,3,seoul,Seoul (Keijō),126.98,37.57,京城（漢城）
tohoku,1,tokyo,Tokyo,139.76,35.68,東京
tohoku,2,sendai,Sendai,140.87,38.27,仙台
tohoku,3,aomori,Aomori,140.75,40.82,青森
tohoku,4,sapporo,Sapporo,141.35,43.06,札幌
hokuriku,1,osaka,Osaka,135.5,34.69,大阪
hokuriku,2,kanazawa,Kanazawa,136.66,36.56,金澤
hokuriku,3,toyama,Toyama,137.21,36.7,富山
hokuriku,4,nagano,Nagano,138.18,36.65,長野
hokuriku,5,tokyo,Tokyo,139.76,35.68,東京
niigata,1,nagano,Nagano,138.18,36.65,長野
niigata,2,niigata,Niigata,139.04,37.92,新潟
sanin,1,osaka,Osaka,135.5,34.69,大阪
sanin,2,tottori,Tottori,134.24,35.5,鳥取
sanin,3,matsue,Matsue,133.05,35.47,松江
keijo-seishin,1,seoul,Seoul (Keijō),126.98,37.57,京城（漢城）
keijo-seishin,2,hamhung,Hamhŭng (Kankō),127.54,39.92,咸興
keijo-seishin,3,chongjin,Ch’ŏngjin (Seishin),129.78,41.8,清津
korea-1938,1,tokyo,Tokyo,139.76,35.68,東京
korea-1938,2,osaka,Osaka,135.5,34.69,大阪
korea-1938,3,fukuoka,Fukuoka,130.4,33.59,福岡
korea-1938,4,seoul,Seoul (Keijō),126.98,37.57,京城（漢城）
korea-1938,5,dairen,Dalian (Dairen),121.61,38.91,大連
klm-batavia,1,,Towards Jask and Amsterdam,66.2,25.2,
klm-batavia,2,karachi,Karachi,67.01,24.86,
klm-batavia,3,jodhpur,Jodhpur,73.02,26.24,
klm-batavia,4,allahabad,Allahabad (Prayagraj),81.85,25.44,
klm-batavia,5,calcutta,Calcutta,88.36,22.57,
klm-batavia,6,rangoon,Rangoon (Yangon),96.2,16.87,仰光
klm-batavia,7,bangkok,Bangkok,100.5,13.75,
klm-batavia,8,penang,Penang (Georgetown),100.34,5.41,
klm-batavia,9,medan,Medan,98.67,3.59,
klm-batavia,10,singapore,Singapore (Shōnantō),103.85,1.29,新加坡
klm-batavia,11,palembang,Palembang,104.76,-2.99,
klm-batavia,12,batavia,Batavia (Jakarta),106.85,-6.21,巴達維亞
klm-batavia,13,bandung,Bandoeng (Bandung),107.61,-6.91,
knilm-medan-pekanbaru,1,medan,Medan,98.67,3.59,
knilm-medan-pekanbaru,2,pekanbaru,Pakanbaroe (Pekanbaru),101.45,0.51,
knilm-pekanbaru-palembang,1,pekanbaru,Pakanbaroe (Pekanbaru),101.45,0.51,
knilm-pekanbaru-palembang,2,palembang,Palembang,104.76,-2.99,
knilm-pekanbaru-singapore,1,pekanbaru,Pakanbaroe (Pekanbaru),101.45,0.51,
knilm-pekanbaru-singapore,2,singapore,Singapore (Shōnantō),103.85,1.29,新加坡
knilm-singapore-saigon,1,singapore,Singapore (Shōnantō),103.85,1.29,新加坡
knilm-singapore-saigon,2,saigon,Saigon,106.63,10.82,西貢
knilm-palembang-batavia,1,palembang,Palembang,104.76,-2.99,
knilm-palembang-batavia,2,batavia,Batavia (Jakarta),106.85,-6.21,巴達維亞
knilm-batavia-bandung,1,batavia,Batavia (Jakarta),106.85,-6.21,巴達維亞
knilm-batavia-bandung,2,bandung,Bandoeng (Bandung),107.61,-6.91,
knilm-batavia-semarang,1,batavia,Batavia (Jakarta),106.85,-6.21,巴達維亞
knilm-batavia-semarang,2,semarang,Semarang,110.42,-6.97,
knilm-semarang-surabaya,1,semarang,Semarang,110.42,-6.97,
knilm-semarang-surabaya,2,surabaya,Soerabaja (Surabaya),112.75,-7.25,
knilm-surabaya-bandjermasin,1,surabaya,Soerabaja (Surabaya),112.75,-7.25,
knilm-surabaya-bandjermasin,2,bandjermasin,Bandjermasin (Banjarmasin),114.59,-3.32,
knilm-bandjermasin-balikpapan,1,bandjermasin,Bandjermasin (Banjarmasin),114.59,-3.32,
knilm-bandjermasin-balikpapan,2,balikpapan,Balikpapan,116.85,-1.24,
knilm-balikpapan-tarakan,1,balikpapan,Balikpapan,116.85,-1.24,
knilm-balikpapan-tarakan,2,tarakan,Tarakan,117.59,3.3,
knilm-surabaya-denpasar,1,surabaya,Soerabaja (Surabaya),112.75,-7.25,
knilm-surabaya-denpasar,2,denpasar,Bali (Denpasar),115.22,-8.65,
knilm-denpasar-makassar,1,denpasar,Bali (Denpasar),115.22,-8.65,
knilm-denpasar-makassar,2,makassar,Makassar,119.43,-5.15,
knilm-surabaya-makassar,1,surabaya,Soerabaja (Surabaya),112.75,-7.25,
knilm-surabaya-makassar,2,makassar,Makassar,119.43,-5.15,
knilm-denpasar-kupang,1,denpasar,Bali (Denpasar),115.22,-8.65,
knilm-denpasar-kupang,2,kupang,Koepang (Kupang),123.61,-10.17,
knilm-kupang-darwin,1,kupang,Koepang (Kupang),123.61,-10.17,
knilm-kupang-darwin,2,darwin,Darwin,130.84,-12.46,達爾文
knilm-makassar-gorontalo,1,makassar,Makassar,119.43,-5.15,
knilm-makassar-gorontalo,2,gorontalo,Gorontalo,123.06,0.54,
knilm-gorontalo-manado,1,gorontalo,Gorontalo,123.06,0.54,
knilm-gorontalo-manado,2,manado,Menado (Manado),124.84,1.49,
knilm-manado-ternate,1,manado,Menado (Manado),124.84,1.49,
knilm-manado-ternate,2,ternate,Ternate,127.38,0.79,
knilm-ternate-ambon,1,ternate,Ternate,127.38,0.79,
knilm-ternate-ambon,2,ambon,Ambon (Amboina),128.18,-3.7,
knilm-makassar-ambon,1,makassar,Makassar,119.43,-5.15,
knilm-makassar-ambon,2,ambon,Ambon (Amboina),128.18,-3.7,
knilm-ambon-bandaneira,1,ambon,Ambon (Amboina),128.18,-3.7,
knilm-ambon-bandaneira,2,bandaneira,Banda (Banda Neira),129.90,-4.53,
knilm-ambon-babo,1,ambon,Ambon (Amboina),128.18,-3.7,
knilm-ambon-babo,2,babo,Babo,133.44,-2.55,
knilm-babo-manokwari,1,babo,Babo,133.44,-2.55,
knilm-babo-manokwari,2,manokwari,Manokwari,134.08,-0.86,
knilm-babo-wisselmeren,1,babo,Babo,133.44,-2.55,
knilm-babo-wisselmeren,2,wisselmeren,Wisselmeren (Paniai Lakes),136.38,-3.93,
knilm30-java,1,batavia,Batavia (Jakarta),106.85,-6.21,巴達維亞
knilm30-java,2,semarang,Semarang,110.42,-6.97,
knilm30-java,3,surabaya,Soerabaia (Surabaya),112.75,-7.25,
knilm30-bandoeng,1,batavia,Batavia (Jakarta),106.85,-6.21,巴達維亞
knilm30-bandoeng,2,bandung,Bandoeng (Bandung),107.61,-6.91,
knilm30-singapore,1,batavia,Batavia (Jakarta),106.85,-6.21,巴達維亞
knilm30-singapore,2,palembang,Palembang,104.76,-2.99,
knilm30-singapore,3,singapore,Singapore (Shōnantō),103.85,1.29,新加坡
knilm30-medan,1,batavia,Batavia (Jakarta),106.85,-6.21,巴達維亞
knilm30-medan,2,palembang,Palembang,104.76,-2.99,
knilm30-medan,3,pekanbaru,Pakan Baroe (Pekanbaru),101.45,0.51,
knilm30-medan,4,medan,Medan,98.67,3.59,
china-shanghai,1,beijing,Beijing (Peking),116.4,39.9,北京
china-shanghai,2,tianjin,Tianjin (Tientsin),117.2,39.13,天津
china-shanghai,3,jinan,Jinan (Tsinan),116.99,36.67,濟南
china-shanghai,4,xuzhou,Xuzhou (Hsuchow),117.19,34.26,徐州
china-shanghai,5,nanjing,Nanjing (Nanking),118.8,32.06,南京
china-shanghai,6,shanghai,Shanghai,121.47,31.23,上海
china-baotou,1,beijing,Beijing (Peking),116.4,39.9,北京
china-baotou,2,kalgan,Zhangjiakou (Kalgan),114.88,40.81,張家口
china-baotou,3,datong,Datong (Tatung),113.3,40.09,大同
china-baotou,4,hohhot,Hohhot (Kōwa),111.75,40.84,歸綏（呼和浩特）
china-baotou,5,baotou,Baotou (Paotow),109.84,40.66,包頭
china-dairen,1,beijing,Beijing (Peking),116.4,39.9,北京
china-dairen,2,tianjin,Tianjin (Tientsin),117.2,39.13,天津
china-dairen,3,dairen,Dalian (Dairen),121.61,38.91,大連
china-hankou,1,shanghai,Shanghai,121.47,31.23,上海
china-hankou,2,nanjing,Nanjing (Nanking),118.8,32.06,南京
china-hankou,3,anqing,Anqing (Anking),117.05,30.51,安慶
china-hankou,4,jiujiang,Jiujiang (Kiukiang),116.0,29.71,九江
china-hankou,5,wuhan,Wuhan (Hankow),114.28,30.58,武漢（漢口）
cnac-shanghai-hankou,1,shanghai,Shanghai,121.47,31.23,上海
cnac-shanghai-hankou,2,nanjing,Nanjing (Nanking),118.8,32.06,南京
cnac-shanghai-hankou,3,anqing,Anqing (Anking),117.05,30.51,安慶
cnac-shanghai-hankou,4,jiujiang,Jiujiang (Kiukiang),116.0,29.71,九江
cnac-shanghai-hankou,5,wuhan,Wuhan (Hankow),114.28,30.58,武漢（漢口）
cnac-hankou-chungking,1,wuhan,Wuhan (Hankow),114.28,30.58,武漢（漢口）
cnac-hankou-chungking,2,,Shashi (Shasi),112.24,30.32,沙市
cnac-hankou-chungking,3,yichang,Yichang (Ichang),111.29,30.69,宜昌
cnac-hankou-chungking,4,wanxian,Wanxian (Wanhsien),108.41,30.81,萬縣
cnac-hankou-chungking,5,chongqing,Chongqing (Chungking),106.55,29.56,重慶
cnac-shanghai-peiping,1,shanghai,Shanghai,121.47,31.23,上海
cnac-shanghai-peiping,2,,Haizhou (Haichow),119.13,34.57,海州
cnac-shanghai-peiping,3,qingdao,Qingdao (Tsingtao),120.38,36.07,青島
cnac-shanghai-peiping,4,tianjin,Tianjin (Tientsin),117.2,39.13,天津
cnac-shanghai-peiping,5,beijing,Beijing (Peiping),116.4,39.9,北京
cnac-chungking-rangoon,1,chongqing,Chongqing (Chungking),106.55,29.56,重慶
cnac-chungking-rangoon,2,kunming,Kunming,102.72,25.04,昆明
cnac-chungking-rangoon,3,lashio,Lashio,97.75,22.94,
cnac-chungking-rangoon,4,rangoon,Rangoon (Yangon),96.2,16.87,仰光
cnac-chungking-chengtu,1,chongqing,Chongqing (Chungking),106.55,29.56,重慶
cnac-chungking-chengtu,2,chengdu,Chengdu (Chengtu),104.07,30.66,成都
cnac-chungking-kiating,1,chongqing,Chongqing (Chungking),106.55,29.56,重慶
cnac-chungking-kiating,2,luzhou,Luzhou (Luchow),105.44,28.87,瀘州
cnac-chungking-kiating,3,,Yibin (Suifu),104.62,28.77,敘府
cnac-chungking-kiating,4,,Kiating (Leshan),103.76,29.56,
cnac-shanghai-canton,1,shanghai,Shanghai,121.47,31.23,上海
cnac-shanghai-canton,2,wenzhou,Wenzhou (Wenchow),120.7,28.0,溫州
cnac-shanghai-canton,3,fuzhou,Fuzhou (Foochow),119.3,26.07,福州
cnac-shanghai-canton,4,xiamen,Xiamen (Amoy),118.09,24.48,廈門
cnac-shanghai-canton,5,shantou,Shantou (Swatow),116.68,23.35,汕頭
cnac-shanghai-canton,6,guangzhou,Guangzhou (Canton),113.26,23.13,廣州
mkkk-manchouli-hsinking,1,manzhouli,Manzhouli (Manchouli),117.45,49.6,滿洲里
mkkk-manchouli-hsinking,2,hailar,Hailar,119.7,49.2,海拉爾
mkkk-manchouli-hsinking,3,qiqihar,Qiqihar (Tsitsihar),123.92,47.35,齊齊哈爾
mkkk-manchouli-hsinking,4,harbin,Harbin,126.53,45.8,哈爾濱
mkkk-manchouli-hsinking,5,changchun,Changchun (Xinjing),125.32,43.88,長春（新京）
mkkk-harbin-dairen,1,harbin,Harbin,126.53,45.8,哈爾濱
mkkk-harbin-dairen,2,changchun,Changchun (Xinjing),125.32,43.88,長春（新京）
mkkk-harbin-dairen,3,mukden,Shenyang (Mukden),123.43,41.8,瀋陽（奉天）
mkkk-harbin-dairen,4,dairen,Dalian (Dairen),121.61,38.91,大連
mkkk-hsinking-shingishu,1,changchun,Changchun (Xinjing),125.32,43.88,長春（新京）
mkkk-hsinking-shingishu,2,mukden,Shenyang (Mukden),123.43,41.8,瀋陽（奉天）
mkkk-hsinking-shingishu,3,sinuiju,Shingishū (Sinŭiju),124.39,40.1,新義州
knilm-tarakan-manila,1,tarakan,Tarakan,117.59,3.3,
knilm-tarakan-manila,2,manila,Manila,120.98,14.6,馬尼拉
patco-manila-baguio,1,manila,Manila,120.98,14.6,馬尼拉
patco-manila-baguio,2,baguio,Baguio,120.6,16.41,碧瑤
siam-korat-nakhonphanom,1,korat,Korat (Nakhon Ratchasima),102.1,14.97,
siam-korat-nakhonphanom,2,,Roi Et,103.65,16.05,
siam-korat-nakhonphanom,3,,Khon Kaen,102.83,16.44,
siam-korat-nakhonphanom,4,,Udon Thani,102.79,17.41,
siam-korat-nakhonphanom,5,,Nakhon Phanom,104.78,17.41,
ina-calcutta-rangoon,1,calcutta,Calcutta,88.36,22.57,
ina-calcutta-rangoon,2,chittagong,Chittagong,91.78,22.36,
ina-calcutta-rangoon,3,akyab,Akyab (Sittwe),92.9,20.15,
ina-calcutta-rangoon,4,bassein,Bassein (Pathein),94.73,16.78,
ina-calcutta-rangoon,5,rangoon,Rangoon (Yangon),96.2,16.87,仰光
ina-calcutta-dacca,1,calcutta,Calcutta,88.36,22.57,
ina-calcutta-dacca,2,dacca,Dacca (Dhaka),90.41,23.81,
ina-delhi-karachi,1,delhi,Delhi,77.21,28.61,
ina-delhi-karachi,2,lahore,Lahore,74.34,31.55,
ina-delhi-karachi,3,,Multan,71.47,30.2,
ina-delhi-karachi,4,,Jacobabad,68.44,28.28,
ina-delhi-karachi,5,karachi,Karachi,67.01,24.86,
airorient-jask-saigon,1,,Towards Jask and Marseilles,66.2,25.2,
airorient-jask-saigon,2,karachi,Karachi,67.01,24.86,
airorient-jask-saigon,3,allahabad,Allahabad,81.85,25.44,
airorient-jask-saigon,4,calcutta,Calcutta,88.36,22.57,
airorient-jask-saigon,5,rangoon,Rangoon (Yangon),96.2,16.87,仰光
airorient-jask-saigon,6,bangkok,Bangkok,100.5,13.75,
airorient-jask-saigon,7,saigon,Saigon (Ho Chi Minh City),106.7,10.78,
iaw-karachi-delhi,1,,Towards Gwadar and Jask,66.2,25.2,
iaw-karachi-delhi,2,karachi,Karachi (Drigh Road),67.01,24.86,
iaw-karachi-delhi,3,jodhpur,Jodhpur,73.02,26.29,
iaw-karachi-delhi,4,delhi,Delhi (New Delhi),77.21,28.61,
airfrance-karachi-hongkong,1,karachi,Karachi,67.01,24.86,
airfrance-karachi-hongkong,2,jodhpur,Jodhpur,73.02,26.29,
airfrance-karachi-hongkong,3,allahabad,Allahabad,81.85,25.44,
airfrance-karachi-hongkong,4,calcutta,Calcutta,88.36,22.57,
airfrance-karachi-hongkong,5,akyab,Akyab (Sittwe),92.9,20.15,
airfrance-karachi-hongkong,6,rangoon,Rangoon (Yangon),96.2,16.87,仰光
airfrance-karachi-hongkong,7,bangkok,Bangkok,100.5,13.75,
airfrance-karachi-hongkong,8,saigon,Saigon,106.63,10.82,西貢
airfrance-karachi-hongkong,9,hanoi,Hanoi,105.85,21.03,河內
airfrance-karachi-hongkong,10,kunming,Kunming,102.72,25.04,昆明
airfrance-karachi-hongkong,11,hongkong,Hong Kong (Victoria),114.16,22.28,維多利亞城
iaw39-karachi-darwin,1,karachi,Karachi,67.01,24.86,
iaw39-karachi-darwin,2,,Raj Samand,73.88,25.07,
iaw39-karachi-darwin,3,gwalior,Gwalior,78.18,26.22,
iaw39-karachi-darwin,4,allahabad,Allahabad (Prayagraj),81.85,25.44,
iaw39-karachi-darwin,5,calcutta,Calcutta,88.36,22.57,
iaw39-karachi-darwin,6,akyab,Akyab (Sittwe),92.9,20.15,
iaw39-karachi-darwin,7,rangoon,Rangoon (Yangon),96.2,16.87,仰光
iaw39-karachi-darwin,8,bangkok,Bangkok,100.5,13.75,
iaw39-karachi-darwin,9,penang,Penang (Georgetown),100.34,5.41,
iaw39-karachi-darwin,10,singapore,Singapore (Shōnantō),103.85,1.29,新加坡
iaw39-karachi-darwin,11,batavia,Batavia (Jakarta),106.85,-6.21,巴達維亞
iaw39-karachi-darwin,12,surabaya,Soerabaja (Surabaya),112.75,-7.25,
iaw39-karachi-darwin,13,kupang,Koepang (Kupang),123.61,-10.17,
iaw39-karachi-darwin,14,darwin,Darwin,130.84,-12.46,達爾文
iaw39-karachi-calcutta,1,karachi,Karachi,67.01,24.86,
iaw39-karachi-calcutta,2,jodhpur,Jodhpur,73.02,26.24,
iaw39-karachi-calcutta,3,delhi,Delhi,77.21,28.61,
iaw39-karachi-calcutta,4,cawnpore,Cawnpore (Kanpur),80.33,26.45,
iaw39-karachi-calcutta,5,allahabad,Allahabad (Prayagraj),81.85,25.44,
iaw39-karachi-calcutta,6,calcutta,Calcutta,88.36,22.57,
airfrance-bangkok-hanoi,1,bangkok,Bangkok,100.5,13.75,
airfrance-bangkok-hanoi,2,vientiane,Vientiane,102.6,17.97,
airfrance-bangkok-hanoi,3,hanoi,Hanoi,105.85,21.03,河內
mkkk42-hsinking-tokyo,1,changchun,Changchun (Xinjing),125.32,43.88,新京
mkkk42-hsinking-tokyo,2,tokyo,Tokyo,139.76,35.68,東京
mkkk42-hsinking-keijo,1,changchun,Changchun (Xinjing),125.32,43.88,新京
mkkk42-hsinking-keijo,2,mukden,Shenyang (Mukden),123.43,41.8,奉天
mkkk42-hsinking-keijo,3,seoul,Seoul (Keijō),126.98,37.57,京城
mkkk42-hsinking-dairen,1,changchun,Changchun (Xinjing),125.32,43.88,新京
mkkk42-hsinking-dairen,2,mukden,Shenyang (Mukden),123.43,41.8,奉天
mkkk42-hsinking-dairen,3,dairen,Dalian (Dairen),121.61,38.91,大連
mkkk42-mukden-antung-dairen,1,mukden,Shenyang (Mukden),123.43,41.8,奉天
mkkk42-mukden-antung-dairen,2,,Huanren (Huanjen),125.36,41.27,桓仁
mkkk42-mukden-antung-dairen,3,tonghua,Tonghua (Tunghua),125.94,41.73,通化
mkkk42-mukden-antung-dairen,4,,Ji'an (Chian),126.18,41.12,輯安
mkkk42-mukden-antung-dairen,5,dandong,Dandong (Antung),124.39,40.13,安東
mkkk42-mukden-antung-dairen,6,,Xiuyan (Hsiuyen),123.28,40.29,岫巖
mkkk42-mukden-antung-dairen,7,dairen,Dalian (Dairen),121.61,38.91,大連
mkkk42-hsinking-kiamusze,1,changchun,Changchun (Xinjing),125.32,43.88,新京
mkkk42-hsinking-kiamusze,2,harbin,Harbin,126.53,45.8,哈爾濱
mkkk42-hsinking-kiamusze,3,jiamusi,Jiamusi (Kiamusze),130.32,46.81,佳木斯
mkkk42-mukden-peking,1,mukden,Shenyang (Mukden),123.43,41.8,奉天
mkkk42-mukden-peking,2,tianjin,Tianjin (Tientsin),117.2,39.13,天津
mkkk42-mukden-peking,3,beijing,Beijing (Peking),116.4,39.9,北京
mkkk42-mukden-chengteh,1,mukden,Shenyang (Mukden),123.43,41.8,奉天
mkkk42-mukden-chengteh,2,jinzhou,Jinzhou (Chinchow),121.13,41.1,錦州
mkkk42-mukden-chengteh,3,chengde,Chengde (Chengteh),117.94,40.98,承德
mkkk42-chengteh-paotow,1,chengde,Chengde (Chengteh),117.94,40.98,承德
mkkk42-chengteh-paotow,2,kalgan,Zhangjiakou (Kalgan),114.88,40.81,張家口
mkkk42-chengteh-paotow,3,datong,Datong (Tatung),113.3,40.09,大同
mkkk42-chengteh-paotow,4,hohhot,Hohhot (Houho),111.75,40.84,厚和
mkkk42-chengteh-paotow,5,baotou,Baotou (Paotow),109.84,40.66,包頭
mkkk42-hsinking-chihfeng,1,changchun,Changchun (Xinjing),125.32,43.88,新京
mkkk42-hsinking-chihfeng,2,,Tongliao (Tungliao),122.26,43.62,通遼
mkkk42-hsinking-chihfeng,3,,Kailu,121.31,43.6,開魯
mkkk42-hsinking-chihfeng,4,,Lindong (Lintung),119.38,43.98,林東
mkkk42-hsinking-chihfeng,5,,Linxi (Linhsi),118.04,43.52,林西
mkkk42-hsinking-chihfeng,6,chifeng,Chifeng (Chihfeng),118.89,42.26,赤峰
mkkk42-hsinking-chihfeng,7,chengde,Chengde (Chengteh),117.94,40.98,承德
mkkk42-hsinking-linkiang,1,changchun,Changchun (Xinjing),125.32,43.88,新京
mkkk42-hsinking-linkiang,2,tonghua,Tonghua (Tunghua),125.94,41.73,通化
mkkk42-hsinking-linkiang,3,,Linjiang (Chungkiangchen),126.92,41.81,中江鎮
mkkk42-hsinking-hunchun,1,changchun,Changchun (Xinjing),125.32,43.88,新京
mkkk42-hsinking-hunchun,2,yanji,Yanji (Yenki),129.51,42.91,延吉
mkkk42-hsinking-hunchun,3,,Tumen,129.84,42.97,圖們
mkkk42-hsinking-hunchun,4,,Hunchun,130.37,42.86,琿春
mkkk42-mutankiang-tungning,1,mudanjiang,Mudanjiang (Mutankiang),129.6,44.58,牡丹江
mkkk42-mutankiang-tungning,2,suifenhe,Suifenhe (Suifenho),131.15,44.4,綏芬河
mkkk42-mutankiang-tungning,3,,Dongning (Tungning),131.12,44.06,東寧
mkkk42-hsinking-manchouli,1,changchun,Changchun (Xinjing),125.32,43.88,新京
mkkk42-hsinking-manchouli,2,,Baicheng (Paichengtzu),122.84,45.62,白城子
mkkk42-hsinking-manchouli,3,qiqihar,Qiqihar (Tsitsihar),123.92,47.35,齊齊哈爾
mkkk42-hsinking-manchouli,4,hailar,Hailar,119.7,49.2,海拉爾
mkkk42-hsinking-manchouli,5,manzhouli,Manzhouli (Manchouli),117.45,49.6,滿洲里
mkkk42-harbin-hailar,1,harbin,Harbin,126.53,45.8,哈爾濱
mkkk42-harbin-hailar,2,qiqihar,Qiqihar (Tsitsihar),123.92,47.35,齊齊哈爾
mkkk42-harbin-hailar,3,hailar,Hailar,119.7,49.2,海拉爾
mkkk42-harbin-heiho,1,harbin,Harbin,126.53,45.8,哈爾濱
mkkk42-harbin-heiho,2,,Bei'an (Peian),126.49,48.24,北安
mkkk42-harbin-heiho,3,,Sunwu,127.34,49.43,孫呉
mkkk42-harbin-heiho,4,heihe,Heihe (Heiho),127.53,50.25,黑河
mkkk42-hsinking-mutankiang-harbin,1,changchun,Changchun (Xinjing),125.32,43.88,新京
mkkk42-hsinking-mutankiang-harbin,2,mudanjiang,Mudanjiang (Mutankiang),129.6,44.58,牡丹江
mkkk42-hsinking-mutankiang-harbin,3,harbin,Harbin,126.53,45.8,哈爾濱
mkkk42-mutankiang-paoching,1,mudanjiang,Mudanjiang (Mutankiang),129.6,44.58,牡丹江
mkkk42-mutankiang-paoching,2,,Jixi (Chining),130.97,45.3,鷄寧
mkkk42-mutankiang-paoching,3,,Mishan (Tungan),131.87,45.55,東安
mkkk42-mutankiang-paoching,4,,Baoqing (Paoching),132.2,46.33,寶清
mkkk42-fuchin-tungan,1,,Fujin (Fuchin),132.03,47.25,富錦
mkkk42-fuchin-tungan,2,,Raohe (Jaoho),134.02,46.8,饒河
mkkk42-fuchin-tungan,3,,Hutou,133.65,45.97,虎頭
mkkk42-fuchin-tungan,4,,Hulin,132.97,45.76,虎林
mkkk42-fuchin-tungan,5,,Mishan (Tungan),131.87,45.55,東安
mkkk42-kiamusze-jaoho,1,jiamusi,Jiamusi (Kiamusze),130.32,46.81,佳木斯
mkkk42-kiamusze-jaoho,2,,Baoqing (Paoching),132.2,46.33,寶清
mkkk42-kiamusze-jaoho,3,,Fujin (Fuchin),132.03,47.25,富錦
mkkk42-kiamusze-jaoho,4,,Raohe (Jaoho),134.02,46.8,饒河
mkkk42-harbin-fuchin,1,harbin,Harbin,126.53,45.8,哈爾濱
mkkk42-harbin-fuchin,2,,Tonghe (Tungho),128.75,45.97,通河
mkkk42-harbin-fuchin,3,,Yilan (Ilan),129.57,46.32,依蘭
mkkk42-harbin-fuchin,4,jiamusi,Jiamusi (Kiamusze),130.32,46.81,佳木斯
mkkk42-harbin-fuchin,5,,Fujin (Fuchin),132.03,47.25,富錦
mkkk42-kiamusze-mohe,1,jiamusi,Jiamusi (Kiamusze),130.32,46.81,佳木斯
mkkk42-kiamusze-mohe,2,,Jiayin (Foshan),130.39,48.89,佛山
mkkk42-kiamusze-mohe,3,,Wuyun,129.5,49.25,烏雲
mkkk42-kiamusze-mohe,4,,Sunwu,127.34,49.43,孫呉
mkkk42-kiamusze-mohe,5,heihe,Heihe (Heiho),127.53,50.25,黑河
mkkk42-kiamusze-mohe,6,,Huma,126.65,51.72,呼瑪
mkkk42-kiamusze-mohe,7,,Oupu,125.2,52.5,鷗浦
mkkk42-kiamusze-mohe,8,,Mohe,122.36,53.47,漠河
mkkk42-kiamusze-fuyuan,1,jiamusi,Jiamusi (Kiamusze),130.32,46.81,佳木斯
