route,from,to,yen,km
mkkk42-fuchin-tungan,Raohe,Hutou,14,95
mkkk42-fuchin-tungan,Hutou,Hulin,9,
mkkk42-fuchin-tungan,Hulin,Mishan,13,
mkkk42-fuchin-tungan,Fujin,Mishan,70,
mkkk42-kiamusze-jaoho,Jiamusi,Baoqing,23,150
mkkk42-kiamusze-jaoho,Baoqing,Fujin,19,95
mkkk42-kiamusze-jaoho,Fujin,Raohe,44,
mkkk42-kiamusze-jaoho,Jiamusi,Raohe,86,
mkkk42-harbin-fuchin,Harbin,Tonghe,24,160
mkkk42-harbin-fuchin,Tonghe,Yilan,11,75
mkkk42-harbin-fuchin,Yilan,Jiamusi,12,80
mkkk42-harbin-fuchin,Jiamusi,Fujin,21,140
mkkk42-harbin-fuchin,Harbin,Jiamusi,47,315
mkkk42-harbin-fuchin,Harbin,Fujin,68,455
mkkk42-kiamusze-mohe,Jiamusi,Jiayin,39,230
mkkk42-kiamusze-mohe,Jiayin,Wuyun,13,75
mkkk42-kiamusze-mohe,Wuyun,Sunwu,33,195
mkkk42-kiamusze-mohe,Sunwu,Heihe,15,145
mkkk42-kiamusze-mohe,Heihe,Huma,38,225
mkkk42-kiamusze-mohe,Huma,Oupu,22,130
mkkk42-kiamusze-mohe,Oupu,Mohe,44,260
mkkk42-kiamusze-mohe,Jiamusi,Heihe,100,645
mkkk42-kiamusze-mohe,Jiamusi,Mohe,204,1260
mkkk42-kiamusze-fuyuan,Jiamusi,Luobei,20,125
mkkk42-kiamusze-fuyuan,Luobei,Fujin,13,105
mkkk42-kiamusze-fuyuan,Fujin,Tongjiang,10,65
mkkk42-kiamusze-fuyuan,Tongjiang,Fuyuan,27,165
mkkk42-kiamusze-fuyuan,Jiamusi,Fuyuan,70,460
mkkk42-kiamusze-fenghsiang-fuchin,Jiamusi,Fengxiang,16,
mkkk42-kiamusze-fenghsiang-fuchin,Fengxiang,Fujin,16,
mkkk42-kiamusze-fenghsiang-fuchin,Jiamusi,Fujin,32,
cak42-peking-dairen,Beijing,Tianjin,20,130
cak42-peking-dairen,Tianjin,Dalian,65,370
cak42-peking-dairen,Beijing,Dalian,85,500
cak42-peking-shanghai,Beijing,Tianjin,20,130
cak42-peking-shanghai,Tianjin,Jinan,50,280
cak42-peking-shanghai,Jinan,Xuzhou,55,280
cak42-peking-shanghai,Xuzhou,Nanjing,60,290
cak42-peking-shanghai,Nanjing,Shanghai,50,270
cak42-peking-shanghai,Beijing,Nanjing,185,980
cak42-peking-shanghai,Beijing,Shanghai,235,1250
cak42-peking-paotow,Beijing,Zhangjiakou,30,170
cak42-peking-paotow,Zhangjiakou,Datong,28,160
cak42-peking-paotow,Datong,Hohhot,32,170
cak42-peking-paotow,Hohhot,Baotou,25,135
cak42-peking-paotow,Beijing,Baotou,115,635
cak42-peking-tsingtao-shanghai,Beijing,Tianjin,20,130
cak42-peking-tsingtao-shanghai,Tianjin,Qingdao,85,540
cak42-peking-tsingtao-shanghai,Qingdao,Shanghai,130,530
cak42-peking-tsingtao-shanghai,Beijing,Shanghai,235,1200
cak42-shanghai-taihoku-canton,Shanghai,Taihoku,135,740
cak42-shanghai-taihoku-canton,Taihoku,Guangzhou,165,825
cak42-shanghai-taihoku-canton,Shanghai,Guangzhou,300,1565
cak42-peking-yuncheng,Beijing,Shijiazhuang,50,270
cak42-peking-yuncheng,Shijiazhuang,Taiyuan,40,180
cak42-peking-yuncheng,Taiyuan,Linfen,50,235
cak42-peking-yuncheng,Linfen,Yuncheng,30,130
cak42-peking-yuncheng,Beijing,Yuncheng,170,815
cak42-peking-kaifeng,Beijing,Shijiazhuang,50,270
cak42-peking-kaifeng,Shijiazhuang,Anyang,40,210
cak42-peking-kaifeng,Anyang,Xinxiang,22,110
cak42-peking-kaifeng,Xinxiang,Kaifeng,20,70
cak42-peking-kaifeng,Beijing,Kaifeng,132,660
cak42-nanking-hankow,Nanjing,Anqing,63,240
cak42-nanking-hankow,Anqing,Jiujiang,37,140
cak42-nanking-hankow,Jiujiang,Wuhan,50,190
cak42-nanking-hankow,Nanjing,Wuhan,150,570
cak42-shanghai-hankow,Shanghai,Nanjing,50,270
cak42-shanghai-hankow,Nanjing,Wuhan,150,560
cak42-shanghai-hankow,Shanghai,Wuhan,200,830
cak42-canton-hoihow,Guangzhou,Haikou,120,475
cak42-canton-swatow,Guangzhou,Shantou,80,350
