scope,key,en,population,m_per_100_f,pct_of_total,area_km2,same_as,apart,note,parent,parent_pop,nat_total,nat_manchu,nat_han,nat_mongol,nat_hui,nat_other,nat_jp_total,nat_jp,nat_ko,nat_jp_other,nat_third,nat_stateless
sub-unit,Chien Tao,"Kantō-shō (Jiāndǎo, Chientao)",848197,122.6,,30133.646,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing.",,,,,,,,,,,,,,
unmapped,Tunghua,"Tsūka-shō (Tōnghuà, Tunghua)",982387,159.2,,31704.970,,,"通化省 was made out of the provinces the map draws after 1935, and the map has no shape for it. Its people are in this table and on no card.",,,,,,,,,,,,,,
sub-unit,An Tung,"Antō-shō (Āndōng, Antung)",2231507,110.4,,,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing. This is one of the six they were taken from, so it is left blank rather than shaded: its 1943 people would be spread over ground that was no longer its own.",,,,,,,,,,,,,,
unmapped,Szeping,"Shihei-shō (Sìpíng, Szeping)",3005070,118.8,,30400.908,,,"四平省 was made out of the provinces the map draws after 1935, and the map has no shape for it. Its people are in this table and on no card.",,,,,,,,,,,,,,
sub-unit,Feng Tien,"Hōten-shō (Fèngtiān, Fengtien)",7565599,118.9,,,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing. This is one of the six they were taken from, so it is left blank rather than shaded: its 1943 people would be spread over ground that was no longer its own.",,,,,,,,,,,,,,
sub-unit,Chinchow,"Kinshū-shō (Jǐnzhōu, Chinchow)",4317822,107.8,,40162.303,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing.",,,,,,,,,,,,,,
sub-unit,Je Hol,"Nekka-shō (Rèhé, Jehol)",4553228,116.4,,103061.898,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing.",,,,,,,,,,,,,,
sub-unit,Hsing An Si,"Kōan-sei-shō (Xīng’ānxī, Hsingan West)",763701,127.6,,73934.124,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing.",,,,,,,,,,,,,,
sub-unit,Hsing An Nan,"Kōan-nan-shō (Xīng’ānnán, Hsingan South)",1026635,130.3,,76866.261,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing.",,,,,,,,,,,,,,
sub-unit,Hsing An Tung,"Kōan-tō-shō (Xīng’āndōng, Hsingan East)",199530,151.9,,109107.255,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing.",,,,,,,,,,,,,,
sub-unit,Hsing An Peh,"Kōan-hoku-shō (Xīng’ānběi, Hsingan North)",132426,223.2,,156230.313,,,"These province boundaries are georeferenced from a 1935 map rather than a 1942 one, so the few provinces formed after it are missing.",,,,,,,,,,,,,,
