id,name_en,name_local,lat,lon,polity,on_map,size_tier,always,capital_variant,capital_of,pop_c1920,pop_c1930,pop_c1940,pop_c1950,pop_ref,pop_ref_year,pop_basis,pop_quality,pop_sources,rationale
batavia,Batavia (Jakarta),,-6.21,106.85,Netherlands East Indies,on map (quiz site),large,,capital-territory,Netherlands East Indies,,533000,,900000,533000,1930,contemporary (1930),census (rounded),id_volkstelling;un_dyb,
mukden,Shěnyáng (Mukden),,41.8,123.43,Republic of China,on map (quiz site),large,,capital-province,Liaoning,,500000,1136000,2299000,500000,1930,contemporary (1930),census (rounded),mk_census1940;cn_census1953,
hangzhou,Hángzhōu (Hangchow),,30.27,120.16,Republic of China,on map (browse layer),large,,capital-province,Chekiang,,,500000,697000,500000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
chongqing,Chóngqìng (Chungking),,29.56,106.55,Republic of China,on map (quiz site),large,,,,,,475000,1773000,475000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
hyderabaddn,Hyderabad,,17.38,78.49,Princely states,on map (browse layer),large,,capital-province,Hyderabad,,467000,739000,1086000,467000,1931,contemporary (1931),census (rounded),in_census,
chengdu,Chéngdū (Chengtu),,30.66,104.07,Republic of China,on map (browse layer),large,,capital-province,Szechwan,,,450000,857000,450000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
delhi,Delhi & New Delhi,,28.61,77.21,British India,on map (browse layer),large,,capital-territory,British India,,448000,696000,1384000,448000,1931,contemporary (1931),census (rounded),in_census,
jinan,Jǐnán (Tsinan),,36.67,116.99,Republic of China,on map (quiz site),large,,capital-province,Shantung,,,440000,680000,440000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
qingdao,Qīngdǎo (Tsingtao),,36.07,120.38,Republic of China,on map (quiz site),large,,,,,440000,,917000,440000,1930,contemporary (1930),estimate,cn_yearbook;cn_census1953,
lahore,Lahore,,31.55,74.34,British India,on map (browse layer),large,,capital-province,Punjab,,429000,672000,849000,429000,1931,contemporary (1931),census (rounded),in_census,
rangoon,Rangoon (Yangon),,16.87,96.2,British India,on map (quiz site),large,,capital-province,Burma,,400000,500000,737000,400000,1931,contemporary (1931),census (rounded),bur_census,
seoul,"Keijō (Kyŏngsŏng, Seoul)",,37.57,126.98,Chōsen,on map (quiz site),large,big,capital-territory,Chōsen,250000,394000,935000,1446000,394000,1930,contemporary (1930),census (rounded),kr_census;kr_kosis,
changsha,Chángshā (Changsha),,28.23,112.94,Republic of China,on map (browse layer),large,,capital-province,Hunan,,,380000,651000,380000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
harbin,Hā’ěrbīn (Harbin),,45.8,126.53,Republic of China,on map (quiz site),large,,,,,350000,662000,1163000,350000,1930,contemporary (1930),census (rounded),mk_census1940;cn_census1953,
surabaya,Surabaya,,-7.25,112.75,Netherlands East Indies,on map (quiz site),large,,capital-province,East Java,,342000,,600000,342000,1930,contemporary (1930),census (rounded),id_volkstelling;un_dyb,
fuzhou,Fúzhōu (Foochow),,26.07,119.3,Republic of China,on map (browse layer),large,,capital-province,Fukien,,,330000,553000,330000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
ahmedabad,Ahmedabad,,23.03,72.58,British India,on map (browse layer),large,,,,,314000,591000,837000,314000,1931,contemporary (1931),census (rounded),in_census,
bangalore,Bangalore (Bengaluru),,12.97,77.59,Princely states,on map (browse layer),large,,,,,307000,410000,779000,307000,1931,contemporary (1931),census (rounded),in_census,
dairen,"Dàlián (Dairen, Dalny)",,38.91,121.61,Kwantung Leased Territory,on map (quiz site),large,,,,,300000,555000,766000,300000,1930,contemporary (1930),census (rounded),mk_census1940;cn_census1953,
kaifeng,Kāifēng (Kaifeng),,34.8,114.31,Republic of China,on map (browse layer),large,,capital-province,Honan,,,300000,299000,300000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
suzhou,Sūzhōu (Soochow),,31.3,120.62,Republic of China,on map (browse layer),large,,,,,,300000,474000,300000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
karachi,Karachi,,24.86,67.01,British India,on map (browse layer),large,,,,,300000,386000,1137000,300000,1931,contemporary (1931),census (rounded),in_census,
brisbane,Brisbane,Brisbane,-27.47,153.03,Australia,proposed,large,,capital-province,Queensland,,300000,335000,502000,300000,1933,contemporary (1933),estimate,statesmans,"MacArthur’s General Headquarters, South West Pacific Area, 1942–44."
colombo,Colombo,,6.93,79.86,Ceylon,on map (browse layer),large,,capital-territory,Ceylon,,284000,,362000,284000,1931,contemporary (1931),census (rounded),lk_census,
lucknow,Lucknow,,26.85,80.95,British India,on map (browse layer),large,,capital-province,United Provinces,,275000,387000,497000,275000,1931,contemporary (1931),census (rounded),in_census,
hiroshima,Hiroshima,,34.39,132.46,Japan,on map (quiz site),medium,,capital-province,Hiroshima Prefecture,161000,270417,344000,286000,270417,1930,contemporary (1930),census,jp_census1930_p16;jp_census;jp_chouki,
wuxi,Wúxī (Wusih),,31.57,120.3,Republic of China,on map (browse layer),large,,,,,,270000,582000,270000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
amritsar,Amritsar,,31.63,74.87,British India,on map (browse layer),large,,,,,264000,391000,325000,264000,1931,contemporary (1931),census (rounded),in_census,
kowloon,Kowloon,九龍 (Kūron),22.32,114.17,Hong Kong,proposed,large,,,,,264000,581000,,264000,1931,contemporary (1931),estimate,hk_census,"Optional: the mainland half of the city, and where the December 1941 fighting was decided."
poona,Poona (Pune),,18.52,73.86,British India,on map (browse layer),large,,,,,250000,258000,481000,250000,1931,contemporary (1931),census (rounded),in_census,
taipei,"Taihoku (Taibei, Taipei)",,25.03,121.57,Formosa,on map (quiz site),medium,,capital-territory,Formosa,176000,240435,353000,503000,240435,1930,contemporary (1930),register,tw_stats1930_t37;tw_51yr;tw_sotokufu,
cawnpore,Cawnpore (Kanpur),,26.45,80.33,British India,on map (browse layer),medium,,,,,244000,487000,705000,244000,1931,contemporary (1931),census (rounded),in_census,
agra,Agra,,27.18,78.01,British India,on map (browse layer),medium,,,,,230000,284000,376000,230000,1931,contemporary (1931),census (rounded),in_census,
fukuoka,Fukuoka,,33.59,130.4,Japan,on map (browse layer),medium,,capital-province,Fukuoka Prefecture,95000,228289,307000,393000,228289,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
ningbo,Níngbō (Ningpo),,29.87,121.55,Republic of China,on map (browse layer),medium,,,,,,220000,238000,220000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
semarang,Semarang,,-6.97,110.42,Netherlands East Indies,on map (browse layer),medium,,capital-province,Central Java,,218000,,300000,218000,1930,contemporary (1930),census (rounded),id_volkstelling;un_dyb,
nagpur,Nagpur,,21.15,79.09,British India,on map (browse layer),medium,,capital-province,Central Provinces & Berar,,215000,302000,449000,215000,1931,contemporary (1931),census (rounded),in_census,
shizuoka,Shizuoka,静岡 (Shizuoka),34.98,138.38,Japan,proposed,medium,,capital-province,Shizuoka Prefecture,,136481,212000,239000,136481,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
nagasaki,Nagasaki,,32.74,129.87,Japan,on map (quiz site),medium,,capital-province,Nagasaki Prefecture,177000,204626,253000,242000,204626,1930,contemporary (1930),census,jp_census1930_p16;jp_census;jp_chouki,
benares,Benares (Varanasi),,25.32,83.01,British India,on map (browse layer),medium,,,,,205000,263000,355000,205000,1931,contemporary (1931),census (rounded),in_census,
xian,Xī’ān (Sian),,34.34,108.94,Republic of China,on map (quiz site),medium,,capital-province,Shensi,,,200000,787000,200000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
xiamen,Xiàmén (Amoy),,24.48,118.09,Republic of China,on map (quiz site),medium,,,,,,200000,224000,200000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
taiyuan,Tàiyuán (Taiyuan),,37.87,112.55,Republic of China,on map (browse layer),medium,,capital-province,Shansi,,,200000,721000,200000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
shantou,Shàntóu (Swatow),,23.35,116.68,Republic of China,on map (browse layer),medium,,,,,,200000,281000,200000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
tangshan,Tángshān (Tangshan),,39.63,118.18,Republic of China,on map (browse layer),medium,,,,,,200000,693000,200000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
hakodate,Hakodate,,41.77,140.73,Japan,on map (quiz site),medium,,,,145000,197252,204000,229000,197252,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
sendai,Sendai,,38.27,140.87,Japan,on map (browse layer),medium,,capital-province,Miyagi Prefecture,119000,190180,224000,342000,190180,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
wakayama,Wakayama,和歌山 (Wakayama),34.23,135.17,Japan,proposed,medium,,capital-province,Wakayama Prefecture,,117444,195000,191000,117444,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
cholon,Cholon,堤岸 (Chợ Lớn),10.75,106.65,French Indochina,proposed,medium,,,,,194000,,,194000,1936,contemporary (1936),estimate,fr_annuaire,"Saigon’s Chinese twin city, counted separately in the colonial censuses and together with Saigon the largest urban area in Indochina."
kure,Kure,,34.25,132.57,Japan,on map (browse layer),medium,,,,130000,190282,276000,188000,190282,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
nanchang,Nánchāng (Nanchang),,28.68,115.89,Republic of China,on map (browse layer),medium,,capital-province,Kiangsi,,,180000,398000,180000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
fushun,Fǔshùn (Fushun),,41.88,123.94,Republic of China,on map (browse layer),medium,,,,,180000,219000,679000,180000,1930,contemporary (1930),census (rounded),mk_census1940;cn_census1953,
zhenjiang,Zhènjiāng (Chinkiang),,32.19,119.43,Republic of China,on map (browse layer),medium,,,,,,180000,202000,180000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
zigong,Zìgòng (Tzukung),自貢 (Jikō),29.34,104.78,Republic of China,proposed,medium,,,,,,180000,291000,180000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,The salt wells that supplied wartime free China after the coastal salt was lost.
taegu,Taikyū (Taegu),,35.87,128.6,Chōsen,on map (browse layer),medium,small,capital-province,North Kyŏngsang,,,179000,314000,179000,1940,inferred from 1940,census (rounded),kr_census;kr_kosis,
srinagar,Srinagar,سرینگر,34.08,74.8,Princely states,proposed,medium,,capital-province,Jammu & Kashmir,,174000,207000,247000,174000,1931,contemporary (1931),estimate,in_census,The largest princely state by area; its summer capital.
gifu,Gifu,岐阜 (Gifu),35.42,136.76,Japan,proposed,small,,capital-province,Gifu Prefecture,,,172000,212000,172000,1940,inferred from 1940,census (rounded),jp_census,
incheon,Jinsen (Inch’ŏn),,37.46,126.71,Chōsen,on map (quiz site),medium,small,,,,,171000,265000,171000,1940,inferred from 1940,census (rounded),kr_census;kr_kosis,
bandung,Bandung,,-6.91,107.61,Netherlands East Indies,on map (browse layer),medium,,capital-province,West Java,,167000,,300000,167000,1930,contemporary (1930),census (rounded),id_volkstelling;un_dyb,
hamamatsu,Hamamatsu,浜松 (Hamamatsu),34.71,137.73,Japan,proposed,small,,,,,,166000,153000,166000,1940,inferred from 1940,census (rounded),jp_census,Aircraft and instrument industry; bombed and shelled from the sea in 1945.
soerakarta,"Soerakarta (Surakarta, Solo)",,-7.57,110.83,Netherlands East Indies,on map (browse layer),medium,,capital-province,Susuhunanate of Surakarta,,165000,,200000,165000,1930,contemporary (1930),census (rounded),id_volkstelling,
wenzhou,Wēnzhōu (Wenchow),,28.0,120.7,Republic of China,on map (browse layer),medium,,,,,,160000,202000,160000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
patna,Patna,पटना,25.61,85.14,British India,proposed,medium,,capital-province,Bihar,,160000,197000,284000,160000,1931,contemporary (1931),estimate,in_census,Provincial capital.
macaucity,Macao (Cidade do Santo Nome de Deus),澳門 (Makao),22.19,113.54,Macao,proposed,medium,,capital-territory,Macao,157000,,245000,187000,157000,1927,contemporary (1927),estimate,pt_timor;statesmans,Neutral Portuguese territory throughout the war; its population several times over as refugees came in from Hong Kong and Canton.
kalgan,"Zhāngjiākǒu (Kalgan, Changchiakou)",,40.81,114.88,Republic of China,on map (quiz site),medium,,capital-province,Chahar,,,150000,229000,150000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
zhengzhou,Zhèngzhōu (Chengchow),,34.75,113.63,Republic of China,on map (browse layer),medium,,,,,,150000,595000,150000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
xuzhou,Xúzhōu (Hsuchow),,34.26,117.19,Republic of China,on map (browse layer),medium,,,,,,150000,373000,150000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
nantong,Nántōng (Nantung),南通 (Nantsū),32.01,120.86,Republic of China,proposed,medium,,,,,,150000,260000,150000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
thonburi,Thonburi,ธนบุรี,13.72,100.49,Siam,proposed,medium,,capital-province,Thonburi,,,150000,350000,150000,1937,inferred from 1937,estimate,th_census,"Bangkok’s twin across the river, a separate province and separately enumerated until 1971."
hanoi,Hanoi,,21.03,105.85,French Indochina,on map (quiz site),medium,,capital-territory,French Indochina,,149000,200000,297000,149000,1936,contemporary (1936),estimate,fr_annuaire;un_dyb,
tainan,Tainan,,22.99,120.2,Formosa,on map (browse layer),medium,,capital-province,Tainan Prefecture,,98114,149000,232000,98114,1930,contemporary (1930),register,tw_stats1930_t37;tw_51yr,
kanazawa,Kanazawa,,36.56,136.66,Japan,on map (browse layer),medium,,capital-province,Ishikawa Prefecture,129000,157311,186000,252000,157311,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
penang,Penang (Georgetown),,5.41,100.34,Straits Settlements,on map (browse layer),medium,,,,,149000,,190000,149000,1931,contemporary (1931),census (rounded),my_census1931;my_census1947,
mandalay,Mandalay,,21.98,96.08,British India,on map (browse layer),medium,,capital-province,Mandalay Division,,147000,,182000,147000,1931,contemporary (1931),census (rounded),bur_census,
indore,Indore,इंदौर,22.72,75.86,Princely states,proposed,medium,,capital-province,Indore,,147000,203000,310000,147000,1931,contemporary (1931),estimate,in_census,Princely state capital.
pusan,Fusan (Pusan),,35.18,129.08,Chōsen,on map (quiz site),medium,medium,capital-province,South Kyŏngsang,,146000,250000,474000,146000,1930,contemporary (1930),census (rounded),kr_census;kr_kosis,
cebu,Cebu,,10.32,123.89,Philippine Islands (US),on map (browse layer),medium,,capital-province,Cebu,,,146000,167000,146000,1939,inferred from 1939,census (rounded),ph_census,
sapporo,Sapporo,,43.06,141.35,Japan,on map (quiz site),medium,,capital-province,Hokkaidō,103000,168576,206000,314000,168576,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
kunming,Kūnmíng (Kunming),,25.04,102.72,Republic of China,on map (browse layer),medium,,capital-province,Yunnan,,,145000,699000,145000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
jaipur,Jaipur,,26.92,75.79,Princely states,on map (browse layer),medium,,capital-province,Jaipur,,145000,175000,291000,145000,1931,contemporary (1931),census (rounded),in_census,
otaru,Otaru,小樽 (Otaru),43.19,140.99,Japan,proposed,medium,,,,,144887,164000,179000,144887,1930,contemporary (1930),census,jp_census1930_p16;jp_census,Hokkaidō’s main port and the terminal for the Karafuto and Japan Sea trade.
toyohashi,Toyohashi,豊橋 (Toyohashi),34.77,137.39,Japan,proposed,small,,,,,,143000,123000,143000,1940,inferred from 1940,census (rounded),jp_census,
kaohsiung,"Takao (Gaoxiong, Kaohsiung)",,22.63,120.3,Formosa,on map (quiz site),medium,,capital-province,Takao Prefecture,,62633,141000,213000,62633,1930,contemporary (1930),register,tw_stats1930_t37;tw_51yr,
kumamoto,Kumamoto,,32.8,130.71,Japan,on map (browse layer),medium,,capital-province,Kumamoto Prefecture,70000,164460,194000,268000,164460,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
pyongyang,Heijō (P’yŏngyang),,39.02,125.75,Chōsen,on map (quiz site),medium,medium,capital-province,South P’yŏngan,,140000,286000,,140000,1930,contemporary (1930),census (rounded),kr_census,
dacca,Dacca (Dhaka),,23.81,90.41,British India,on map (browse layer),medium,,,,,139000,213000,336000,139000,1931,contemporary (1931),census (rounded),in_census,
kagoshima,Kagoshima,,31.6,130.56,Japan,on map (quiz site),medium,,capital-province,Kagoshima Prefecture,103000,137236,190000,229000,137236,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
honolulu,Honolulu,,21.31,-157.86,Hawaii,on map (browse layer),medium,,capital-territory,Territory of Hawaii,,138000,179000,248000,138000,1930,contemporary (1930),census (rounded),us_census_outlying,
jogjakarta,Jogjakarta (Yogyakarta),,-7.8,110.37,Netherlands East Indies,on map (browse layer),medium,,capital-province,Sultanate of Yogyakarta,,136000,,200000,136000,1930,contemporary (1930),census (rounded),id_volkstelling,
okayama,Okayama,,34.66,133.93,Japan,on map (browse layer),medium,,capital-province,Okayama Prefecture,,139222,164000,163000,139222,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
imphalcity,Imphal,ইম্ফাল,24.82,93.94,British India,proposed,medium,,capital-province,Manipur,,,,132000,132000,1951,inferred from 1951,estimate,in_census,Already a battle marker; also the capital of Manipur state and the town the 1944 fighting was about.
zamboanga,Zamboanga,Zamboanga,6.91,122.08,Philippine Islands (US),proposed,medium,,capital-province,Zamboanga,,,131000,104000,131000,1939,inferred from 1939,census (rounded),ph_census,
changchun,Chángchūn (Hsinking),,43.88,125.32,Republic of China,on map (quiz site),medium,,,,,130000,544000,855000,130000,1930,contemporary (1930),census (rounded),mk_census1940;cn_census1953,
guilin,Guìlín (Kweilin),,25.27,110.29,Republic of China,on map (browse layer),medium,,,,,,130000,145000,130000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
lanzhou,Lánzhōu (Lanchow),,36.06,103.83,Republic of China,on map (browse layer),medium,,capital-province,Kansu,,,130000,397000,130000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
yantai,Yāntái (Chefoo),,37.46,121.45,Republic of China,on map (browse layer),medium,,,,,,130000,116000,130000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
wuhu,Wúhú (Wuhu),,31.35,118.38,Republic of China,on map (browse layer),medium,,,,,,130000,242000,130000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
bengbu,Bèngbù (Pengpu),,32.92,117.39,Republic of China,on map (browse layer),medium,,,,,,130000,253000,130000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
yawata,Yawata (Yahata),八幡 (Yahata),33.86,130.81,Japan,proposed,medium,,,,,168217,261000,221000,168217,1930,contemporary (1930),census,jp_census1930_p16;jp_census,"Imperial Steel Works, the centre of Japanese heavy industry, and the target of the first B-29 raid on the home islands, 15 June 1944."
omuta,Ōmuta,大牟田 (Ōmuta),33.03,130.45,Japan,proposed,small,,,,,130000,177000,196000,130000,1930,contemporary (1930),census (rounded),jp_census,"The Miike coal mines: Mitsui’s largest pit, worked by Korean, Chinese and Allied prisoner labour."
yangzhou,Yángzhōu (Yangchow),揚州 (Yōshū),32.39,119.42,Republic of China,proposed,medium,,,,,,130000,180000,130000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
gwalior,Gwalior,ग्वालियर,26.22,78.18,Princely states,proposed,medium,,capital-province,Gwalior,,130000,180000,241000,130000,1931,contemporary (1931),estimate,in_census,Princely state capital.
toyama,Toyama,富山 (Toyama),36.7,137.21,Japan,proposed,small,,capital-province,Toyama Prefecture,,,128000,128000,128000,1940,inferred from 1940,census (rounded),jp_census,"The 1–2 August 1945 firebombing destroyed about 99% of the built-up area, the highest destruction rate of any Japanese city."
jilincity,Jílín (Kirin),,43.84,126.55,Republic of China,on map (browse layer),medium,,capital-province,Kirin,,120000,173000,436000,120000,1930,contemporary (1930),census (rounded),mk_census1940;cn_census1953,
luoyang,Luòyáng (Loyang),,34.62,112.45,Republic of China,on map (browse layer),medium,,,,,,120000,171000,120000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
hengyang,Héngyáng (Hengyang),,26.89,112.57,Republic of China,on map (browse layer),medium,,,,,,120000,235000,120000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
tokushima,Tokushima,徳島 (Tokushima),34.07,134.55,Japan,proposed,small,,capital-province,Tokushima Prefecture,,,120000,121000,120000,1940,inferred from 1940,census (rounded),jp_census,
shaoxing,Shàoxīng (Shaohing),紹興 (Shōkō),30.0,120.58,Republic of China,proposed,medium,,,,,,120000,130000,120000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
nanchong,Nánchōng (Nanchung),南充 (Nanjū),30.8,106.08,Republic of China,proposed,medium,,,,,,120000,200000,120000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
matsuyama,Matsuyama,,33.84,132.77,Japan,on map (browse layer),small,,capital-province,Ehime Prefecture,,,118000,163000,118000,1940,inferred from 1940,census (rounded),jp_census,
baroda,Baroda (Vadodara),વડોદરા,22.31,73.18,Princely states,proposed,medium,,capital-province,Baroda,,112000,153000,212000,112000,1931,contemporary (1931),estimate,in_census,Princely state capital.
saigon,Saigon,,10.82,106.63,French Indochina,on map (quiz site),medium,,capital-territory,Cochinchina,,111000,500000,1614000,111000,1936,contemporary (1936),estimate,fr_annuaire;un_dyb,
kualalumpur,Kuala Lumpur,,3.14,101.69,Malaya,on map (browse layer),medium,,capital-territory,Federated Malay States,,111000,,176000,111000,1931,contemporary (1931),census (rounded),my_census1931;my_census1947,
takamatsu,Takamatsu,高松 (Takamatsu),34.34,134.05,Japan,proposed,medium,,capital-province,Kagawa Prefecture,,109478,111000,111000,109478,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
paoting,Bǎodìng (Paoting),,38.87,115.47,Republic of China,on map (browse layer),medium,,,,,,110000,197000,110000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
guiyang,Guìyáng (Kweiyang),,26.65,106.63,Republic of China,on map (browse layer),medium,,capital-province,Kweichow,,,110000,271000,110000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
hohhot,Hūhéhàotè (Kweisui),,40.84,111.75,Republic of China,on map (browse layer),medium,,capital-province,Suiyuan,,,110000,148000,110000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
wanxian,Wànzhōu (Wanhsien),,30.81,108.41,Republic of China,on map (browse layer),medium,,,,,,110000,160000,110000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
peshawar,Peshawar,,34.01,71.58,British India,on map (browse layer),medium,,capital-province,North-West Frontier Province,,110000,173000,151000,110000,1931,contemporary (1931),estimate,in_census,
luzhou,Lúzhōu (Luchow),瀘州 (Roshū),28.87,105.44,Republic of China,proposed,medium,,,,,,110000,180000,110000,1936,contemporary (1936),estimate,cn_statistical;cn_census1953,
kathmandu,Kathmandu,काठमाडौं,27.71,85.32,Nepal,proposed,medium,,capital-territory,Nepal,,,110000,,110000,1941,inferred from 1941,estimate,statesmans,"The capital of an independent state the map already draws, and the source of the Gurkha regiments."
kabul,Kabul,کابل,34.53,69.17,Afghanistan,proposed,medium,,capital-territory,Afghanistan,,,110000,206000,110000,1940,inferred from 1940,estimate,statesmans,"Capital of the one independent state on the map’s western edge, and a centre of Axis and Allied intrigue over the frontier."
niigata,Niigata,,37.92,139.04,Japan,on map (browse layer),medium,,capital-province,Niigata Prefecture,,125108,151000,221000,125108,1930,contemporary (1930),census,jp_census1930_p16;jp_census,
vladivostok,Vladivostok,,43.12,131.89,USSR,on map (quiz site),medium,,,,108000,,206000,291000,108000,1926,contemporary (1926),census (rounded),ussr_census,
