source_id,title,author_or_publisher,type,region_covered,years_covered,url,access,notes
ph_census,Census of the Philippines,Bureau of the Census and Statistics,census,Philippines,"1918, 1939, 1948",https://psa.gov.ph/statistics/census/population-and-housing,free,Three enumerations bracketing the war. The 1939 and 1948 pair is the best before-and-after in the whole region.
th_census,Population Census of Thailand (สำมะโนประชากร),National Statistical Office of Thailand,census,Thailand,"1919, 1929, 1937, 1947",https://www.nso.go.th/nsoweb/index,free,Bangkok and Thonburi were separate provinces and are enumerated separately until 1971; add them together for a city figure.
fr_annuaire,Annuaire statistique de l'Indochine,Direction des Services Économiques Gouvernement Général de l'Indochine,statistical yearbook,French Indochina,1913–1948,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&query=gallica%20all%20%22Annuaire%20statistique%20de%20l%27Indochine%22,free,"On Gallica. Indochina took no true census; these are administrative counts, and the Chinese population of Cholon in particular is inconsistently handled from year to year."
bur_census,Census of India 1931 vol. XI (Burma) and Burma Census 1941/1953,Government of Burma,census,Burma,"1921, 1931, 1941 (partial), 1953",https://archive.org/search?query=%22Census+of+India%22+1931+Burma,free,"Burma was censused with India to 1931 and separately after separation in 1937. The 1941 returns were largely destroyed in the invasion, so 1931 and the 1953 sample census are the anchors."
uk_colonial,Colonial Office Annual Reports (Blue Books),Colonial Office London,annual colonial returns,"Hong Kong, Malaya, Borneo, Ceylon, Fiji, Solomons, Gilberts",1900–1950,https://archive.org/search?query=%22Colonial+Office%22+annual+report,free,"Population estimates for every British colony and protectorate, year by year. Uneven, but often the only figure for the small Pacific and Borneo territories."
pt_timor,Anuário Estatístico do Ultramar / Boletim Oficial de Timor,Portuguese colonial administration,colonial statistics,"Portuguese Timor, Macao, Portuguese India",1920–1950,https://www.ine.pt/,free,"Thin, but the only official source for Dili, Macao and Goa. Macao's wartime population is a special case — it roughly trebled with refugees from Hong Kong and Canton and no one counted them properly."
ussr_census,Soviet censuses of 1926 1939 and 1959,TsSU USSR,census,Soviet Far East,"1926, 1939, 1959",http://www.demoscope.ru/weekly/pril.php,free,"Demoscope Weekly hosts the city tables from all three. The 1939 census was itself a politically corrected replacement for the suppressed 1937 one, so treat totals with care; city figures are less affected than national ones."
us_census_outlying,Sixteenth Census of the United States: Territories and Possessions,US Bureau of the Census,census,"Hawaii, Guam, American Samoa",1940,https://www.census.gov/library/publications/decennial/1940/population-volume-1.html,free,Covers Honolulu and Agana. Guam was enumerated in 1940 and then occupied in December 1941.
nanyo_stats,Statistical Yearbook of the South Seas Bureau (南洋庁統計年鑑),Nan'yō-chō (South Seas Bureau),statistical yearbook,South Seas Mandate,1922–1940,https://dl.ndl.go.jp/search/searchResult?searchWord=南洋庁統計年鑑,free,"Micronesian settlement populations, with Japanese and Okinawan settlers counted separately from islanders. Essential for Saipan, where by 1937 the settlers heavily outnumbered the Chamorro and Carolinian population."
lon_mandates,Annual Reports to the League of Nations on the Administration of Mandated Territories,"Japan, Australia, New Zealand, Britain",mandate reports,"South Seas Mandate, New Guinea, Nauru, Western Samoa",1922–1938,https://biblio-archive.unog.ch/,free,The League archive in Geneva. Japan reported annually on the Nan'yō until it left the League in 1935 and then continued for some years; these reports carry district populations.
un_dyb,United Nations Demographic Yearbook,United Nations Statistics Division,statistical yearbook,worldwide,1948–,https://unstats.un.org/unsd/demographic-social/products/dyb/,free,"The first issues (1948–1952) carry city populations from the immediate post-war censuses, and often reprint the last pre-war figure alongside — a quick way to bracket the window."
statesmans,The Statesman's Year-Book,Macmillan London,annual reference,worldwide,1864–,https://archive.org/search?query=%22Statesman%27s+Year-Book%22,free,"An annual with city populations for every country and colony, drawn from official returns. Not a primary source, but for obscure places — Kengtung, Port Blair, Brunei Town, Kyzyl — it is often the only accessible one, and you can read the same city across successive years."
britannica,Encyclopaedia Britannica 14th edition and its yearbooks,Encyclopaedia Britannica Inc.,encyclopaedia,worldwide,1929–1950,https://archive.org/search?query=Encyclopaedia+Britannica+14th+edition,free,"Useful mainly as a period cross-check: it tells you what figure was current at the time, which is not always the figure historians now accept."
chandler,Four Thousand Years of Urban Growth: An Historical Census,Tertius Chandler,scholarly compilation,worldwide,to 1975,https://archive.org/details/fourthousandyear0000chan,borrowable,"The standard historical city-size compilation, with entries at 1900, 1925 and 1950. Chandler's estimates are reconstructions and have been criticised for method, especially in Asia, but they give a consistent cross-regional ranking, which is what a four-tier scheme actually needs."
reba_dataset,"Spatializing 6,000 years of global urbanization (dataset)","Meredith Reba, Femke Reitsma, Karen Seto",machine-readable dataset,worldwide,3700 BC–AD 2000,https://doi.org/10.1038/sdata.2016.34,free (CC-BY),"Chandler and Modelski geocoded and published as CSV in Scientific Data. The easiest way to get a machine-readable historical city-size series, with the same caveats as Chandler."
mitchell,International Historical Statistics: Africa Asia and Oceania 1750–2005,B. R. Mitchell,scholarly compilation,Asia and Oceania,1750–2005,https://search.worldcat.org/search?q=International+Historical+Statistics+Africa+Asia+Oceania+Mitchell,paywalled,"Table A4 in each regional section gives populations of the principal towns, drawn from official censuses and footnoted to them. The fastest way to assemble a consistent cross-country table if you have library access."
populstat,Populstat historical population statistics,Jan Lahmeyer,web compilation,worldwide,to 2000,https://web.archive.org/web/2018/http://www.populstat.info/,free (archived),"City-level historical series by country, each with its source noted. The site is defunct but fully archived. Unrefereed, so treat it as a finding aid pointing back to the censuses rather than as an authority."
citypopulation,City Population,Thomas Brinkhoff,web compilation,worldwide,varies,https://www.citypopulation.de/,free,"Carries census series back to the 1920s–1940s for Japan, Korea, Taiwan, India, Indonesia and the Philippines, each row tied to its census date. The most convenient modern check on a colonial-era figure."
wikidata,Wikidata population statements (P1082 with point-in-time P585),Wikimedia Foundation,linked open data,worldwide,varies,https://query.wikidata.org/,free (CC0),"Queryable by SPARQL and the source of the machine-harvested columns in cities.csv. Coverage for 1920–1950 in this region is patchy and strongly biased towards Japan and India, where census series have been imported wholesale; for China, Southeast Asia and the Pacific it is close to empty. Every statement should be traced back to its stated reference before being trusted."
ghdx_wardhouses,Japan Statistical Yearbook (日本統計年鑑) city population series,Statistics Bureau of Japan,statistical yearbook,Japan,1949–,https://www.stat.go.jp/english/data/nenkan/index.html,free,"Post-war annual. The 1949–1952 issues carry the 1947 extraordinary census and the 1950 census by city, including the scale of the wartime urban evacuation."
hathitrust,HathiTrust Digital Library,HathiTrust,digitised books,worldwide,varies,https://www.hathitrust.org/,free (some search-only),Where many of the colonial yearbooks above are findable in full text when the Internet Archive copy is missing. Search-only access for in-copyright volumes still lets you confirm a page and a figure.
tw_stats1930_t37,"昭和五年 臺灣總督府統計書 — 第35表 戶口靜態總表, 第37表 地方別現住人口",臺灣總督府,statistical yearbook,Taiwan (Formosa),1930,https://dl.ndl.go.jp/pid/1445212,free,"Published 1932; the figures are those of the household registers at the end of 1930. Table 35 gives the colony and the eight jurisdictions with the Indigenous Peoples 「蕃人」 in a column apart; table 37 gives the seven 市 and forty-five 郡, which exclude them. pp. 28–37."
jp_census1930_p16,昭和五年国勢調査最終報告書 — 市ノ人口 p16,内閣統計局,census,Japan proper (naichi),1930,https://dl.ndl.go.jp/pid/1281995/1/30,free,"The twenty-eight 市 of 100,000 and over at the census of 1 October 1930."
tw_stats1941_t16,臺灣總督府第四十五統計書 (昭和16年) — 第16表 市街庄別常住戸口,臺灣總督府,statistical yearbook,Taiwan (Formosa),1941,,free,"The resident (常住) population at the end of 1941, from the household and alien registers: 11 市, 51 郡 and 2 支廳, pp. 20–33. Every row balances on its five registers and on male plus female, and the 64 sum exactly to the eight prefecture totals and to 6,249,468."
