id,en,jpfrom,local,ja,orig,zh,ko,date,cat,lvl,both,lat,lon,year,wiki
nomonhan,"Nuòménhǎn (Nomonhan, Khalkhin Gol)",,,ノモンハン事件 (Nomonhan jiken),Халхын гол,諾門罕,,May – September 1939,battle,3,yes,47.73,118.55,1939,https://en.wikipedia.org/wiki/Battles_of_Khalkhin_Gol
wanpaoshan,Wànbǎoshān (Wanpaoshan),,,万宝山事件 (Manpōzan jiken),萬寶山 (Wànbǎoshān),萬寶山,,July 1931,battle,3,,44.95,125.4,1931,https://en.wikipedia.org/wiki/Wanpaoshan_Incident
beijing,Běijīng (Peking),,,北京 (Pekin),北京 / 北平 (Běijīng / Běipíng),北京 (Běijīng),베이징,Renamed Peiping in 1928; occupied July–August 1937,city,1,,39.9,116.4,1900,https://en.wikipedia.org/wiki/Beijing
marcopolo,Lúgōuqiáo (the Marco Polo Bridge),,,盧溝橋事件 (Rokōkyō jiken),盧溝橋 (Lúgōuqiáo),盧溝橋,,7 July 1937,battle,2,yes,39.85,116.21,1937,https://en.wikipedia.org/wiki/Marco_Polo_Bridge_incident
tianjin,Tiānjīn (Tientsin),,,天津 (Tenshin),天津 (Tiānjīn),天津,톈진,Convention 1885; occupied 1937,city,2,,39.13,117.2,1885,https://en.wikipedia.org/wiki/Tianjin
kalgan,"Chōkakō (Zhāngjiākǒu, Kalgan, Changchiakou)",e1942,"Zhāngjiākǒu (Kalgan, Changchiakou)",張家口 (Chōkakō),張家口 (Zhāngjiākǒu),張家口,,Capital of Mengchiang from 1939,city,3,,40.81,114.88,,https://en.wikipedia.org/wiki/Zhangjiakou
jinan,Jǐnán (Tsinan),,,済南 (Sainan),濟南 (Jǐnán),濟南,지난,May 1928,city,3,,36.67,116.99,1928,https://en.wikipedia.org/wiki/Jinan
qingdao,Qīngdǎo (Tsingtao),,,青島 (Seitō),青島 (Qīngdǎo),青島,칭다오,"Seized from Germany, November 1914",city,2,,36.07,120.38,1914,https://en.wikipedia.org/wiki/Qingdao
weihai,Wēihǎi (Weihaiwei),,,威海衛 (Ikaiei),威海衛 (Wēihǎiwèi),威海衛,웨이하이,"Battle, January–February 1895",city,3,,37.51,122.12,1895,https://en.wikipedia.org/wiki/Weihai
nanjing,Nánjīng (Nanking),,,南京 (Nankin),南京 (Nánjīng),南京,난징,Fell 13 December 1937,city,1,yes,32.06,118.8,1927,https://en.wikipedia.org/wiki/Nanjing
shanghai,Shànghǎi,,,上海 (Shanhai),上海 (Shànghǎi),上海,상하이,Fighting 1932; battle August–November 1937,city,1,,31.23,121.47,1863,https://en.wikipedia.org/wiki/Shanghai
wuhan,Wǔhàn (Hankow),,,漢口 (Hankō),武漢 / 漢口 (Wǔhàn / Hànkǒu),武漢（漢口）,우한,Fell 25 October 1938,city,2,,30.58,114.28,1861,https://en.wikipedia.org/wiki/Wuhan
chongqing,Chóngqìng (Chungking),,,重慶 (Jūkei),重慶 (Chóngqìng),重慶,충칭,Wartime capital 1938–1945,city,2,,29.56,106.55,1891,https://en.wikipedia.org/wiki/Chongqing
yanan,Yán’ān (Yenan),,,延安 (En’an),延安 (Yán’ān),延安,옌안,Communist base 1936–1947,city,3,,36.6,109.49,1936,https://en.wikipedia.org/wiki/Yan'an
xian,Xī’ān (Sian),,,西安 (Seian),西安 (Xī’ān),西安,시안,December 1936,city,3,,34.34,108.94,1936,https://en.wikipedia.org/wiki/Xi'an
guangzhou,Guǎngzhōu (Canton),,,広州 (Kōshū),廣州 (Guǎngzhōu),廣州,광저우,Fell 21 October 1938,city,2,,23.13,113.26,1842,https://en.wikipedia.org/wiki/Guangzhou
xiamen,Xiàmén (Amoy),,,厦門 (Amoi),廈門 (Xiàmén),廈門,샤먼,Occupied May 1938,city,3,,24.48,118.09,1842,https://en.wikipedia.org/wiki/Xiamen
hainan,Hǎinándǎo (Hainan Island),,,海南島 (Kainantō),海南島 (Hǎinándǎo),海南島,,Occupied February 1939,battle,3,,19.55,109.6,1939,https://en.wikipedia.org/wiki/Hainan_Island_Operation
taipei,"Taihoku (Taibei, Taipei)",,"Taibei (Taihoku, Taipei)",臺北 (Taihoku),臺北 (Tâi-pak),臺北,다이호쿠주,Colonial capital from 1895,city,2,,25.03,121.57,1895,https://en.wikipedia.org/wiki/Taihoku_Prefecture
kaohsiung,"Takao (Gaoxiong, Kaohsiung)",,"Gaoxiong (Takao, Kaohsiung)",高雄 (Takao),高雄 (Ko-hiông),高雄,,Developed from 1908,city,3,,22.63,120.3,1908,https://en.wikipedia.org/wiki/Xin-Fu-Hwa
vladivostok,Vladivostok,,,浦潮 (Urajio),Владивосток,海參崴,,"Japanese landing, August 1918",city,2,,43.12,131.89,1918,https://en.wikipedia.org/wiki/Vladivostok
nikolaevsk,Nikolaevsk-on-Amur,,,尼港事件 (Nikō jiken),Николаевск-на-Амуре,廟街（尼港）,,March – May 1920,battle,3,,53.14,140.73,1920,https://en.wikipedia.org/wiki/Nikolayevsk_incident
hanoi,Hanoi,,,ハノイ (Hanoi),Hà Nội,河內,,Japanese troops enter September 1940,city,2,,21.03,105.85,1902,https://en.wikipedia.org/wiki/Hanoi
saigon,Saigon,,,サイゴン (Saigon),Sài Gòn,西貢,,Occupied July 1941,city,2,,10.82,106.63,1859,
bangkok,Bangkok,,,,กรุงเทพฯ (Krung Thep),,,Alliance signed 21 December 1941,city,2,,13.75,100.5,1782,https://en.wikipedia.org/wiki/Bangkok
singapore,Shōnantō (Singapore),,,昭南島 (Shōnantō),Singapura,新加坡,,Surrendered 15 February 1942,city,1,yes,1.29,103.85,1819,https://en.wikipedia.org/wiki/Japanese_occupation_of_Singapore
kotabharu,Kota Bharu,,,,Kota Bharu,,,8 December 1941,battle,3,,6.13,102.24,1941,https://en.wikipedia.org/wiki/Battle_of_Kota_Bharu
manila,Manila,,,マニラ (Manira),Maynila,馬尼拉,,Occupied 2 January 1942,city,2,,14.6,120.98,1898,https://en.wikipedia.org/wiki/Manila
corregidor,Bataan & Corregidor,,,バターン・コレヒドール (Batān Korehidōru),Bataan / Corregidor,巴丹・科雷希多,,April – 6 May 1942,battle,3,yes,14.38,120.57,1942,https://en.wikipedia.org/wiki/Battle_of_Corregidor
leyte,Leyte Gulf,,,レイテ沖海戦 (Reite-oki kaisen),Golpo ng Leyte,雷伊泰灣,,23–26 October 1944,battle,2,yes,10.8,125.4,1944,https://en.wikipedia.org/wiki/Battle_of_Leyte_Gulf
rangoon,Rangoon (Yangon),,,ラングーン (Rangūn),ရန်ကုန် (Yangon),仰光,,Fell 8 March 1942,city,2,,16.87,96.2,1852,https://en.wikipedia.org/wiki/Yangon
imphal,Imphal & Kohima,,,インパール作戦 (Inpāru sakusen),Imphal / Kohima,英帕爾,,March – July 1944,battle,2,,24.82,93.94,1944,https://en.wikipedia.org/wiki/Battle_of_Imphal
batavia,Batavia (Jakarta),,,ジャカルタ (Jakaruta),Batavia / Jakarta,巴達維亞,,"Dutch surrender, 8 March 1942",city,2,,-6.21,106.85,1619,https://en.wikipedia.org/wiki/Manggarai_railway_station
surabaya,Surabaya,,,スラバヤ (Surabaya),Surabaya,,,"Battle of the Java Sea, 27 February 1942",city,3,,-7.25,112.75,1942,https://en.wikipedia.org/wiki/Surabaya
pearlharbor,Pearl Harbor,,,真珠湾攻撃 (Shinjuwan kōgeki),Puʻuloa,珍珠港,,7 December 1941 (8 December in Japan),battle,1,yes,21.35,-157.95,1941,https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor
coralsea,Coral Sea,,,珊瑚海海戦 (Sangokai kaisen),,珊瑚海海戰,,4–8 May 1942,battle,3,yes,-12.5,155.0,1942,https://en.wikipedia.org/wiki/Battle_of_the_Coral_Sea
midway,Midway,,,ミッドウェー海戦 (Middowē kaisen),Pihemanu,中途島,,4–7 June 1942,battle,1,yes,28.21,-177.37,1942,https://en.wikipedia.org/wiki/Battle_of_Midway
saipan,Saipan,,,サイパン (Saipan),Saipan,塞班島,,15 June – 9 July 1944,battle,1,yes,15.19,145.75,1944,https://en.wikipedia.org/wiki/Battle_of_Saipan
tinian,Tinian,,,テニアン (Tenian),Tinian,天寧島,,Taken July–August 1944,battle,3,,15,145.62,1944,https://en.wikipedia.org/wiki/Battle_of_Tinian
truk,Truk (Chuuk),,,トラック島 (Torakku-tō),Chuuk,特魯克,,"Operation Hailstone, 17–18 February 1944",battle,3,,7.42,151.78,1944,https://en.wikipedia.org/wiki/Operation_Hailstone
peleliu,Peleliu (Beliliou),,,ペリリュー (Peririyū),Beliliou,貝里琉,,September – November 1944,battle,3,,7,134.25,1944,https://en.wikipedia.org/wiki/Battle_of_Peleliu
wake,Wake Island,,,大鳥島 (Ōtorishima),Wake Island,威克島,,Fell 23 December 1941,battle,2,,19.28,166.65,1941,https://en.wikipedia.org/wiki/Battle_of_Wake_Island
kwajalein,Kwajalein,,,クェゼリン (Kuezerin),Kuwajleen,瓜加林,,January – February 1944,battle,3,,9.19,167.47,1944,https://en.wikipedia.org/wiki/Battle_of_Kwajalein
tarawa,Tarawa,,,タラワ (Tarawa),Tarawa,塔拉瓦,,20–23 November 1943,battle,3,,1.33,172.98,1943,https://en.wikipedia.org/wiki/Battle_of_Tarawa
rabaul,Rabaul,,,ラバウル (Rabauru),Rabaul,拉包爾,,Captured January 1942,city,2,,-4.2,152.16,1942,
guadalcanal,Guadalcanal,,,ガダルカナル (Gadarukanaru),Guadalcanal,瓜達爾卡納爾,,August 1942 – February 1943,battle,2,yes,-9.58,160.15,1942,https://en.wikipedia.org/wiki/Guadalcanal_campaign
portmoresby,Port Moresby,,,ポートモレスビー (Pōto Moresubī),Port Moresby,莫爾茲比港,,Coral Sea May 1942; Kokoda July–November 1942,battle,3,,-9.44,147.18,1942,https://en.wikipedia.org/wiki/Kokoda_Track_campaign
darwin,Darwin,,,ダーウィン (Dāwin),Darwin,達爾文,,19 February 1942,battle,3,,-12.46,130.84,1942,https://en.wikipedia.org/wiki/Bombing_of_Darwin
attu,Attu,,,アッツ島 (Attsu-tō),Atan,阿圖島,,"Occupied June 1942, retaken May 1943",battle,3,,52.88,173.18,1942,https://en.wikipedia.org/wiki/Battle_of_Attu
kiska,Kiska,,,キスカ島 (Kisuka-tō),Qisxa,基斯卡島,,"Occupied June 1942, evacuated July 1943",battle,3,,51.97,177.53,1942,https://en.wikipedia.org/wiki/Operation_Cottage
pingxingguan,Píngxíngguān (Pinghsingkuan),,,平型関 (Heikeikan),,平型關,,25 September 1937,battle,3,,39.36,113.93,1937,https://en.wikipedia.org/wiki/Battle_of_Pingxingguan
taierzhuang,Tái’érzhuāng (Taierhchuang),,,台児荘 (Taijisō),,台兒莊,,March – April 1938,battle,3,,34.56,117.73,1938,https://en.wikipedia.org/wiki/Battle_of_Taierzhuang
huangqiao,Huángqiáo (Hwangchiao),,,黄橋 (Kōkyō),,黃橋,,October 1940,battle,3,,32.27,120.24,1940,https://en.wikipedia.org/wiki/Battle_of_Rugao%E2%80%93Huangqiao
musha,Musha (Wushe),,,霧社事件 (Musha jiken),,霧社,,27 October 1930,battle,2,,24.02,121.14,1930,https://en.wikipedia.org/wiki/Musha_Incident
huanggutun,Huánggūtún (Huangkutun),,,張作霖爆殺事件 (Chō Sakurin bakusatsu jiken),,皇姑屯,,4 June 1928,battle,2,,41.83,123.35,1928,https://en.wikipedia.org/wiki/Huanggutun_incident
dandi,Dandi,,,ダンディ (Dandi),દાંડી,,,6 April 1930,battle,2,,20.92,72.71,1930,https://en.wikipedia.org/wiki/Salt_March
yenbai,Yên Bái,,,イエンバイ (Ienbai),Yên Bái,安沛,,10 February 1930,battle,3,,21.7,104.87,1930,https://en.wikipedia.org/wiki/Y%C3%AAn_B%C3%A1i_mutiny
chittagongraid,Chittagong,,,チッタゴン (Chittagon),চট্টগ্রাম,,,18 April 1930,battle,3,,22.36,91.78,1930,https://en.wikipedia.org/wiki/Chittagong_armoury_raid
cheamri,Cheam-ri,,,堤岩里 (Teiganri),,堤岩里,제암리 (Cheam-ri),15 April 1919,battle,2,,37.13,126.86,1919,https://en.wikipedia.org/wiki/Jeamni_massacre
uozu,Uozu,,,魚津 (Uozu),,魚津,,23 July 1918,battle,3,,36.83,137.4,1918,https://en.wikipedia.org/wiki/Rice_riots_of_1918
amritsar,Amritsar,,,アムリットサル (Amurittosaru),ਅੰਮ੍ਰਿਤਸਰ,,,13 April 1919,battle,2,,31.62,74.88,1919,https://en.wikipedia.org/wiki/Jallianwala_Bagh_massacre
kwangjustudent,Kōshū (Kwangju),,,光州学生事件 (Kōshū gakusei jiken),,光州,광주 (Kwangju),November 1929,battle,3,,35.15,126.92,1929,https://en.wikipedia.org/wiki/Gwangju_Student_Independence_Movement
tapani,Tapani (Yujing),,,噍吧哖事件 (Shahanē jiken),,噍吧哖,,1915,battle,3,,23.13,120.46,1915,https://en.wikipedia.org/wiki/Tapani_incident
huayuankou,Huāyuánkǒu (Huayuankow),,,花園口 (Kaenkō),,花園口,,9 June 1938,battle,2,yes,34.92,113.69,1938,https://en.wikipedia.org/wiki/1938_Yellow_River_flood
changkufeng,Zhānggǔfēng (Changkufeng) / Lake Khasan,,,張鼓峰事件 (Chōkohō jiken),озеро Хасан,張鼓峰,,July – August 1938,battle,3,,42.44,130.66,1938,https://en.wikipedia.org/wiki/Battle_of_Lake_Khasan
bunagona,Buna–Gona,,,ブナ・ゴナ (Buna-Gona),Buna / Gona,布納・戈納,,November 1942 – January 1943,battle,2,,-8.65,148.38,1942,https://en.wikipedia.org/wiki/Battle_of_Buna%E2%80%93Gona
milnebay,Milne Bay,,,ミルン湾 (Mirun-wan),Milne Bay,米爾恩灣,,25 August – 7 September 1942,battle,3,,-10.31,150.47,1942,https://en.wikipedia.org/wiki/Battle_of_Milne_Bay
midnapore,Midnapore (Medinipur),,,ミドナポール (Midonapōru),মেদিনীপুর,,,1942–43,battle,2,,22.43,87.32,1942,https://en.wikipedia.org/wiki/Bengal_famine_of_1943
pingdingshan,Píngdǐngshān (Pingtingshan),,,平頂山事件 (Heichōzan jiken),,平頂山,,16 September 1932,battle,3,,41.88,123.88,1932,https://en.wikipedia.org/wiki/Pingdingshan_massacre
pochonbo,Poch’ŏnbo,,,普天堡 (Futenpo),,普天堡,보천보 (Poch’ŏnbo),4 June 1937,battle,3,,41.4,128.29,1937,https://en.wikipedia.org/wiki/Battle_of_Pochonbo
savo,Savo Island,,,サボ島沖海戦 (Sabo-tō oki kaisen),Savo,薩沃島,,9 August 1942,battle,3,,-9.13,159.85,1942,https://en.wikipedia.org/wiki/Battle_of_Savo_Island
okunoshima,Ōkunoshima,,,大久野島 (Ōkunoshima),,大久野島,오쿠노시마섬,Army gas plant from 1929,city,3,,34.31,133.0,1929,https://en.wikipedia.org/wiki/%C5%8Ckunoshima
supung,Suihō (Sup’ung) Dam,,,水豊ダム (Suihō damu),,水豐,수풍 (Sup’ung),Generating from 1941,city,3,,40.46,124.96,1941,
ruijin,Ruìjīn (Juichin),,,瑞金 (Zuikin),,瑞金,,Soviet capital 1931–34,city,3,,25.89,116.03,1931,
consan,Côn Sơn (Poulo Condore),,,コンソン島 (Konson-tō),Côn Sơn,崑崙島,,Penal island from 1862,city,3,,8.69,106.61,1862,https://en.wikipedia.org/wiki/C%C3%B4n_S%C6%A1n_Island
bovendigoel,Boven Digoel,,,ボーフェン・ディグル (Bōfen Diguru),Boven Digoel,,,Internment camp from 1927,city,3,,-6.1,140.3,1927,https://en.wikipedia.org/wiki/Boven_Digoel_Regency
ashio,Ashio,,,足尾 (Ashio),,足尾,아시오정,"Copper, and the pollution case",city,3,,36.65,139.45,1890,"https://en.wikipedia.org/wiki/Ashio,_Tochigi"
taiwanexped,The Taiwan Expedition,,,台湾出兵 (Taiwan shuppei),,牡丹社事件,,May – December 1874,battle,3,yes,22.05,120.75,1874,https://en.wikipedia.org/wiki/1874_Japanese_expedition_to_Taiwan
pyongyangbattle,Battle of Pyongyang,,,平壌の戦い (Heijō no tatakai),,平壤戰役,평양 전투 (P’yŏngyang chŏnt’u),15 September 1894,battle,2,yes,39.02,125.75,1894,https://en.wikipedia.org/wiki/Battle_of_Pyongyang_(1894)
portarthursiege,Siege of Lǚshùn (Port Arthur),,,旅順攻囲戦 (Ryojun kōisen),,旅順圍城戰,,August 1904 – 2 January 1905,battle,2,yes,38.82,121.22,1904,https://en.wikipedia.org/wiki/Siege_of_Port_Arthur
itoharbin,Assassination of Itō Hirobumi,,,伊藤博文暗殺 (Itō Hirobumi ansatsu),,伊藤博文遇刺,이토 히로부미 저격 (Itʻo Hirobumi chŏgyŏk),26 October 1909,battle,2,yes,45.77,126.63,1909,https://en.wikipedia.org/wiki/An_Jung-geun
tsingtaosiege,Siege of Qīngdǎo (Tsingtao),,,青島の戦い (Chintao no tatakai),,青島戰役,,27 August – 7 November 1914,battle,3,,36.07,120.38,1914,https://en.wikipedia.org/wiki/Siege_of_Tsingtao
siberia,The Siberian Intervention,,,シベリア出兵 (Shiberia shuppei),Сибирская интервенция,西伯利亞干涉,,From August 1918,battle,3,,43.12,131.89,1918,https://en.wikipedia.org/wiki/Siberian_intervention
marchfirst,The March First Movement,,,三・一運動 (San-ichi undō),,三一運動,삼일운동 (Samil undong),From 1 March 1919,battle,1,yes,37.571,126.988,1919,https://en.wikipedia.org/wiki/March_First_Movement
mayfourth,The May Fourth Movement,,,五・四運動 (Go-shi undō),,五四運動,,4 May 1919,battle,1,yes,39.9,116.39,1919,https://en.wikipedia.org/wiki/May_Fourth_Movement
pongodong,Fengwudong (Pongodong),,,鳳梧洞の戦い (Hōgodō no tatakai),,鳳梧洞,봉오동 (Pongodong),June 1920,battle,3,,42.47,129.76,1920,https://en.wikipedia.org/wiki/Battle_of_Fengwudong
chongsanri,Qingshanli (Chŏngsan-ri),,,青山里の戦い (Seizanri no tatakai),,青山里,청산리 (Chŏngsan-ri),October 1920,battle,3,,42.6,128.8,1920,https://en.wikipedia.org/wiki/Battle_of_Qingshanli
kantoquake,The Great Kantō Earthquake,,,関東大震災 (Kantō daishinsai),,關東大地震,,1 September 1923,battle,1,yes,35.4,139.5,1923,https://en.wikipedia.org/wiki/Great_Kant%C5%8D_Earthquake
erlin,Èrlín (Erhlin),,,二林事件 (Nirin jiken),,二林,,October 1925,battle,3,,23.9,120.38,1925,
wonsanstrike,The Wonsan general strike,,,元山ゼネスト (Genzan zenesuto),,元山總罷工,원산 총파업 (Wŏnsan ch’ongp’aŏp),January – April 1929,battle,3,,39.15,127.44,1929,
liutiaohu,The Mukden Incident,,,柳条湖事件 (Ryūjōko jiken),,柳條湖事件,만주사변,18 September 1931,battle,1,yes,41.85,123.47,1931,https://en.wikipedia.org/wiki/Mukden_incident
shanghaibattle,Battle of Shànghǎi,,,第二次上海事変 (Dainiji Shanhai jihen),,淞滬會戰,,13 August – 26 November 1937,battle,1,yes,31.23,121.47,1937,https://en.wikipedia.org/wiki/Battle_of_Shanghai
nanjingmassacre,The Nanjing Massacre,,,南京事件 (Nankin jiken),,南京大屠殺,,December 1937 – February 1938,battle,1,yes,32.06,118.8,1937,https://en.wikipedia.org/wiki/Nanjing_Massacre
changshafire,The Changsha fire,,,長沙大火 (Chōsa taika),,文夕大火,,13 November 1938,battle,3,,28.23,112.94,1938,https://en.wikipedia.org/wiki/1938_Changsha_fire
chongqingraids,The bombing of Chóngqìng,,,重慶爆撃 (Jūkei bakugeki),,重慶大轟炸,,"3–4 May 1939, and for five years after",battle,2,,29.56,106.55,1939,https://en.wikipedia.org/wiki/Bombing_of_Chongqing
newfourtharmy,The New Fourth Army Incident,,,皖南事変 (Kannan jihen),,皖南事變,,January 1941,battle,3,,30.63,118.42,1941,https://en.wikipedia.org/wiki/New_Fourth_Army_Incident
henanfamine,The Hénán famine,,,河南大飢饉 (Kanan daikikin),,河南大饑荒,,1942–43,battle,2,,33.9,113.8,1942,https://en.wikipedia.org/wiki/Chinese_famine_of_1942%E2%80%931943
hiroshimabomb,The Hiroshima bomb,,,広島原爆 (Hiroshima genbaku),,廣島原子彈,,6 August 1945,battle,1,yes,34.39,132.46,1945,https://en.wikipedia.org/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki
nagasakibomb,The Nagasaki bomb,,,長崎原爆 (Nagasaki genbaku),,長崎原子彈,,9 August 1945,battle,1,yes,32.74,129.87,1945,https://en.wikipedia.org/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki
