id,en,ja,zh,lat,lon,wiki
kangding,Kāngdìng (Kangting),康定 (Kōtei),康定,30.05,101.96,https://en.wikipedia.org/wiki/Kangding
zhenjiang,Zhènjiāng (Chinkiang),鎮江 (Chinkō),鎮江,32.19,119.43,https://en.wikipedia.org/wiki/Zhenjiang
shantou,Shàntóu (Swatow),汕頭 (Santō),汕頭,23.35,116.68,https://en.wikipedia.org/wiki/Shantou
ningbo,Níngbō (Ningpo),寧波 (Neiha),寧波,29.87,121.55,https://en.wikipedia.org/wiki/Ningbo
wenzhou,Wēnzhōu (Wenchow),温州 (Onshū),溫州,28,120.7,https://en.wikipedia.org/wiki/Wenzhou
yantai,Yāntái (Chefoo),芝罘 (Shifu),芝罘（煙臺）,37.46,121.45,https://en.wikipedia.org/wiki/Yantai
taegu,Taikyū (Taegu),大邱 (Taikyū),大邱,35.87,128.6,https://en.wikipedia.org/wiki/Daegu
kwangju,Kōshū (Kwangju),光州 (Kōshū),光州,35.16,126.85,https://en.wikipedia.org/wiki/Gwangju
taejon,Taiden (Taejŏn),大田 (Taiden),大田,36.35,127.38,https://en.wikipedia.org/wiki/Daejeon
wonsan,Genzan (Wŏnsan),元山 (Genzan),元山,39.15,127.44,https://en.wikipedia.org/wiki/Wonsan
chongjin,Seishin (Ch’ŏngjin),清津 (Seishin),清津,41.8,129.78,https://en.wikipedia.org/wiki/Chongjin
hamhung,Kankō (Hamhŭng),咸興 (Kankō),咸興,39.92,127.54,https://en.wikipedia.org/wiki/Hamhung
sinuiju,Shingishū (Sinŭiju),新義州 (Shingishū),新義州,40.1,124.39,https://en.wikipedia.org/wiki/Sinuiju
kaesong,Kaijō (Kaesŏng),開城 (Kaijō),開城,37.97,126.55,https://en.wikipedia.org/wiki/Kaesong
nampo,Chinnanpo (Chinnamp’o),鎮南浦 (Chinnanpo),鎮南浦,38.74,125.41,https://en.wikipedia.org/wiki/Nampo
mokpo,Moppo (Mokp’o),木浦 (Mokupo),木浦,34.79,126.39,https://en.wikipedia.org/wiki/Mokpo
najin,Rashin (Najin),羅津 (Rashin),羅津,42.24,130.29,https://en.wikipedia.org/wiki/Rajin-guyok
tainan,Tainan,臺南 (Tainan),臺南,22.99,120.2,https://en.wikipedia.org/wiki/Tainan
taichung,Taichū (Taichung),臺中 (Taichū),臺中,24.15,120.67,https://en.wikipedia.org/wiki/Taich%C5%AB_Prefecture
keelung,Kirun (Keelung),基隆 (Kīrun),基隆,25.13,121.74,https://en.wikipedia.org/wiki/Keelung
hualien,Karenkō (Hualien),花蓮港 (Karenkō),花蓮港,23.98,121.6,https://en.wikipedia.org/wiki/Karenk%C5%8D_Prefecture
hsinchu,Shinchiku (Hsinchu),新竹 (Shinchiku),新竹,24.81,120.97,https://en.wikipedia.org/wiki/Shinchiku_Prefecture
chiayi,Kagi (Chiayi),嘉義 (Kagi),嘉義,23.48,120.45,https://en.wikipedia.org/wiki/Chiayi
makung,"Makō (Makung), Pescadores",馬公 (Makō),馬公（澎湖）,23.57,119.57,https://en.wikipedia.org/wiki/Longgui_Park
fukuoka,Fukuoka,福岡 (Fukuoka),福岡,33.59,130.4,https://en.wikipedia.org/wiki/Fukuoka
sendai,Sendai,仙台 (Sendai),仙台,38.27,140.87,https://en.wikipedia.org/wiki/Sendai
niigata,Niigata,新潟 (Niigata),新潟,37.92,139.04,"https://en.wikipedia.org/wiki/Ch%C5%AB%C5%8D-ku,_Niigata"
kanazawa,Kanazawa,金沢 (Kanazawa),金澤,36.56,136.66,https://en.wikipedia.org/wiki/Kanazawa
kumamoto,Kumamoto,熊本 (Kumamoto),熊本,32.8,130.71,https://en.wikipedia.org/wiki/Kumamoto
okayama,Okayama,岡山 (Okayama),岡山,34.66,133.93,https://en.wikipedia.org/wiki/Okayama
matsuyama,Matsuyama,松山 (Matsuyama),松山,33.84,132.77,https://en.wikipedia.org/wiki/Matsuyama
kure,Kure,呉 (Kure),吳,34.25,132.57,"https://en.wikipedia.org/wiki/Kure,_Hiroshima"
yokosuka,Yokosuka,横須賀 (Yokosuka),橫須賀,35.28,139.67,https://en.wikipedia.org/wiki/Yokosuka
sasebo,Sasebo,佐世保 (Sasebo),佐世保,33.18,129.72,https://en.wikipedia.org/wiki/Sasebo
maizuru,Maizuru,舞鶴 (Maizuru),舞鶴,35.45,135.33,https://en.wikipedia.org/wiki/Maizuru
aomori,Aomori,青森 (Aomori),青森,40.82,140.75,https://en.wikipedia.org/wiki/Aomori
toyohara,Toyohara (Yuzhno-Sakhalinsk),豊原 (Toyohara),豐原,46.96,142.73,https://en.wikipedia.org/wiki/Yuzhno-Sakhalinsk
haiphong,Haiphong,ハイフォン (Haifon),海防,20.86,106.68,https://en.wikipedia.org/wiki/Haiphong
hue,Hue,フエ (Fue),順化,16.46,107.6,https://en.wikipedia.org/wiki/Hu%E1%BA%BF
phnompenh,Phnom Penh,,,11.56,104.92,https://en.wikipedia.org/wiki/Phnom_Penh
vientiane,Vientiane,,,17.97,102.6,https://en.wikipedia.org/wiki/Vientiane
luangprabang,Luang Prabang,,,19.89,102.14,https://en.wikipedia.org/wiki/Luang_Prabang
chiangmai,Chiengmai (Chiang Mai),,,18.79,98.98,https://en.wikipedia.org/wiki/Chiang_Mai
mandalay,Mandalay,マンダレー (Mandarē),曼德勒,21.98,96.08,https://en.wikipedia.org/wiki/Mandalay
moulmein,Moulmein,,,16.49,97.63,https://en.wikipedia.org/wiki/Mawlamyine
kualalumpur,Kuala Lumpur,クアラルンプール,,3.14,101.69,https://en.wikipedia.org/wiki/Kuala_Lumpur
penang,Penang (Georgetown),,,5.41,100.34,https://en.wikipedia.org/wiki/Penang
ipoh,Ipoh,イポー (Ipō),,4.6,101.09,https://en.wikipedia.org/wiki/Ipoh
johore,Johore Bahru,ジョホールバル,,1.49,103.74,
malacca,Malacca,マラッカ (Marakka),,2.19,102.25,https://en.wikipedia.org/wiki/Malacca
kuching,Kuching,クチン (Kuchin),,1.55,110.34,https://en.wikipedia.org/wiki/Kuching
jesselton,Jesselton (Kota Kinabalu),ジェッセルトン,,5.98,116.07,https://en.wikipedia.org/wiki/Kota_Kinabalu
brunei,Brunei Town,ブルネイ (Burunei),,4.89,114.94,https://en.wikipedia.org/wiki/Bandar_Seri_Begawan
bandung,Bandung,バンドン (Bandon),,-6.91,107.61,https://en.wikipedia.org/wiki/Bandung
semarang,Semarang,スマラン (Sumaran),,-6.97,110.42,https://en.wikipedia.org/wiki/Semarang
medan,Medan,メダン (Medan),,3.59,98.67,https://en.wikipedia.org/wiki/Medan
palembang,Palembang,パレンバン (Parenban),,-2.99,104.76,https://en.wikipedia.org/wiki/Palembang
makassar,Makassar,マカッサル (Makassaru),,-5.15,119.43,https://en.wikipedia.org/wiki/Makassar
balikpapan,Balikpapan,バリクパパン,,-1.24,116.85,https://en.wikipedia.org/wiki/Balikpapan
cebu,Cebu,セブ (Sebu),宿霧,10.32,123.89,https://en.wikipedia.org/wiki/Cebu
davao,Davao,ダバオ (Dabao),,7.07,125.61,https://en.wikipedia.org/wiki/Davao_(province)
iloilo,Iloilo,イロイロ (Iroiro),伊洛伊洛,10.72,122.56,https://en.wikipedia.org/wiki/Iloilo_City
baguio,Baguio,バギオ (Bagio),碧瑤,16.41,120.6,https://en.wikipedia.org/wiki/Baguio
dili,Dili,ディリ (Diri),,-8.56,125.56,https://en.wikipedia.org/wiki/Dili
khabarovsk,Khabarovsk,ハバロフスク,伯力,48.48,135.08,https://en.wikipedia.org/wiki/Khabarovsk
ulanbator,Urga (Ulan Bator),庫倫 (Kuron),庫倫（烏蘭巴托）,47.89,106.91,https://en.wikipedia.org/wiki/Zaisan_Bridge
calcutta,Calcutta,,,22.57,88.36,https://en.wikipedia.org/wiki/Kolkata
madras,Madras,,,13.08,80.27,https://en.wikipedia.org/wiki/Chennai
dacca,Dacca (Dhaka),,,23.81,90.41,https://en.wikipedia.org/wiki/Dhaka
colombo,Colombo,,,6.93,79.86,https://en.wikipedia.org/wiki/Colombo
honolulu,Honolulu,ホノルル (Honoruru),檀香山,21.31,-157.86,https://en.wikipedia.org/wiki/Honolulu
agana,Agana (Hagatna),アガナ (Agana),阿加尼亞,13.47,144.75,"https://en.wikipedia.org/wiki/Hag%C3%A5t%C3%B1a,_Guam"
koror,Koror,コロール (Korōru),,7.34,134.48,https://en.wikipedia.org/wiki/Koror
tangshan,Tángshān (Tangshan),唐山 (Tōzan),唐山,39.63,118.18,https://en.wikipedia.org/wiki/Tangshan
shanhaiguan,Shānhǎiguān (Shanhaikuan),山海関 (Sankaikan),山海關,40.01,119.75,https://en.wikipedia.org/wiki/Shanhai_Pass
datong,Dàtóng (Tatung),大同 (Daidō),大同,40.09,113.3,https://en.wikipedia.org/wiki/Datong
luoyang,Luòyáng (Loyang),洛陽 (Rakuyō),洛陽,34.62,112.45,https://en.wikipedia.org/wiki/Luoyang
zhengzhou,Zhèngzhōu (Chengchow),鄭州 (Teishū),鄭州,34.75,113.63,https://en.wikipedia.org/wiki/Zhengzhou
suzhou,Sūzhōu (Soochow),蘇州 (Soshū),蘇州,31.3,120.62,https://en.wikipedia.org/wiki/Suzhou
wuxi,Wúxī (Wusih),無錫 (Mushaku),無錫,31.57,120.3,https://en.wikipedia.org/wiki/Wuxi
xuzhou,Xúzhōu (Hsuchow),徐州 (Joshū),徐州,34.26,117.19,https://en.wikipedia.org/wiki/Xuzhou
wuhu,Wúhú (Wuhu),蕪湖 (Buko),蕪湖,31.35,118.38,https://en.wikipedia.org/wiki/Wuhu
bengbu,Bèngbù (Pengpu),蚌埠 (Bōfu),蚌埠,32.92,117.39,https://en.wikipedia.org/wiki/Bengbu
jiujiang,Jiǔjiāng (Kiukiang),九江 (Kyūkō),九江,29.71,116,https://en.wikipedia.org/wiki/Jiujiang
yichang,Yíchāng (Ichang),宜昌 (Gishō),宜昌,30.69,111.29,https://en.wikipedia.org/wiki/Yichang
hengyang,Héngyáng (Hengyang),衡陽 (Kōyō),衡陽,26.89,112.57,https://en.wikipedia.org/wiki/Hengyang
yueyang,Yuèyáng (Yochow),岳陽 (Gakuyō),岳陽,29.36,113.13,https://en.wikipedia.org/wiki/Yueyang
shaoguan,Sháoguān (Shiuchow),韶関 (Shōkan),韶關,24.81,113.6,https://en.wikipedia.org/wiki/Shaoguan
wuzhou,Wúzhōu (Wuchow),梧州 (Goshū),梧州,23.48,111.28,https://en.wikipedia.org/wiki/Wuzhou
zunyi,Zūnyì (Tsunyi),遵義 (Jungi),遵義,27.73,106.93,https://en.wikipedia.org/wiki/Zunyi
dali,Dàlǐ (Tali),大理 (Dairi),大理,25.61,100.27,
wanxian,Wànzhōu (Wanhsien),万県 (Manken),萬縣,30.81,108.41,"https://en.wikipedia.org/wiki/Wanzhou,_Chongqing"
baoji,Bǎojī (Paoki),宝鶏 (Hōkei),寶雞,34.36,107.14,https://en.wikipedia.org/wiki/Baoji
tianshui,Tiānshuǐ (Tienshui),天水 (Tensui),天水,34.58,105.72,https://en.wikipedia.org/wiki/Tianshui
chaoyang,Cháoyáng (Chaoyang),朝陽 (Chōyō),朝陽,41.57,120.45,"https://en.wikipedia.org/wiki/Chaoyang,_Liaoning"
yanji,Yánjí (Yenki),延吉 (Enkichi),延吉,42.91,129.51,https://en.wikipedia.org/wiki/Yanji
jiamusi,Jiāmùsī (Kiamusze),佳木斯 (Kamusu),佳木斯,46.81,130.32,https://en.wikipedia.org/wiki/Jiamusi
yining,Yīníng (Ining),伊寧 (Inei),伊寧,43.91,81.32,https://en.wikipedia.org/wiki/Yining
shigatse,Shigatse,,,29.27,88.88,https://en.wikipedia.org/wiki/Shigatse
hohhot2,Éjìnà (Etsina),額済納 (Gakusaina),額濟納,41.03,101.05,https://en.wikipedia.org/wiki/Ejin_Banner
bombay,Bombay (Mumbai),,,18.94,72.83,https://en.wikipedia.org/wiki/Mumbai
delhi,Delhi & New Delhi,,,28.61,77.21,
karachi,Karachi,,,24.86,67.01,https://en.wikipedia.org/wiki/Karachi
lahore,Lahore,,,31.55,74.34,https://en.wikipedia.org/wiki/Lahore
amritsar,Amritsar,,,31.63,74.87,https://en.wikipedia.org/wiki/Amritsar
peshawar,Peshawar,,,34.01,71.58,https://en.wikipedia.org/wiki/Peshawar
quetta,Quetta,,,30.18,66.99,
simla,Simla (Shimla),,,31.1,77.17,https://en.wikipedia.org/wiki/Shimla
lucknow,Lucknow,,,26.85,80.95,https://en.wikipedia.org/wiki/Lucknow
cawnpore,Cawnpore (Kanpur),,,26.45,80.33,https://en.wikipedia.org/wiki/Kanpur
agra,Agra,,,27.18,78.01,https://en.wikipedia.org/wiki/Agra
benares,Benares (Varanasi),,,25.32,83.01,https://en.wikipedia.org/wiki/Varanasi
jaipur,Jaipur,,,26.92,75.79,https://en.wikipedia.org/wiki/Jaipur
ahmedabad,Ahmedabad,,,23.03,72.58,https://en.wikipedia.org/wiki/Ahmedabad
nagpur,Nagpur,,,21.15,79.09,https://en.wikipedia.org/wiki/Nagpur
poona,Poona (Pune),,,18.52,73.86,https://en.wikipedia.org/wiki/Pune
hyderabaddn,Hyderabad,,,17.38,78.49,https://en.wikipedia.org/wiki/Hyderabad
bangalore,Bangalore (Bengaluru),,,12.97,77.59,https://en.wikipedia.org/wiki/Bengaluru
mysorecity,Mysore,,,12.3,76.64,https://en.wikipedia.org/wiki/Mysore
cochin,Cochin (Kochi),,,9.93,76.27,https://en.wikipedia.org/wiki/Kochi
trivandrum,Trivandrum (Thiruvananthapuram),,,8.52,76.94,https://en.wikipedia.org/wiki/Thiruvananthapuram
vizag,Vizagapatam (Visakhapatnam),,,17.69,83.22,https://en.wikipedia.org/wiki/Visakhapatnam
chittagong,Chittagong,,,22.36,91.78,https://en.wikipedia.org/wiki/Chittagong
trincomalee,Trincomalee,,,8.59,81.21,https://en.wikipedia.org/wiki/Trincomalee
akyab,Akyab (Sittwe),,,20.15,92.9,https://en.wikipedia.org/wiki/Sittwe
lashio,Lashio,,,22.94,97.75,https://en.wikipedia.org/wiki/Lashio
myitkyina,Myitkyina,,,25.38,97.4,https://en.wikipedia.org/wiki/Myitkyina
jogjakarta,Jogjakarta (Yogyakarta),ジョクジャカルタ,,-7.8,110.37,https://en.wikipedia.org/wiki/Yogyakarta
soerakarta,"Soerakarta (Surakarta, Solo)",スラカルタ,,-7.57,110.83,https://en.wikipedia.org/wiki/Surakarta
buitenzorg,Buitenzorg (Bogor),ボイテンゾルグ,,-6.6,106.8,https://en.wikipedia.org/wiki/Bogor
cheribon,Cheribon (Cirebon),チレボン,,-6.71,108.55,https://en.wikipedia.org/wiki/Cirebon
malang,Malang,マラン,,-7.98,112.63,https://en.wikipedia.org/wiki/Malang
padang,Padang,パダン,,-0.95,100.35,https://en.wikipedia.org/wiki/Padang
sabang,Sabang,サバン,,5.89,95.32,
pontianak,Pontianak,ポンティアナック,,-0.02,109.34,https://en.wikipedia.org/wiki/Pontianak
bandjermasin,Bandjermasin (Banjarmasin),バンジェルマシン,,-3.32,114.59,https://en.wikipedia.org/wiki/Banjarmasin
tarakan,Tarakan,タラカン,,3.3,117.59,https://en.wikipedia.org/wiki/Tarakan
manado,Menado (Manado),メナド,,1.49,124.84,https://en.wikipedia.org/wiki/Manado
ambon,Ambon (Amboina),アンボン,,-3.7,128.18,https://en.wikipedia.org/wiki/Ambon_Island
kupang,Koepang (Kupang),クーパン,,-10.17,123.61,https://en.wikipedia.org/wiki/Kupang
shijiazhuang,Shíjiāzhuāng (Shihkiachwang),石家荘 (Sekkasō),石家莊,38.04,114.51,https://en.wikipedia.org/wiki/Shijiazhuang
tanggu,Tánggū (Tangku),塘沽 (Tōko),塘沽,39.00,117.65,"https://en.wikipedia.org/wiki/Tanggu,_Tianjin"
sydney,Sydney,,,-33.87,151.21,https://en.wikipedia.org/wiki/Sydney
brisbane,Brisbane,,,-27.47,153.03,https://en.wikipedia.org/wiki/Brisbane
kowloon,Kowloon,,,22.32,114.17,https://en.wikipedia.org/wiki/Kowloon
hongkong,"Victoria, Hong Kong",,,22.28,114.16,"https://en.wikipedia.org/wiki/Victoria,_Hong_Kong"
baroda,Baroda (Vadodara),,,22.31,73.18,https://en.wikipedia.org/wiki/Vadodara
chiba,Chiba,,,35.61,140.12,https://en.wikipedia.org/wiki/Chiba-Ch%C5%AB%C5%8D_Station
cholon,Cholon,,,10.75,106.65,https://en.wikipedia.org/wiki/B%C3%ACnh_T%C3%A2y
changde,Chángdé (Changteh),,,29.03,111.7,https://en.wikipedia.org/wiki/Changde
fukui,Fukui,,,36.06,136.22,https://en.wikipedia.org/wiki/Fukui_Station_(Fukui)
gifu,Gifu,,,35.42,136.76,https://en.wikipedia.org/wiki/Gifu
gwalior,Gwalior,,,26.22,78.18,https://en.wikipedia.org/wiki/Gwalior
hamamatsu,Hamamatsu,,,34.71,137.73,https://en.wikipedia.org/wiki/Hamamatsu
imphalcity,Imphal,,,24.82,93.94,https://en.wikipedia.org/wiki/Imphal
indore,Indore,,,22.72,75.86,https://en.wikipedia.org/wiki/Indore
jamshedpur,Jamshedpur,,,22.8,86.18,
jodhpur,Jodhpur,,,26.24,73.02,
kabul,Kabul,,,34.53,69.17,
kathmandu,Kathmandu,,,27.71,85.32,https://en.wikipedia.org/wiki/Kathmandu
kawasaki,Kawasaki,,,35.53,139.7,"https://en.wikipedia.org/wiki/Kawasaki-ku,_Kawasaki"
kokura,Kokura,,,33.88,130.88,https://en.wikipedia.org/wiki/Kokura
kochi,Kōchi,,,33.56,133.53,"https://en.wikipedia.org/wiki/K%C5%8Dchi,_K%C5%8Dchi"
kofu,Kōfu,,,35.66,138.57,https://en.wikipedia.org/wiki/K%C5%8Dfu
liuzhou,Liǔzhōu (Liuchow),,,24.31,109.42,https://en.wikipedia.org/wiki/Liuzhou
luzhou,Lúzhōu (Luchow),,,28.87,105.44,https://en.wikipedia.org/wiki/Luzhou
macaucity,Macao (Cidade do Santo Nome de Deus),,,22.19,113.54,https://en.wikipedia.org/wiki/Macau
maebashi,Maebashi,,,36.39,139.06,https://en.wikipedia.org/wiki/Maebashi
moji,Moji,,,33.94,130.96,"https://en.wikipedia.org/wiki/Moji-ku,_Kitaky%C5%ABsh%C5%AB"
morioka,Morioka,,,39.7,141.15,https://en.wikipedia.org/wiki/Morioka
nagano,Nagano,,,36.65,138.18,https://en.wikipedia.org/wiki/Nagano_Holy_Saviour_Church
nanchong,Nánchōng (Nanchung),,,30.8,106.08,https://en.wikipedia.org/wiki/Nanchong
nantong,Nántōng (Nantung),,,32.01,120.86,https://en.wikipedia.org/wiki/Nantong
otaru,Otaru,,,43.19,140.99,https://en.wikipedia.org/wiki/Otaru
patna,Patna,,,25.61,85.14,https://en.wikipedia.org/wiki/Patna
sakai,Sakai,,,34.57,135.48,https://en.wikipedia.org/wiki/Sakai
shizuoka,Shizuoka,,,34.98,138.38,https://en.wikipedia.org/wiki/Shizuoka_City_Central_Gymnasium
shaoxing,Shàoxīng (Shaohing),,,30.0,120.58,https://en.wikipedia.org/wiki/Shaoxing
srinagar,Srinagar,,,34.08,74.8,https://en.wikipedia.org/wiki/Srinagar
takamatsu,Takamatsu,,,34.34,134.05,https://en.wikipedia.org/wiki/Takamatsu
thonburi,Thonburi,,,13.72,100.49,https://en.wikipedia.org/wiki/Thonburi
tokushima,Tokushima,,,34.07,134.55,https://en.wikipedia.org/wiki/Tokushima_(city)
toyama,Toyama,,,36.7,137.21,https://en.wikipedia.org/wiki/Toyama_Station
toyohashi,Toyohashi,,,34.77,137.39,https://en.wikipedia.org/wiki/Toyohashi
utsunomiya,Utsunomiya,,,36.56,139.88,https://en.wikipedia.org/wiki/Utsunomiya
wakayama,Wakayama,,,34.23,135.17,https://en.wikipedia.org/wiki/Wakayama_(city)
yawata,Yawata (Yahata),,,33.86,130.81,"https://en.wikipedia.org/wiki/Yahata,_Fukuoka"
yangzhou,Yángzhōu (Yangchow),,,32.39,119.42,https://en.wikipedia.org/wiki/Yangzhou
zamboanga,Zamboanga,,,6.91,122.08,https://en.wikipedia.org/wiki/Zamboanga_(province)
zigong,Zìgòng (Tzukung),,,29.34,104.78,https://en.wikipedia.org/wiki/Zigong
oita,Ōita,,,33.24,131.61,https://en.wikipedia.org/wiki/%C5%8Cita_Prefecture
omuta,Ōmuta,,,33.03,130.45,"https://en.wikipedia.org/wiki/%C5%8Cmuta,_Fukuoka"
akita,Akita,,,39.72,140.1,https://en.wikipedia.org/wiki/Akita_Sports_Plus_ASP_Stadium
aleksandrovsk,Aleksandrovsk-Sakhalinsky,,,50.9,142.16,https://en.wikipedia.org/wiki/Alexandrovsk-Sakhalinsky_(town)
alorsetar,Alor Setar,,,6.12,100.37,https://en.wikipedia.org/wiki/Alor_Setar
amagasaki,Amagasaki,,,34.73,135.41,https://en.wikipedia.org/wiki/Amagasaki
angeles,Angeles (Clark Field),,,15.15,120.59,https://en.wikipedia.org/wiki/Angeles_City
aparri,Aparri,,,18.36,121.64,https://en.wikipedia.org/wiki/Aparri
apia,Apia,,,-13.83,-171.77,https://en.wikipedia.org/wiki/Apia
asahikawa,Asahikawa,,,43.77,142.36,https://en.wikipedia.org/wiki/Asahikawa
ayutthaya,Ayutthaya,,,14.35,100.58,https://en.wikipedia.org/wiki/Phra_Nakhon_Si_Ayutthaya_province
bacolod,Bacolod,,,10.67,122.95,https://en.wikipedia.org/wiki/Bacolod
bassein,Bassein (Pathein),,,16.78,94.73,https://en.wikipedia.org/wiki/Shwemokhtaw_Pagoda
battambang,Battambang,,,13.1,103.2,https://en.wikipedia.org/wiki/Battambang
bengkulu,Benkoelen (Bengkulu),,,-3.79,102.26,https://en.wikipedia.org/wiki/Bengkulu
betio,Betio (Tarawa),,,1.36,172.92,https://en.wikipedia.org/wiki/Betio
bhamo,Bhamo,,,24.26,97.23,https://en.wikipedia.org/wiki/Bhamo
bhopal,Bhopal,,,23.26,77.41,https://en.wikipedia.org/wiki/Bhopal
blagoveshchensk,Blagoveshchensk,,,50.28,127.54,https://en.wikipedia.org/wiki/Blagoveshchensk
broome,Broome,,,-17.96,122.24,"https://en.wikipedia.org/wiki/Anglican_Church_of_the_Annunciation,_Broome"
buin,Buin (Bougainville),,,-6.74,155.72,"https://en.wikipedia.org/wiki/Buin,_Papua_New_Guinea"
benxi,Běnxī (Penhsihu),,,41.29,123.77,https://en.wikipedia.org/wiki/Benxi
cabanatuan,Cabanatuan,,,15.49,120.97,https://en.wikipedia.org/wiki/Cabanatuan
cagayandeoro,Cagayan de Misamis,,,8.48,124.65,https://en.wikipedia.org/wiki/Cagayan_de_Oro
camranh,Cam Ranh,,,11.92,109.16,https://en.wikipedia.org/wiki/Cam_Ranh
canberra,Canberra,,,-35.28,149.13,https://en.wikipedia.org/wiki/Canberra
capas,Capas (Camp O’Donnell),,,15.33,120.59,https://en.wikipedia.org/wiki/Capas
changhua,Changhua (Shōka),,,24.08,120.54,https://en.wikipedia.org/wiki/Changhua
chifeng,Chifeng (Ulanhad),,,42.26,118.89,https://en.wikipedia.org/wiki/Chifeng
chinju,Shinshū (Chinju),,,35.19,128.08,https://en.wikipedia.org/wiki/Jinju
chita,Chita,,,52.03,113.5,https://en.wikipedia.org/wiki/Chita_Oblast
choibalsan,Choibalsan,,,48.07,114.54,https://en.wikipedia.org/wiki/Choibalsan_Thermal_Power_Plant
quanzhou,Chüanchow (Quanzhou),,,24.87,118.68,https://en.wikipedia.org/wiki/Quanzhou
chonju,Zenshū (Chŏnju),,,35.82,127.15,https://en.wikipedia.org/wiki/Jeonju
chunchon,Shunsen (Ch’unch’ŏn),,,37.88,127.73,https://en.wikipedia.org/wiki/Chuncheon
chongju,Seishū (Ch’ŏngju),,,36.64,127.49,https://en.wikipedia.org/wiki/Cheongju
yapcolonia,Colonia (Yap),,,9.51,138.13,"https://en.wikipedia.org/wiki/Colonia,_Federated_States_of_Micronesia"
cuttack,Cuttack,,,20.46,85.88,https://en.wikipedia.org/wiki/Cuttack
