id,en,jpfrom,local,ko,ja,zh,lat,lon,wiki
yingkou,"Eikō (Yíngkǒu, Newchwang)",e1942,Yíngkǒu (Newchwang),잉커우,営口 (Eikō),營口,40.67,122.24,https://en.wikipedia.org/wiki/Yingkou
dandong,"Antō (Āndōng, Dandong)",e1942,Āndōng (Dandong),단둥,安東 (Antō),安東,40.13,124.39,https://en.wikipedia.org/wiki/Dandong
urumqi,Wūlǔmùqí (Urumchi),,,,迪化 (Tekika),迪化（烏魯木齊）,43.83,87.62,https://en.wikipedia.org/wiki/%C3%9Cr%C3%BCmqi
kashgar,Kāshí (Kashgar),,,,カシュガル (Kashugaru),喀什噶爾,39.47,75.99,https://en.wikipedia.org/wiki/Kashgar
lhasa,Lhasa,,,,,,29.65,91.14,https://en.wikipedia.org/wiki/Lhasa
kangding,Kāngdìng (Kangting),,,,康定 (Kōtei),康定,30.05,101.96,https://en.wikipedia.org/wiki/Kangding
zhenjiang,Zhènjiāng (Chinkiang),,,전장,鎮江 (Chinkō),鎮江,32.19,119.43,https://en.wikipedia.org/wiki/Zhenjiang
shantou,Shàntóu (Swatow),,,산터우,汕頭 (Santō),汕頭,23.35,116.68,https://en.wikipedia.org/wiki/Shantou
ningbo,Níngbō (Ningpo),,,닝보,寧波 (Neiha),寧波,29.87,121.55,https://en.wikipedia.org/wiki/Ningbo
wenzhou,Wēnzhōu (Wenchow),,,원저우,温州 (Onshū),溫州,28,120.7,https://en.wikipedia.org/wiki/Wenzhou
yantai,Yāntái (Chefoo),,,옌타이,芝罘 (Shifu),芝罘（煙臺）,37.46,121.45,https://en.wikipedia.org/wiki/Yantai
taegu,Taikyū (Taegu),,Taegu (Taikyū),대구광역,大邱 (Taikyū),大邱,35.87,128.6,https://en.wikipedia.org/wiki/Daegu
kwangju,Kōshū (Kwangju),,Kwangju (Kōshū),광주광역,光州 (Kōshū),光州,35.16,126.85,https://en.wikipedia.org/wiki/Gwangju
taejon,Taiden (Taejŏn),,Taejŏn (Taiden),대전광역,大田 (Taiden),大田,36.35,127.38,https://en.wikipedia.org/wiki/Daejeon
wonsan,Genzan (Wŏnsan),,Wŏnsan (Genzan),원산,元山 (Genzan),元山,39.15,127.44,https://en.wikipedia.org/wiki/Wonsan
chongjin,Seishin (Ch’ŏngjin),,Ch’ŏngjin (Seishin),청진,清津 (Seishin),清津,41.8,129.78,https://en.wikipedia.org/wiki/Chongjin
hamhung,Kankō (Hamhŭng),,Hamhŭng (Kankō),함흥,咸興 (Kankō),咸興,39.92,127.54,https://en.wikipedia.org/wiki/Hamhung
sinuiju,Shingishū (Sinŭiju),,Sinŭiju (Shingishū),신의주,新義州 (Shingishū),新義州,40.1,124.39,https://en.wikipedia.org/wiki/Sinuiju
kaesong,Kaijō (Kaesŏng),,Kaesŏng (Kaijō),개성,開城 (Kaijō),開城,37.97,126.55,https://en.wikipedia.org/wiki/Kaesong
nampo,Chinnanpo (Chinnamp’o),,Chinnamp’o (Chinnanpo),남포,鎮南浦 (Chinnanpo),鎮南浦,38.74,125.41,https://en.wikipedia.org/wiki/Nampo
mokpo,Moppo (Mokp’o),,Mokp’o (Moppo),목포,木浦 (Mokupo),木浦,34.79,126.39,https://en.wikipedia.org/wiki/Mokpo
najin,Rashin (Najin),,Najin (Rashin),라진구역,羅津 (Rashin),羅津,42.24,130.29,https://en.wikipedia.org/wiki/Rajin-guyok
tainan,Tainan,,,타이난,臺南 (Tainan),臺南,22.99,120.2,https://en.wikipedia.org/wiki/Tainan
taichung,"Taichū (Táizhōng, Taichung)",,"Táizhōng (Taichū, Taichung)",다이추주,臺中 (Taichū),臺中,24.15,120.67,https://en.wikipedia.org/wiki/Taich%C5%AB_Prefecture
keelung,"Kīrun (Jīlóng, Keelung)",,"Jīlóng (Kīrun, Keelung)",지룽,基隆 (Kīrun),基隆,25.13,121.74,https://en.wikipedia.org/wiki/Keelung
hualien,"Karenkō (Huāliángǎng, Hualien)",,"Huāliángǎng (Karenkō, Hualien)",가렌코청,花蓮港 (Karenkō),花蓮港,23.98,121.6,https://en.wikipedia.org/wiki/Karenk%C5%8D_Prefecture
hsinchu,"Shinchiku (Xīnzhú, Hsinchu)",,"Xīnzhú (Shinchiku, Hsinchu)",신치쿠주,新竹 (Shinchiku),新竹,24.81,120.97,https://en.wikipedia.org/wiki/Shinchiku_Prefecture
chiayi,"Kagi (Jiāyì, Chiayi)",,"Jiāyì (Kagi, Chiayi)",자이,嘉義 (Kagi),嘉義,23.48,120.45,https://en.wikipedia.org/wiki/Chiayi
makung,"Makō, Pescadores (Mǎgōng, Makung)",,"Mǎgōng, Pescadores (Makō, Makung)",,馬公 (Makō),馬公（澎湖）,23.57,119.57,https://en.wikipedia.org/wiki/Magong
fukuoka,Fukuoka,,,후쿠오카,福岡 (Fukuoka),福岡,33.59,130.4,https://en.wikipedia.org/wiki/Fukuoka
sendai,Sendai,,,센다이,仙台 (Sendai),仙台,38.27,140.87,https://en.wikipedia.org/wiki/Sendai
niigata,Niigata,,,,新潟 (Niigata),新潟,37.92,139.04,https://en.wikipedia.org/wiki/Niigata_(city)
kanazawa,Kanazawa,,,가나자와,金沢 (Kanazawa),金澤,36.56,136.66,https://en.wikipedia.org/wiki/Kanazawa
kumamoto,Kumamoto,,,구마모토,熊本 (Kumamoto),熊本,32.8,130.71,https://en.wikipedia.org/wiki/Kumamoto
okayama,Okayama,,,오카야마,岡山 (Okayama),岡山,34.66,133.93,https://en.wikipedia.org/wiki/Okayama
matsuyama,Matsuyama,,,마쓰야마,松山 (Matsuyama),松山,33.84,132.77,https://en.wikipedia.org/wiki/Matsuyama
kure,Kure,,,구레,呉 (Kure),吳,34.25,132.57,"https://en.wikipedia.org/wiki/Kure,_Hiroshima"
yokosuka,Yokosuka,,,요코스카,横須賀 (Yokosuka),橫須賀,35.28,139.67,https://en.wikipedia.org/wiki/Yokosuka
sasebo,Sasebo,,,사세보,佐世保 (Sasebo),佐世保,33.18,129.72,https://en.wikipedia.org/wiki/Sasebo
maizuru,Maizuru,,,마이즈루,舞鶴 (Maizuru),舞鶴,35.45,135.33,https://en.wikipedia.org/wiki/Maizuru
aomori,Aomori,,,아오모리,青森 (Aomori),青森,40.82,140.75,https://en.wikipedia.org/wiki/Aomori
toyohara,Toyohara (Yuzhno-Sakhalinsk),,,유즈노사할린스크,豊原 (Toyohara),豐原,46.96,142.73,https://en.wikipedia.org/wiki/Yuzhno-Sakhalinsk
haiphong,Haiphong,,,,ハイフォン (Haifon),海防,20.86,106.68,https://en.wikipedia.org/wiki/Haiphong
hue,Hue,,,,フエ (Fue),順化,16.46,107.6,https://en.wikipedia.org/wiki/Hu%E1%BA%BF
phnompenh,Phnom Penh,,,,,,11.56,104.92,https://en.wikipedia.org/wiki/Phnom_Penh
vientiane,Vientiane,,,,,,17.97,102.6,https://en.wikipedia.org/wiki/Vientiane
luangprabang,Luang Prabang,,,,,,19.89,102.14,https://en.wikipedia.org/wiki/Luang_Prabang
chiangmai,Chiengmai (Chiang Mai),,,,,,18.79,98.98,https://en.wikipedia.org/wiki/Chiang_Mai
mandalay,Mandalay,,,,マンダレー (Mandarē),曼德勒,21.98,96.08,https://en.wikipedia.org/wiki/Mandalay
moulmein,Moulmein,,,,,,16.49,97.63,https://en.wikipedia.org/wiki/Mawlamyine
kualalumpur,Kuala Lumpur,,,,クアラルンプール,,3.14,101.69,https://en.wikipedia.org/wiki/Kuala_Lumpur
penang,Penang (Georgetown),,,,,,5.41,100.34,https://en.wikipedia.org/wiki/Penang
ipoh,Ipoh,,,,イポー (Ipō),,4.6,101.09,https://en.wikipedia.org/wiki/Ipoh
johore,Johore Bahru,,,,ジョホールバル,,1.49,103.74,
malacca,Malacca,,,,マラッカ (Marakka),,2.19,102.25,https://en.wikipedia.org/wiki/Malacca
kuching,Kuching,,,,クチン (Kuchin),,1.55,110.34,https://en.wikipedia.org/wiki/Kuching
jesselton,Jesselton (Kota Kinabalu),,,,ジェッセルトン,,5.98,116.07,https://en.wikipedia.org/wiki/Kota_Kinabalu
brunei,Brunei Town,,,,ブルネイ (Burunei),,4.89,114.94,https://en.wikipedia.org/wiki/Bandar_Seri_Begawan
bandung,Bandung,,,,バンドン (Bandon),,-6.91,107.61,https://en.wikipedia.org/wiki/Bandung
semarang,Semarang,,,,スマラン (Sumaran),,-6.97,110.42,https://en.wikipedia.org/wiki/Semarang
medan,Medan,,,,メダン (Medan),,3.59,98.67,https://en.wikipedia.org/wiki/Medan
palembang,Palembang,,,,パレンバン (Parenban),,-2.99,104.76,https://en.wikipedia.org/wiki/Palembang
makassar,Makassar,,,,マカッサル (Makassaru),,-5.15,119.43,https://en.wikipedia.org/wiki/Makassar
balikpapan,Balikpapan,,,,バリクパパン,,-1.24,116.85,https://en.wikipedia.org/wiki/Balikpapan
cebu,Cebu,,,,セブ (Sebu),宿霧,10.32,123.89,https://en.wikipedia.org/wiki/Cebu
davao,Davao,,,,ダバオ (Dabao),,7.07,125.61,https://en.wikipedia.org/wiki/Davao_(province)
iloilo,Iloilo,,,,イロイロ (Iroiro),伊洛伊洛,10.72,122.56,https://en.wikipedia.org/wiki/Iloilo_City
baguio,Baguio,,,,バギオ (Bagio),碧瑤,16.41,120.6,https://en.wikipedia.org/wiki/Baguio
dili,Dili (Dilly),,,,ディリ (Diri),,-8.56,125.56,https://en.wikipedia.org/wiki/Dili
khabarovsk,Khabarovsk,,,,ハバロフスク,伯力,48.48,135.08,https://en.wikipedia.org/wiki/Khabarovsk
ulanbator,Urga (Ulan Bator),,,,庫倫 (Kuron),庫倫（烏蘭巴托）,47.89,106.91,https://en.wikipedia.org/wiki/Ulaanbaatar
calcutta,Calcutta,,,,,,22.57,88.36,https://en.wikipedia.org/wiki/Kolkata
madras,Madras,,,,,,13.08,80.27,https://en.wikipedia.org/wiki/Chennai
dacca,Dacca (Dhaka),,,,,,23.81,90.41,https://en.wikipedia.org/wiki/Dhaka
colombo,Colombo,,,,,,6.93,79.86,https://en.wikipedia.org/wiki/Colombo
honolulu,Honolulu,,,,ホノルル (Honoruru),檀香山,21.31,-157.86,https://en.wikipedia.org/wiki/Honolulu
agana,Agana (Hagatna),,,,アガナ (Agana),阿加尼亞,13.47,144.75,"https://en.wikipedia.org/wiki/Hag%C3%A5t%C3%B1a,_Guam"
koror,Koror,,,,コロール (Korōru),,7.34,134.48,https://en.wikipedia.org/wiki/Koror
tangshan,Tángshān,,,탕산,唐山 (Tōzan),唐山,39.63,118.18,https://en.wikipedia.org/wiki/Tangshan
shanhaiguan,Shānhǎiguān (Shanhaikuan),,,산해관,山海関 (Sankaikan),山海關,40.01,119.75,https://en.wikipedia.org/wiki/Shanhai_Pass
datong,"Daidō (Dàtóng, Tatung)",e1942,Dàtóng (Tatung),다퉁,大同 (Daidō),大同,40.09,113.3,https://en.wikipedia.org/wiki/Datong
luoyang,Luòyáng (Loyang),,,뤄양,洛陽 (Rakuyō),洛陽,34.62,112.45,https://en.wikipedia.org/wiki/Luoyang
zhengzhou,Zhèngzhōu (Chengchow),,,정저우,鄭州 (Teishū),鄭州,34.75,113.63,https://en.wikipedia.org/wiki/Zhengzhou
suzhou,Sūzhōu (Soochow),,,쑤저우,蘇州 (Soshū),蘇州,31.3,120.62,https://en.wikipedia.org/wiki/Suzhou
wuxi,Wúxī (Wusih),,,우시,無錫 (Mushaku),無錫,31.57,120.3,https://en.wikipedia.org/wiki/Wuxi
xuzhou,Xúzhōu (Hsuchow),,,쉬저우,徐州 (Joshū),徐州,34.26,117.19,https://en.wikipedia.org/wiki/Xuzhou
wuhu,Wúhú,,,우후,蕪湖 (Buko),蕪湖,31.35,118.38,https://en.wikipedia.org/wiki/Wuhu
bengbu,Bèngbù (Pengpu),,,벙부,蚌埠 (Bōfu),蚌埠,32.92,117.39,https://en.wikipedia.org/wiki/Bengbu
jiujiang,Jiǔjiāng (Kiukiang),,,주장,九江 (Kyūkō),九江,29.71,116,https://en.wikipedia.org/wiki/Jiujiang
yichang,Yíchāng (Ichang),,,이창,宜昌 (Gishō),宜昌,30.69,111.29,https://en.wikipedia.org/wiki/Yichang
hengyang,Héngyáng,,,헝양,衡陽 (Kōyō),衡陽,26.89,112.57,https://en.wikipedia.org/wiki/Hengyang
yueyang,Yuèyáng (Yochow),,,웨양,岳陽 (Gakuyō),岳陽,29.36,113.13,https://en.wikipedia.org/wiki/Yueyang
shaoguan,Sháoguān (Shiuchow),,,사오관,韶関 (Shōkan),韶關,24.81,113.6,https://en.wikipedia.org/wiki/Shaoguan
wuzhou,Wúzhōu (Wuchow),,,우저우,梧州 (Goshū),梧州,23.48,111.28,https://en.wikipedia.org/wiki/Wuzhou
zunyi,Zūnyì (Tsunyi),,,쭌이,遵義 (Jungi),遵義,27.73,106.93,https://en.wikipedia.org/wiki/Zunyi
dali,Dàlǐ (Tali),,,,大理 (Dairi),大理,25.61,100.27,
wanxian,Wànzhōu (Wanhsien),,,완저우구,万県 (Manken),萬縣,30.81,108.41,"https://en.wikipedia.org/wiki/Wanzhou,_Chongqing"
baoji,Bǎojī (Paoki),,,바오지,宝鶏 (Hōkei),寶雞,34.36,107.14,https://en.wikipedia.org/wiki/Baoji
tianshui,Tiānshuǐ (Tienshui),,,톈수이,天水 (Tensui),天水,34.58,105.72,https://en.wikipedia.org/wiki/Tianshui
chaoyang,Chōyō (Cháoyáng),e1942,Cháoyáng,차오양,朝陽 (Chōyō),朝陽,41.57,120.45,"https://en.wikipedia.org/wiki/Chaoyang,_Liaoning"
yanji,"Enkichi (Yánjí, Yenki)",e1942,Yánjí (Yenki),옌지,延吉 (Enkichi),延吉,42.91,129.51,https://en.wikipedia.org/wiki/Yanji
jiamusi,"Kamusu (Jiāmùsī, Kiamusze)",e1942,Jiāmùsī (Kiamusze),자무쓰,佳木斯 (Kamusu),佳木斯,46.81,130.32,https://en.wikipedia.org/wiki/Jiamusi
yining,Yīníng (Ining),,,,伊寧 (Inei),伊寧,43.91,81.32,https://en.wikipedia.org/wiki/Yining
shigatse,Shigatse,,,,,,29.27,88.88,https://en.wikipedia.org/wiki/Shigatse
hohhot2,Éjìnà (Etsina),,,,額済納 (Gakusaina),額濟納,41.03,101.05,https://en.wikipedia.org/wiki/Ejin_Banner
bombay,Bombay (Mumbai),,,,,,18.94,72.83,https://en.wikipedia.org/wiki/Mumbai
delhi,Delhi & New Delhi,,,,,,28.61,77.21,
karachi,Karachi,,,,,,24.86,67.01,https://en.wikipedia.org/wiki/Karachi
lahore,Lahore,,,,,,31.55,74.34,https://en.wikipedia.org/wiki/Lahore
amritsar,Amritsar,,,,,,31.63,74.87,https://en.wikipedia.org/wiki/Amritsar
peshawar,Peshawar,,,,,,34.01,71.58,https://en.wikipedia.org/wiki/Peshawar
quetta,Quetta,,,,,,30.18,66.99,
simla,Simla (Shimla),,,,,,31.1,77.17,https://en.wikipedia.org/wiki/Shimla
lucknow,Lucknow,,,,,,26.85,80.95,https://en.wikipedia.org/wiki/Lucknow
cawnpore,Cawnpore (Kanpur),,,,,,26.45,80.33,https://en.wikipedia.org/wiki/Kanpur
agra,Agra,,,,,,27.18,78.01,https://en.wikipedia.org/wiki/Agra
benares,Benares (Varanasi),,,,,,25.32,83.01,https://en.wikipedia.org/wiki/Varanasi
jaipur,Jaipur,,,,,,26.92,75.79,https://en.wikipedia.org/wiki/Jaipur
ahmedabad,Ahmedabad,,,,,,23.03,72.58,https://en.wikipedia.org/wiki/Ahmedabad
nagpur,Nagpur,,,,,,21.15,79.09,https://en.wikipedia.org/wiki/Nagpur
poona,Poona (Pune),,,,,,18.52,73.86,https://en.wikipedia.org/wiki/Pune
hyderabaddn,Hyderabad,,,,,,17.38,78.49,https://en.wikipedia.org/wiki/Hyderabad
bangalore,Bangalore (Bengaluru),,,,,,12.97,77.59,https://en.wikipedia.org/wiki/Bengaluru
mysorecity,Mysore,,,,,,12.3,76.64,https://en.wikipedia.org/wiki/Mysore
cochin,Cochin (Kochi),,,,,,9.93,76.27,https://en.wikipedia.org/wiki/Kochi
trivandrum,Trivandrum (Thiruvananthapuram),,,,,,8.52,76.94,https://en.wikipedia.org/wiki/Thiruvananthapuram
vizag,Vizagapatam (Visakhapatnam),,,,,,17.69,83.22,https://en.wikipedia.org/wiki/Visakhapatnam
chittagong,Chittagong,,,,,,22.36,91.78,https://en.wikipedia.org/wiki/Chittagong
trincomalee,Trincomalee,,,,,,8.59,81.21,https://en.wikipedia.org/wiki/Trincomalee
akyab,Akyab (Sittwe),,,,,,20.15,92.9,https://en.wikipedia.org/wiki/Sittwe
lashio,Lashio,,,,,,22.94,97.75,https://en.wikipedia.org/wiki/Lashio
myitkyina,Myitkyina,,,,,,25.38,97.4,https://en.wikipedia.org/wiki/Myitkyina
jogjakarta,Jogjakarta (Yogyakarta),,,,ジョクジャカルタ,,-7.8,110.37,https://en.wikipedia.org/wiki/Yogyakarta
soerakarta,"Soerakarta (Surakarta, Solo)",,,,スラカルタ,,-7.57,110.83,https://en.wikipedia.org/wiki/Surakarta
buitenzorg,Buitenzorg (Bogor),,,,ボイテンゾルグ,,-6.6,106.8,https://en.wikipedia.org/wiki/Bogor
cheribon,Cheribon (Cirebon),,,,チレボン,,-6.71,108.55,https://en.wikipedia.org/wiki/Cirebon
malang,Malang,,,,マラン,,-7.98,112.63,https://en.wikipedia.org/wiki/Malang
padang,Padang,,,,パダン,,-0.95,100.35,https://en.wikipedia.org/wiki/Padang
sabang,Sabang,,,,サバン,,5.89,95.32,
pontianak,Pontianak,,,,ポンティアナック,,-0.02,109.34,https://en.wikipedia.org/wiki/Pontianak
bandjermasin,Bandjermasin (Banjarmasin),,,,バンジェルマシン,,-3.32,114.59,https://en.wikipedia.org/wiki/Banjarmasin
tarakan,Tarakan,,,,タラカン,,3.3,117.59,https://en.wikipedia.org/wiki/Tarakan
manado,Menado (Manado),,,,メナド,,1.49,124.84,https://en.wikipedia.org/wiki/Manado
ambon,Ambon (Amboina),,,,アンボン,,-3.7,128.18,https://en.wikipedia.org/wiki/Ambon_Island
kupang,Koepang (Kupang),,,,クーパン,,-10.17,123.61,https://en.wikipedia.org/wiki/Kupang
shijiazhuang,Shíjiāzhuāng (Shihkiachwang),,,스자좡,石家荘 (Sekkasō),石家莊,38.04,114.51,https://en.wikipedia.org/wiki/Shijiazhuang
tanggu,Tánggū (Tangku),,,탕구구,塘沽 (Tōko),塘沽,39.00,117.65,"https://en.wikipedia.org/wiki/Tanggu,_Tianjin"
sydney,Sydney,,,,,,-33.87,151.21,https://en.wikipedia.org/wiki/Sydney
brisbane,Brisbane,,,,,,-27.47,153.03,https://en.wikipedia.org/wiki/Brisbane
kowloon,Kowloon,,,가우룽,九龍,九龍,22.32,114.17,https://en.wikipedia.org/wiki/Kowloon
hongkong,"Victoria, Hong Kong",,,빅토리아시티,ヴィクトリア,維多利亞城,22.28,114.16,"https://en.wikipedia.org/wiki/Victoria,_Hong_Kong"
baroda,Baroda (Vadodara),,,,,,22.31,73.18,https://en.wikipedia.org/wiki/Vadodara
chiba,Chiba,,,지바추오역,千葉 (Chiba),千葉,35.61,140.12,https://en.wikipedia.org/wiki/Chiba_(city)
cholon,Cholon,,,,,,10.75,106.65,https://en.wikipedia.org/wiki/B%C3%ACnh_T%C3%A2y
changde,Chángdé (Changteh),,,창더,常徳,常德,29.03,111.7,https://en.wikipedia.org/wiki/Changde
fukui,Fukui,,,,福井 (Fukui),福井,36.06,136.22,https://en.wikipedia.org/wiki/Fukui_(city)
gifu,Gifu,,,기후,岐阜,岐阜,35.42,136.76,https://en.wikipedia.org/wiki/Gifu
gwalior,Gwalior,,,,,,26.22,78.18,https://en.wikipedia.org/wiki/Gwalior
hamamatsu,Hamamatsu,,,하마마쓰,浜松,濱松,34.71,137.73,https://en.wikipedia.org/wiki/Hamamatsu
imphalcity,Imphal,,,,,,24.82,93.94,https://en.wikipedia.org/wiki/Imphal
indore,Indore,,,,,,22.72,75.86,https://en.wikipedia.org/wiki/Indore
jamshedpur,Jamshedpur,,,,,,22.8,86.18,
jodhpur,Jodhpur,,,,,,26.24,73.02,
kabul,Kabul,,,,,,34.53,69.17,
kathmandu,Kathmandu,,,,,,27.71,85.32,https://en.wikipedia.org/wiki/Kathmandu
kawasaki,Kawasaki,,,가와사키구,川崎 (Kawasaki),川崎區,35.53,139.7,"https://en.wikipedia.org/wiki/Kawasaki,_Kanagawa"
kokura,Kokura,,,고쿠라,小倉,小倉,33.88,130.88,https://en.wikipedia.org/wiki/Kokura
kochi,Kōchi,,,고치,高知,高知,33.56,133.53,"https://en.wikipedia.org/wiki/K%C5%8Dchi,_K%C5%8Dchi"
kofu,Kōfu,,,고후,甲府,甲府,35.66,138.57,https://en.wikipedia.org/wiki/K%C5%8Dfu
liuzhou,Liǔzhōu (Liuchow),,,류저우,柳州,柳州,24.31,109.42,https://en.wikipedia.org/wiki/Liuzhou
luzhou,Lúzhōu (Luchow),,,루저우,瀘州,瀘州,28.87,105.44,https://en.wikipedia.org/wiki/Luzhou
macaucity,Macao (Cidade do Santo Nome de Deus),,,마카오,マカオ,澳門,22.19,113.54,https://en.wikipedia.org/wiki/Macau
maebashi,Maebashi,,,마에바시,前橋,前橋,36.39,139.06,https://en.wikipedia.org/wiki/Maebashi
moji,Moji,,,모지구,門司 (Moji),門司區,33.94,130.96,"https://en.wikipedia.org/wiki/Moji-ku,_Kitaky%C5%ABsh%C5%AB"
morioka,Morioka,,,모리오카,盛岡,盛岡,39.7,141.15,https://en.wikipedia.org/wiki/Morioka
nagano,Nagano,,,,長野 (Nagano),,36.65,138.18,https://en.wikipedia.org/wiki/Nagano_(city)
nanchong,Nánchōng (Nanchung),,,난충,南充,南充,30.8,106.08,https://en.wikipedia.org/wiki/Nanchong
nantong,Nántōng (Nantung),,,난퉁,南通,南通,32.01,120.86,https://en.wikipedia.org/wiki/Nantong
otaru,Otaru,,,오타루,小樽,小樽,43.19,140.99,https://en.wikipedia.org/wiki/Otaru
patna,Patna,,,,,,25.61,85.14,https://en.wikipedia.org/wiki/Patna
sakai,Sakai,,,,堺 (Sakai),堺市,34.57,135.48,https://en.wikipedia.org/wiki/Sakai
shizuoka,Shizuoka,,,,静岡 (Shizuoka),,34.98,138.38,https://en.wikipedia.org/wiki/Shizuoka_(city)
shaoxing,Shàoxīng (Shaohing),,,사오싱,紹興,紹興,30.0,120.58,https://en.wikipedia.org/wiki/Shaoxing
srinagar,Srinagar,,,,,,34.08,74.8,https://en.wikipedia.org/wiki/Srinagar
takamatsu,Takamatsu,,,다카마쓰,高松,高松,34.34,134.05,https://en.wikipedia.org/wiki/Takamatsu
thonburi,Thonburi,,,,,,13.72,100.49,https://en.wikipedia.org/wiki/Thonburi
tokushima,Tokushima,,,도쿠시마,徳島,德島,34.07,134.55,https://en.wikipedia.org/wiki/Tokushima_(city)
toyama,Toyama,,,도야마역,富山 (Toyama),富山,36.7,137.21,https://en.wikipedia.org/wiki/Toyama_(city)
toyohashi,Toyohashi,,,도요하시,豊橋,豐橋,34.77,137.39,https://en.wikipedia.org/wiki/Toyohashi
utsunomiya,Utsunomiya,,,우쓰노미야,宇都宮,宇都宮,36.56,139.88,https://en.wikipedia.org/wiki/Utsunomiya
wakayama,Wakayama,,,와카야마,和歌山,和歌山,34.23,135.17,https://en.wikipedia.org/wiki/Wakayama_(city)
yawata,Yawata (Yahata),,,야하타,八幡 (Yahata),,33.86,130.81,"https://en.wikipedia.org/wiki/Yahata,_Fukuoka"
yangzhou,Yángzhōu (Yangchow),,,양저우,揚州,揚州,32.39,119.42,https://en.wikipedia.org/wiki/Yangzhou
zamboanga,Zamboanga,,,,,,6.91,122.08,https://en.wikipedia.org/wiki/Zamboanga_(province)
zigong,Zìgòng (Tzukung),,,,,自貢,29.34,104.78,https://en.wikipedia.org/wiki/Zigong
oita,Ōita,,,오이타현,大分 (Ōita),大分縣,33.24,131.61,https://en.wikipedia.org/wiki/Ōita_(city)
